datetime,open,high,low,close,volume
2025-09-22T08:00:00,4589,27000,4589,16340,29034545.194176
2025-09-22T12:00:00,16320,18740,6720,7165,58912711.096656
2025-09-22T16:00:00,7155,7645,6035,6665,13852326.060432
2025-09-22T20:00:00,6665,7350,6255,7295,8528149.063468
2025-09-23T00:00:00,7305,10260,6580,8630,66841532.452719
2025-09-23T04:00:00,8625,9035,8005,8305,24069441.58347
2025-09-23T08:00:00,8300,8585,7615,7785,12728734.886284
2025-09-23T12:00:00,7785,8535,7305,7435,18484699.170493
2025-09-23T16:00:00,7435,8005,7090,7735,6211012.95276
2025-09-23T20:00:00,7735,8435,7425,8290,9857988.31845
2025-09-24T00:00:00,8290,8400,7585,7630,11188475.826463
2025-09-24T04:00:00,7620,7920,7255,7790,6410031.165173
2025-09-24T08:00:00,7790,7830,6935,7035,9798537.35579
2025-09-24T12:00:00,7030,7240,6910,7120,7558238.823882
2025-09-24T16:00:00,7100,7340,6845,7180,1362975.080523
2025-09-24T20:00:00,7180,7245,6965,7110,1556572.395851
2025-09-25T00:00:00,7105,7110,6040,6115,7212034.15909
2025-09-25T04:00:00,6110,6275,5815,5865,3825531.221056
2025-09-25T08:00:00,5865,5895,5515,5550,4775481.655902
2025-09-25T12:00:00,5550,5580,5225,5410,6059537.689765
2025-09-25T16:00:00,5415,5720,5320,5450,2343432.169001
2025-09-25T20:00:00,5450,5785,5305,5680,2874247.040701
2025-09-26T00:00:00,5685,6470,5590,5745,17615728.310442
2025-09-26T04:00:00,5740,5910,5475,5820,5465617.281864
2025-09-26T08:00:00,5815,5905,5300,5425,3704465.470186
2025-09-26T12:00:00,5425,5425,4862,4979,6631930.784779
2025-09-26T16:00:00,4986,5270,4930,5155,1755359.377278
2025-09-26T20:00:00,5155,5405,5135,5315,1538445.204061
2025-09-27T00:00:00,5315,5415,5135,5260,2489718.06533
2025-09-27T04:00:00,5260,5725,5245,5510,4444587.142659
2025-09-27T08:00:00,5505,5550,4992,5040,2716040.821174
2025-09-27T12:00:00,5040,5300,4971,5155,1623648.295926
2025-09-27T16:00:00,5160,5305,5010,5215,690964.674962
2025-09-27T20:00:00,5215,5400,5145,5365,942536.528026
2025-09-28T00:00:00,5370,5460,5065,5230,2697967.841541
2025-09-28T04:00:00,5235,5295,4984,5110,1254824.810563
2025-09-28T08:00:00,5110,5185,4978,5175,954642.921939
2025-09-28T12:00:00,5180,5295,5095,5195,1108419.593267
2025-09-28T16:00:00,5180,5565,5120,5265,990265.792307
2025-09-28T20:00:00,5270,5470,5250,5335,856998.8193
2025-09-29T00:00:00,5335,5355,5030,5275,1447648.933002
2025-09-29T04:00:00,5275,5420,5155,5215,1350594.804195
2025-09-29T08:00:00,5220,5240,4824,4907,1531669.298883
2025-09-29T12:00:00,4910,4916,4062,4073,3568901.633454
2025-09-29T16:00:00,4070,4255,3874,4173,1516369.822392
2025-09-29T20:00:00,4176,4336,4082,4107,790938.84614
2025-09-30T00:00:00,4117,4147,3744,3820,2020160.923759
2025-09-30T04:00:00,3822,3959,3751,3800,1029272.86467
2025-09-30T08:00:00,3803,3997,3607,3703,1664499.871189
2025-09-30T12:00:00,3701,3717,3465,3530,1242190.598493
2025-09-30T16:00:00,3525,3677,3502,3622,222599.639667
