datetime,open,high,low,close,volume
2025-01-24T00:00:00,112.7,129,100,104.3,4130957156.754544
2025-01-24T04:00:00,104.4,109.1,99.88,107.2,1262511215.028623
2025-01-24T08:00:00,107.1,108.3,100.6,103.6,723190784.489981
2025-01-24T12:00:00,103.5,103.7,98.73,98.97,621880769.050532
2025-01-24T16:00:00,98.97,99.68,92.8,93.91,503957555.832415
2025-01-24T20:00:00,94,97.1,91.01,92.97,481241739.036253
2025-01-25T00:00:00,92.97,99.99,85.61,91.56,2194927696.317954
2025-01-25T04:00:00,91.55,92.09,85,86.54,448803829.703372
2025-01-25T08:00:00,86.54,86.88,82.6,84.23,556778180.172744
2025-01-25T12:00:00,84.23,89.12,83.28,88.3,488952153.851683
2025-01-25T16:00:00,88.3,91.34,84.61,86.94,527559191.519022
2025-01-25T20:00:00,86.94,87.72,84.51,85.9,217825123.70259
2025-01-26T00:00:00,85.87,92.13,83.37,85.59,1349353140.51353
2025-01-26T04:00:00,85.58,86.7,84,84.13,383354660.116197
2025-01-26T08:00:00,84.13,84.92,82.9,84.67,219621901.661664
2025-01-26T12:00:00,84.67,87.55,83.57,86.67,282297858.800675
2025-01-26T16:00:00,86.56,87.55,85.07,85.48,85939819.296152
2025-01-26T20:00:00,85.5,86.27,82,82.95,223915512.50308
2025-01-27T00:00:00,82.96,83.83,77,77.82,472831953.525358
2025-01-27T04:00:00,77.85,78.55,74.1,74.43,221658094.375928
2025-01-27T08:00:00,74.5,74.57,70.21,73.72,437305121.222943
2025-01-27T12:00:00,73.7,75.19,72.05,74.16,281880091.778751
2025-01-27T16:00:00,74.16,75.49,71.68,72.1,64731046.809043
2025-01-27T20:00:00,72.25,75.21,72.25,75.14,81667897.109684
2025-01-28T00:00:00,75.14,79.05,72.56,73.5,590130860.537994
2025-01-28T04:00:00,73.5,74.55,72.5,72.72,126652537.207943
2025-01-28T08:00:00,72.77,74.2,72.3,73.45,134377106.914252
2025-01-28T12:00:00,73.44,75.06,72.36,75.02,115279651.560662
2025-01-28T16:00:00,75.02,75.06,71.88,72.14,50053384.342433
2025-01-28T20:00:00,72.21,72.39,67.54,69.5,198906173.198941
2025-01-29T00:00:00,69.35,69.69,66.5,68.52,180311622.927659
2025-01-29T04:00:00,68.55,70.85,67.89,69.56,138760087.438769
2025-01-29T08:00:00,69.56,70.8,68.86,69.58,128759184.704284
2025-01-29T12:00:00,69.58,69.87,67.4,68.19,92179270.955862
2025-01-29T16:00:00,68.21,70.64,66.85,69.57,76725413.795347
2025-01-29T20:00:00,69.71,71.4,68.31,68.95,116473868.400378
2025-01-30T00:00:00,68.95,70.65,67.54,69.43,186977287.097394
2025-01-30T04:00:00,69.3,69.73,67.7,68.36,136567054.367586
2025-01-30T08:00:00,68.38,70.5,68.05,70.1,139021240.245926
2025-01-30T12:00:00,70.1,72.11,69.16,69.31,271155901.892148
2025-01-30T16:00:00,69.4,70.5,69,69.32,45551719.307319
2025-01-30T20:00:00,69.2,69.32,68.08,69.15,90758095.47008
2025-01-31T00:00:00,69.17,72.38,68.05,71.18,383346551.828594
2025-01-31T04:00:00,71.18,78.32,70.3,76.96,1439930229.695884
2025-01-31T08:00:00,76.96,77.5,70.91,72.5,1447708263.690494
2025-01-31T12:00:00,72.5,73.07,70.23,71.16,285043988.780076
2025-01-31T16:00:00,71.17,71.45,68.65,69.69,115435025.239095
2025-01-31T20:00:00,69.6,69.97,68.26,69.72,122478669.839041
2025-02-01T00:00:00,69.74,70.91,68.55,69.79,313558055.894852
2025-02-01T04:00:00,69.8,72.7,69.45,71.23,594202756.123003
2025-02-01T08:00:00,71.23,72.5,68.52,69.34,263791388.841068
2025-02-01T12:00:00,69.34,69.35,67.33,68.1,134287776.757348
2025-02-01T16:00:00,68.1,68.99,66.02,66.37,87184937.874795
2025-02-01T20:00:00,66.37,66.5,62.73,63.72,184825390.465353
2025-02-02T00:00:00,63.72,67.69,61.86,61.92,770259171.393576
2025-02-02T04:00:00,62.04,62.85,61.19,61.5,136553030.861818
2025-02-02T08:00:00,61.5,63.14,60.13,60.18,129901704.258487
2025-02-02T12:00:00,60.18,60.94,58.55,58.85,172775143.485652
2025-02-02T16:00:00,58.85,58.9,53.86,55.17,228881373.848121
2025-02-02T20:00:00,55.31,55.89,50.46,53.36,187375146.283513
2025-02-03T00:00:00,53.36,53.36,38.54,45.13,635600464.505117
2025-02-03T04:00:00,44.89,47.05,42.77,46.72,253269740.284905
2025-02-03T08:00:00,46.68,48.11,44.77,45.85,182883966.713286
2025-02-03T12:00:00,45.85,49.69,45.03,49,217986510.035697
2025-02-03T16:00:00,49,49.97,48.54,49.73,105035601.358058
2025-02-03T20:00:00,49.73,53.72,48.46,52.24,151153945.097966
2025-02-04T00:00:00,52.24,52.88,48.61,49.36,218401781.753377
2025-02-04T04:00:00,49.34,50.26,45.98,46.27,157005242.369586
2025-02-04T08:00:00,46.27,48.56,45.46,47.92,107384884.671021
2025-02-04T12:00:00,47.97,49.02,47.49,47.91,85788300.805276
2025-02-04T16:00:00,47.98,49.25,47.27,47.46,24626559.882605
2025-02-04T20:00:00,47.46,48.22,46.36,47.78,51661900.32928
