datetime,open,high,low,close,volume
2025-08-19T08:00:00,2000,2900,2000,2139,114975468.573366
2025-08-19T12:00:00,2140,2219,1868,1889,37027753.292618
2025-08-19T16:00:00,1889,1945,1796,1880,15630444.267398
2025-08-19T20:00:00,1876,1944,1821,1906,9353686.059503
2025-08-20T00:00:00,1903,1911,1744,1801,18840586.266066
2025-08-20T04:00:00,1802,2215,1796,2165,63997529.47867
2025-08-20T08:00:00,2165,2168,1916,1928,45367863.854952
2025-08-20T12:00:00,1928,1954,1847,1906,22544375.630807
2025-08-20T16:00:00,1906,1924,1856,1914,5242175.242463
2025-08-20T20:00:00,1915,2163,1901,2000,25813335.102032
2025-08-21T00:00:00,2000,2133,1979,2064,31854343.737784
2025-08-21T04:00:00,2065,2235,2051,2138,36447251.482858
2025-08-21T08:00:00,2139,2173,2075,2146,16546513.679
2025-08-21T12:00:00,2146,2329,2123,2168,47525275.602207
2025-08-21T16:00:00,2168,2250,2130,2233,7261088.674141
2025-08-21T20:00:00,2233,2250,2146,2202,8282219.95981
2025-08-22T00:00:00,2201,2257,2000,2010,25668965.493463
2025-08-22T04:00:00,2011,2198,2004,2145,17443936.798956
2025-08-22T08:00:00,2142,2151,2078,2083,8174048.961641
2025-08-22T12:00:00,2082,2120,2015,2094,17702976.398888
2025-08-22T16:00:00,2094,2110,2062,2093,3934095.116708
2025-08-22T20:00:00,2093,2188,2091,2143,8160878.788202
2025-08-23T00:00:00,2143,2209,2030,2048,15483525.641883
2025-08-23T04:00:00,2047,2082,2039,2053,3856050.964939
2025-08-23T08:00:00,2053,2072,2031,2046,1977993.567257
2025-08-23T12:00:00,2046,2108,2023,2028,5165598.002558
2025-08-23T16:00:00,2030,2049,2025,2035,945838.667753
2025-08-23T20:00:00,2037,2047,2030,2045,1256724.165728
2025-08-24T00:00:00,2046,2048,1964,1978,5697651.905827
2025-08-24T04:00:00,1978,1988,1909,1925,3799407.833124
2025-08-24T08:00:00,1922,1947,1918,1927,1956346.495726
2025-08-24T12:00:00,1927,1939,1912,1924,1758914.289612
2025-08-24T16:00:00,1923,1950,1877,1922,2432530.637354
2025-08-24T20:00:00,1922,1923,1880,1903,2660449.1981
2025-08-25T00:00:00,1903,1913,1825,1836,6223116.147487
2025-08-25T04:00:00,1836,1844,1796,1800,4063697.976672
2025-08-25T08:00:00,1800,1814,1778,1813,2601540.60477
2025-08-25T12:00:00,1814,1851,1781,1784,1341277.027451
2025-08-25T16:00:00,1786,1810,1764,1772,659566.894646
2025-08-25T20:00:00,1773,1789,1748,1779,1611416.701047
2025-08-26T00:00:00,1777,1779,1713,1734,2838950.191249
2025-08-26T04:00:00,1735,1752,1698,1740,1893925.400382
2025-08-26T08:00:00,1741,1747,1720,1726,832253.930154
2025-08-26T12:00:00,1725,1764,1711,1715,1509476.761926
2025-08-26T16:00:00,1716,1739,1703,1719,683686.54067
2025-08-26T20:00:00,1721,1766,1719,1746,1637826.527889
2025-08-27T00:00:00,1746,1747,1675,1705,3420107.172942
2025-08-27T04:00:00,1704,1706,1658,1663,2428819.418629
2025-08-27T08:00:00,1663,1692,1662,1688,1007675.360329
2025-08-27T12:00:00,1687,1699,1675,1693,1104785.573456
2025-08-27T16:00:00,1692,1693,1662,1666,675960.009047
2025-08-27T20:00:00,1666,1690,1654,1682,1509771.689088
2025-08-28T00:00:00,1679,1679,1621,1625,3235401.497878
2025-08-28T04:00:00,1626,1648,1610,1615,2656947.26244
2025-08-28T08:00:00,1616,1626,1603,1616,2021083.399014
2025-08-28T12:00:00,1616,1690,1613,1619,4167859.29923
2025-08-28T16:00:00,1619,1645,1608,1636,716320.506556
2025-08-28T20:00:00,1636,1667,1630,1661,1337949.367952
