datetime,open,high,low,close,volume
2020-11-17T08:00:00,3940,7555,3000,5665,7885511.242513
2020-11-17T12:00:00,5665,5870,4805,4825,9532573.661927
2020-11-17T16:00:00,4825,4900,4305,4495,1261811.293
2020-11-17T20:00:00,4495,4860,4305,4480,495381.971513
2020-11-18T00:00:00,4480,4545,3935,3950,1136037.403968
2020-11-18T04:00:00,3950,3980,3225,3335,1313121.915793
2020-11-18T08:00:00,3340,3385,3215,3280,1266117.087144
2020-11-18T12:00:00,3290,3435,2880,2950,5286890.318339
2020-11-18T16:00:00,2950,2970,2780,2845,6176067.451301
2020-11-18T20:00:00,2840,2955,2800,2885,179506.360928
2020-11-19T00:00:00,2915,3070,2535,2590,710926.517677
2020-11-19T04:00:00,2590,2685,2410,2485,827217.513301
2020-11-19T08:00:00,2490,2540,2380,2405,375612.716381
2020-11-19T12:00:00,2405,2440,2400,2430,545416.704809
2020-11-19T16:00:00,2430,2450,2400,2430,639418.102175
2020-11-19T20:00:00,2430,2525,2390,2480,267652.630937
2020-11-20T00:00:00,2480,2490,2385,2425,242875.340599
2020-11-20T04:00:00,2420,2485,2400,2445,397514.228462
2020-11-20T08:00:00,2450,2500,2410,2470,282536.934959
2020-11-20T12:00:00,2465,2640,2445,2555,2528478.806298
2020-11-20T16:00:00,2560,2620,2530,2560,175429.700405
2020-11-20T20:00:00,2560,2585,2520,2570,37741.262025
2020-11-21T00:00:00,2565,2605,2455,2475,227470.672216
2020-11-21T04:00:00,2465,2515,2440,2495,106476.080126
2020-11-21T08:00:00,2495,2540,2420,2440,130454.560646
2020-11-21T12:00:00,2445,2730,2435,2480,632843.799005
2020-11-21T16:00:00,2485,2530,2470,2500,61685.242247
2020-11-21T20:00:00,2500,2525,2455,2500,76107.047942
2020-11-22T00:00:00,2500,2580,2140,2270,410354.72232
2020-11-22T04:00:00,2270,2285,2205,2260,162513.214484
2020-11-22T08:00:00,2260,2265,2215,2225,76065.523604
2020-11-22T12:00:00,2225,2310,2225,2285,44724.824812
2020-11-22T16:00:00,2285,2350,2265,2325,27180.974384
2020-11-22T20:00:00,2325,2400,2290,2335,41712.378422
2020-11-23T00:00:00,2355,2565,2265,2365,310682.05579
2020-11-23T04:00:00,2360,2440,2310,2335,160865.770115
2020-11-23T08:00:00,2340,2400,2310,2325,146653.215919
2020-11-23T12:00:00,2325,2370,2260,2300,71734.175291
2020-11-23T16:00:00,2305,2310,2245,2290,22405.4558
2020-11-23T20:00:00,2290,2315,2220,2305,31856.001597
2020-11-24T00:00:00,2305,2540,2250,2280,677783.152529
2020-11-24T04:00:00,2285,2360,2235,2310,203816.143488
2020-11-24T08:00:00,2310,2330,2220,2265,95897.868389
2020-11-24T12:00:00,2275,2290,2225,2250,22936.641401
2020-11-24T16:00:00,2265,2315,2265,2285,11837.369738
2020-11-24T20:00:00,2285,2320,2275,2320,23301.372564
2020-11-25T00:00:00,2320,2390,2230,2250,155648.34446
2020-11-25T04:00:00,2260,2345,2205,2235,133059.930876
2020-11-25T08:00:00,2260,2275,2230,2265,49409.438168
2020-11-25T12:00:00,2265,2335,2260,2300,106384.651163
2020-11-25T16:00:00,2295,2305,2275,2305,10534.612153
2020-11-25T20:00:00,2305,2335,2255,2335,57278.770631
2020-11-26T00:00:00,2325,2330,2165,2195,128121.551698
2020-11-26T04:00:00,2190,2235,2000,2030,108753.51178
2020-11-26T08:00:00,2030,2065,1700,1895,143209.257885
2020-11-26T12:00:00,1885,2000,1845,1875,39119.139153
2020-11-26T16:00:00,1965,2020,1935,1945,6263.993153
2020-11-26T20:00:00,1945,2065,1940,2010,5853.092272
2020-11-27T00:00:00,2010,2295,1945,1985,167256.529226
2020-11-27T04:00:00,1980,2010,1950,1995,22641.226161
