datetime,open,high,low,close,volume
2020-07-01T00:00:00,323,323,307,319,289849.704937
2020-07-01T04:00:00,319,321,316,317,36770.856079
2020-07-01T08:00:00,316,317,301,305,639051.188396
2020-07-01T12:00:00,305,310,303,308,152377.832061
2020-07-01T16:00:00,307,310,304,308,86996.764972
2020-07-01T20:00:00,308,312,304,311,339638.226442
2020-07-02T00:00:00,311,311,306,308,210289.930104
2020-07-02T04:00:00,308,308,300,305,202359.758553
2020-07-02T08:00:00,304,305,299,301,178770.491835
2020-07-02T12:00:00,302,305,295,298,126109.102448
2020-07-02T16:00:00,297,297,293,296,77744.046754
2020-07-02T20:00:00,296,300,294,298,101544.984265
2020-07-03T00:00:00,298,299,293,293,120992.948082
2020-07-03T04:00:00,295,298,291,296,52350.077844
2020-07-03T08:00:00,297,297,292,293,122170.538447
2020-07-03T12:00:00,293,301,292,300,103637.74592
2020-07-03T16:00:00,299,306,298,305,53696.30882
2020-07-03T20:00:00,305,306,301,303,21227.743197
2020-07-04T00:00:00,302,303,299,303,83334.326622
2020-07-04T04:00:00,303,306,300,300,78239.662856
2020-07-04T08:00:00,303,306,301,306,114768.669335
2020-07-04T12:00:00,304,311,304,311,45774.170393
2020-07-04T16:00:00,311,311,305,309,28003.447648
2020-07-04T20:00:00,309,309,307,307,9882.398504
2020-07-05T00:00:00,306,307,304,305,12814.765247
2020-07-05T04:00:00,306,306,300,301,79005.182809
2020-07-05T08:00:00,301,302,290,293,138351.622292
2020-07-05T12:00:00,293,295,291,295,70450.238125
2020-07-05T16:00:00,295,297,294,297,24757.730572
2020-07-05T20:00:00,296,299,290,299,90479.295024
2020-07-06T00:00:00,299,300,296,296,52059.625986
2020-07-06T04:00:00,296,303,296,303,35373.342783
2020-07-06T08:00:00,303,306,299,304,72034.536371
2020-07-06T12:00:00,304,308,303,308,58456.013485
2020-07-06T16:00:00,308,311,305,309,33239.326538
2020-07-06T20:00:00,307,310,305,307,84865.957189
2020-07-07T00:00:00,307,315,306,308,335256.952615
2020-07-07T04:00:00,308,310,305,306,39496.972277
2020-07-07T08:00:00,307,307,304,307,27186.427773
