datetime,open,high,low,close,volume
2022-02-08T08:00:00,84900,113400,84900,105500,2124598.956152
2022-02-08T12:00:00,105550,105600,100800,103250,857654.604266
2022-02-08T16:00:00,103200,105400,101400,104550,130707.479534
2022-02-08T20:00:00,104550,107150,103800,105350,192764.85435
2022-02-09T00:00:00,105350,108950,102500,105350,397858.540142
2022-02-09T04:00:00,105400,107200,104400,106700,158692.00469
2022-02-09T08:00:00,106750,108450,106250,107550,200881.143215
2022-02-09T12:00:00,107750,109700,106900,108700,130884.388807
2022-02-09T16:00:00,108700,110950,107900,110650,46518.220733
2022-02-09T20:00:00,110800,110800,107800,108800,50624.452119
2022-02-10T00:00:00,108800,108950,105350,107000,105239.066697
2022-02-10T04:00:00,107100,108500,105850,108050,54055.942707
2022-02-10T08:00:00,108050,109950,107300,109500,52796.735747
2022-02-10T12:00:00,109250,112200,102600,111350,186290.095706
2022-02-10T16:00:00,111100,115250,109550,111200,123639.442161
2022-02-10T20:00:00,111150,113900,109000,111300,84963.780223
2022-02-11T00:00:00,111300,112950,107200,108650,98637.553264
2022-02-11T04:00:00,108650,109400,107050,109350,31899.637502
2022-02-11T08:00:00,109350,110800,107600,109400,30274.384712
2022-02-11T12:00:00,109450,111250,108550,110100,29158.346428
2022-02-11T16:00:00,110100,110600,103750,104000,50476.834468
2022-02-11T20:00:00,104000,104250,97740,100150,121241.734793
2022-02-12T00:00:00,100150,103850,98050,101800,84922.333768
2022-02-12T04:00:00,101800,102700,96980,99230,57817.935404
2022-02-12T08:00:00,99270,101350,97710,99810,37794.740571
2022-02-12T12:00:00,99810,99950,96040,97830,33261.429957
2022-02-12T16:00:00,97830,103100,97560,99820,35366.485515
2022-02-12T20:00:00,99840,101700,97500,99280,15412.029133
2022-02-13T00:00:00,99280,101100,98610,100300,29905.471908
2022-02-13T04:00:00,100300,101950,100000,101550,19968.878641
2022-02-13T08:00:00,101650,101750,100150,100600,14621.793259
2022-02-13T12:00:00,100600,101950,99020,99130,23495.028851
2022-02-13T16:00:00,99130,99200,96690,97200,12551.253998
2022-02-13T20:00:00,97200,97860,95450,95600,28037.462016
2022-02-14T00:00:00,95630,96240,92530,94330,44612.162112
2022-02-14T04:00:00,94330,96210,93780,96070,22178.218026
2022-02-14T08:00:00,96070,97390,94350,95090,64138.303801
2022-02-14T12:00:00,95110,100150,94360,98020,92911.951674
2022-02-14T16:00:00,98050,99790,96510,97840,32565.66179
2022-02-14T20:00:00,97830,100450,96820,99540,21523.102118
2022-02-15T00:00:00,99400,103000,98870,101850,34000.400507
2022-02-15T04:00:00,102000,103300,101400,103050,17675.753571
2022-02-15T08:00:00,103050,109850,102850,106700,96550.087554
2022-02-15T12:00:00,106700,107900,105650,107550,33669.37678
2022-02-15T16:00:00,107400,109600,106550,108850,20979.146758
2022-02-15T20:00:00,109300,113400,108300,112300,41038.631431
2022-02-16T00:00:00,112300,115050,110900,113750,95638.051314
2022-02-16T04:00:00,113750,118000,112100,117750,74109.901887
2022-02-16T08:00:00,117750,117950,113350,115200,45558.474723
2022-02-16T12:00:00,115200,115350,111400,113900,59214.55567
2022-02-16T16:00:00,113900,116550,111650,116350,20723.35953
2022-02-16T20:00:00,116450,117550,114350,115700,26310.336401
2022-02-17T00:00:00,115700,120000,114700,114750,109965.104808
2022-02-17T04:00:00,114700,116250,112350,114650,107853.853382
2022-02-17T08:00:00,114650,114900,111600,112800,45668.54839
2022-02-17T12:00:00,112750,113750,109700,111000,61942.428763
2022-02-17T16:00:00,111000,111700,106700,108200,53125.849119
2022-02-17T20:00:00,108200,109800,105500,107500,47574.055113
2022-02-18T00:00:00,107550,110200,105700,109700,54486.452489
2022-02-18T04:00:00,109650,110100,107300,108000,27296.792575
2022-02-18T08:00:00,108000,109200,104950,105200,53322.637187
2022-02-18T12:00:00,105200,106650,101700,102300,94321.372851
2022-02-18T16:00:00,102250,104650,101250,104150,31533.116501
2022-02-18T20:00:00,104500,104500,101850,102600,15038.75092
2022-02-19T00:00:00,102600,103800,102050,102350,25773.134741
2022-02-19T04:00:00,102350,105100,102350,104700,19118.457463
2022-02-19T08:00:00,104700,105200,100200,101400,39673.581552
2022-02-19T12:00:00,101400,102250,98800,102000,47733.390876
2022-02-19T16:00:00,102150,103850,101000,101500,12350.125063
2022-02-19T20:00:00,101300,104400,101200,104000,7751.454266
2022-02-20T00:00:00,104000,104650,101950,102100,23126.094622
2022-02-20T04:00:00,102100,102450,97300,98250,54964.333597
2022-02-20T08:00:00,98270,98390,96500,97330,42275.722178
2022-02-20T12:00:00,97480,98290,94100,96650,43443.133619
2022-02-20T16:00:00,96650,97320,95860,96890,8975.70886
2022-02-20T20:00:00,96890,97130,94130,95000,34523.849684
2022-02-21T00:00:00,95000,99960,94290,97310,75149.431596
2022-02-21T04:00:00,97330,100100,97320,100100,30107.789067
2022-02-21T08:00:00,100050,100600,93400,94700,58307.241078
2022-02-21T12:00:00,94710,97560,91800,95460,78497.463946
2022-02-21T16:00:00,95450,96420,91000,92090,29880.86573
2022-02-21T20:00:00,92090,92580,85290,86090,78012.800913
2022-02-22T00:00:00,85880,87430,82440,83080,76458.479278
2022-02-22T04:00:00,83130,85820,82680,84630,25680.379992
2022-02-22T08:00:00,84520,88770,84440,88350,41121.828504
2022-02-22T12:00:00,88560,90950,87290,88900,35168.455541
2022-02-22T16:00:00,88900,89410,87060,89070,14361.294522
2022-02-22T20:00:00,89000,91160,87760,90500,17809.082488
2022-02-23T00:00:00,90600,93320,90000,91400,39393.92289
2022-02-23T04:00:00,91400,96000,91190,95700,49969.580934
2022-02-23T08:00:00,95780,100250,95080,98690,124653.186242
2022-02-23T12:00:00,98690,99500,96120,96650,76165.550484
2022-02-23T16:00:00,96690,98560,92800,93460,46840.084103
2022-02-23T20:00:00,93270,94530,89650,89780,66924.953385
2022-02-24T00:00:00,89780,91500,81760,83240,165699.973811
2022-02-24T04:00:00,83240,85190,80370,83100,156111.889049
2022-02-24T08:00:00,83100,86220,81000,83280,120678.868519
2022-02-24T12:00:00,83260,88330,81430,87590,103361.909734
2022-02-24T16:00:00,87590,94000,85070,93900,107506.041469
2022-02-24T20:00:00,93900,97300,90040,93630,116055.242727
2022-02-25T00:00:00,93560,95290,91310,92730,85967.319373
2022-02-25T04:00:00,92730,92880,91070,92000,55319.920722
2022-02-25T08:00:00,92090,93690,88950,93120,71623.124541
2022-02-25T12:00:00,93100,96630,92100,95200,138285.021093
2022-02-25T16:00:00,95260,96020,93500,94040,25067.36116
2022-02-25T20:00:00,94040,99500,93610,98510,35107.307621
2022-02-26T00:00:00,98510,102000,97430,98210,70166.092148
2022-02-26T04:00:00,98210,99060,95820,97460,41346.067573
2022-02-26T08:00:00,97570,98640,95510,96800,34215.129986
2022-02-26T12:00:00,96700,99700,96280,98750,23751.282891
2022-02-26T16:00:00,98750,101800,97790,100750,32616.947318
2022-02-26T20:00:00,100700,103500,98190,100100,31686.197628
2022-02-27T00:00:00,100100,100750,95350,96350,50812.748368
2022-02-27T04:00:00,96350,97700,94800,97180,35240.916639
2022-02-27T08:00:00,97180,99620,96230,99190,33765.501082
2022-02-27T12:00:00,99190,100300,95500,98040,77997.304209
2022-02-27T16:00:00,98070,98070,90630,91170,52215.649675
2022-02-27T20:00:00,90900,93640,90300,92330,53033.288858
2022-02-28T00:00:00,92360,92930,89640,90500,67637.580763
2022-02-28T04:00:00,90420,92240,88450,91700,60117.622623
2022-02-28T08:00:00,91700,93420,91370,91990,38034.010176
2022-02-28T12:00:00,91970,100250,90740,99360,166063.165162
2022-02-28T16:00:00,99360,99790,95250,97350,66975.738186
2022-02-28T20:00:00,97350,103200,97240,102100,67911.131369
2022-03-01T00:00:00,102100,109000,102000,105150,129070.294753
2022-03-01T04:00:00,105150,107450,104300,105000,33335.326935
2022-03-01T08:00:00,105000,106950,101850,104300,49071.874292
2022-03-01T12:00:00,104300,110000,104100,105000,93827.392612
2022-03-01T16:00:00,105000,106250,103000,104200,22979.139892
