datetime,open,high,low,close,volume
2025-09-15T04:00:00,1560,2233,1367,1788,257347159.654001
2025-09-15T08:00:00,1789,1920,1594,1755,121290256.921144
2025-09-15T12:00:00,1756,1767,1470,1536,80750950.468993
2025-09-15T16:00:00,1536,1759,1467,1678,31450297.608324
2025-09-15T20:00:00,1678,1760,1615,1736,24096423.115554
2025-09-16T00:00:00,1733,1820,1525,1548,38333790.171345
2025-09-16T04:00:00,1549,1673,1516,1565,19949780.848797
2025-09-16T08:00:00,1565,1644,1347,1404,42101236.028905
2025-09-16T12:00:00,1404,1450,1336,1358,28783206.56456
2025-09-16T16:00:00,1358,1515,1265,1477,17803842.249052
2025-09-16T20:00:00,1475,1485,1392,1417,10784902.443114
2025-09-17T00:00:00,1417,1430,1292,1326,19404305.592051
2025-09-17T04:00:00,1326,1337,1264,1280,13113427.43656
2025-09-17T08:00:00,1280,1336,1256,1317,10763775.798801
2025-09-17T12:00:00,1316,1490,1294,1422,26153052.184287
2025-09-17T16:00:00,1422,1503,1347,1410,23881207.511863
2025-09-17T20:00:00,1413,1491,1388,1472,14852550.370831
2025-09-18T00:00:00,1474,1667,1431,1592,49351804.02535
2025-09-18T04:00:00,1593,1684,1565,1580,27380249.27835
2025-09-18T08:00:00,1580,1643,1535,1553,22206035.367269
2025-09-18T12:00:00,1554,1583,1472,1482,13114036.214611
2025-09-18T16:00:00,1482,1562,1481,1513,4172553.364659
2025-09-18T20:00:00,1513,1594,1509,1529,5168874.406848
2025-09-19T00:00:00,1529,1605,1417,1434,30879182.090191
2025-09-19T04:00:00,1434,1454,1390,1422,7770143.551021
2025-09-19T08:00:00,1422,1468,1411,1465,6670595.719886
2025-09-19T12:00:00,1463,1562,1444,1518,15471307.770002
2025-09-19T16:00:00,1518,1590,1509,1571,7004843.889458
2025-09-19T20:00:00,1573,1590,1519,1551,6200032.260158
2025-09-20T00:00:00,1552,1609,1480,1520,22749808.303473
2025-09-20T04:00:00,1520,1685,1490,1618,21314086.367911
2025-09-20T08:00:00,1618,1950,1612,1950,66031147.244167
2025-09-20T12:00:00,1950,2090,1873,2042,84589238.892994
2025-09-20T16:00:00,2043,2089,1915,1986,31850774.34482
2025-09-20T20:00:00,1985,2065,1932,2062,18254081.218058
2025-09-21T00:00:00,2062,2734,2040,2641,140817262.640269
2025-09-21T04:00:00,2641,3465,2477,3175,168249747.990902
2025-09-21T08:00:00,3178,3459,2593,2635,157348461.515157
2025-09-21T12:00:00,2631,3329,2592,3095,154366785.099801
2025-09-21T16:00:00,3090,3208,2802,3116,49061963.478572
2025-09-21T20:00:00,3115,3411,3050,3307,68241141.084189
2025-09-22T00:00:00,3308,3736,3033,3243,151558665.88747
2025-09-22T04:00:00,3244,3500,2939,3010,90688703.483543
2025-09-22T08:00:00,3010,3158,2786,2982,64370239.584219
