datetime,open,high,low,close,volume
2025-06-10T04:00:00,703.9,940.8,695,820,202896714.632296
2025-06-10T08:00:00,819.8,858.8,738.2,748,104683823.587313
2025-06-10T12:00:00,748,789.2,727.8,752.6,89500860.014457
2025-06-10T16:00:00,750.1,753.6,725.8,726.2,13307600.731748
2025-06-10T20:00:00,726.2,727,677.9,721.7,33137694.263276
2025-06-11T00:00:00,721.9,746.8,662.4,669,42460740.873408
2025-06-11T04:00:00,669,705,665,699,17522580.539074
2025-06-11T08:00:00,699,700.5,667.1,670.8,20821508.864131
2025-06-11T12:00:00,670.8,681,668.5,680.7,9651623.583667
2025-06-11T16:00:00,678.4,678.6,648,650.8,7033048.772185
2025-06-11T20:00:00,650.8,666.3,647.7,664.6,6774588.239667
2025-06-12T00:00:00,664.4,664.8,630,652,14811760.620926
2025-06-12T04:00:00,652,655,640.1,652.4,4566973.317587
2025-06-12T08:00:00,652.3,652.4,632.1,650.7,4774387.844571
2025-06-12T12:00:00,649.8,657,637.9,644.2,4027472.711635
2025-06-12T16:00:00,643.6,662.8,615.6,621.8,4805545.715942
2025-06-12T20:00:00,621.8,629.8,605.9,608.4,4790034.358455
2025-06-13T00:00:00,608.1,608.1,574.3,583.9,10435768.938002
2025-06-13T04:00:00,582.3,587.1,574,577.6,2818328.198898
2025-06-13T08:00:00,577.6,582.2,570,580,3081262.007204
2025-06-13T12:00:00,579.9,585.3,570,576.7,2164265.281828
2025-06-13T16:00:00,576.7,580.3,555.3,560.3,3442133.36552
2025-06-13T20:00:00,560.3,570.4,558.7,565,2188901.508861
2025-06-14T00:00:00,565,612,562.1,571.7,19497664.241941
2025-06-14T04:00:00,571.7,595.5,569.6,578.8,7159872.11936
2025-06-14T08:00:00,578.8,620,574.5,593.9,19396904.052
2025-06-14T12:00:00,593.5,614.2,588.2,591.5,8429757.252225
2025-06-14T16:00:00,591.8,593.6,560.9,572.5,3729405.588768
2025-06-14T20:00:00,572.5,580.5,564.5,570.5,3357464.855632
