datetime,open,high,low,close,volume
2026-02-20T04:00:00,25.2,60.8,25.2,53.4,1156500509.684913
2026-02-20T08:00:00,53.5,55.4,41.6,52.2,2294012794.255317
2026-02-20T12:00:00,52.1,54.6,45.1,46,1247272159.803516
2026-02-20T16:00:00,45.9,47.5,44.2,46.6,295235482.730415
2026-02-20T20:00:00,46.6,49.4,45.3,49.1,253578087.893669
2026-02-21T00:00:00,48.9,53.8,45.5,50.1,1527350106.717094
2026-02-21T04:00:00,49.9,59.1,49.9,54.5,1395814530.248647
2026-02-21T08:00:00,54.5,57.6,51.9,53.3,606649376.898629
2026-02-21T12:00:00,53.2,54.1,49.8,50.8,399165764.753767
2026-02-21T16:00:00,50.8,51,48.2,48.7,101772042.011629
2026-02-21T20:00:00,48.5,51.4,46.6,50.9,169273890.494261
