datetime,open,high,low,close,volume
2025-09-18T12:00:00,1422,1792,1422,1488,83460431.267342
2025-09-18T16:00:00,1489,1542,1451,1463,13842215.564208
2025-09-18T20:00:00,1463,1506,1442,1469,8841265.418149
2025-09-19T00:00:00,1467,1468,1321,1333,16617514.983102
2025-09-19T04:00:00,1333,1333,1274,1324,11732626.381596
2025-09-19T08:00:00,1325,1375,1292,1324,13513490.023821
2025-09-19T12:00:00,1324,1352,1290,1305,8347697.473047
2025-09-19T16:00:00,1305,1336,1293,1309,3952133.897953
2025-09-19T20:00:00,1310,1315,1294,1306,2314281.151868
2025-09-20T00:00:00,1306,1313,1244,1282,9033611.903399
2025-09-20T04:00:00,1282,1360,1262,1308,9759322.438792
2025-09-20T08:00:00,1308,1400,1308,1389,14359476.600433
2025-09-20T12:00:00,1392,1450,1334,1395,19144164.290424
2025-09-20T16:00:00,1392,1448,1376,1403,6321893.117893
2025-09-20T20:00:00,1403,1425,1375,1390,2712082.186657
2025-09-21T00:00:00,1390,1545,1385,1500,38834968.782835
2025-09-21T04:00:00,1500,1681,1484,1568,54906646.640038
2025-09-21T08:00:00,1568,1647,1424,1440,31041226.546749
2025-09-21T12:00:00,1438,1485,1415,1445,9949518.544475
2025-09-21T16:00:00,1445,1460,1388,1456,4244263.835302
2025-09-21T20:00:00,1456,1486,1444,1473,4265712.287513
2025-09-22T00:00:00,1474,1561,1351,1359,25320680.448218
2025-09-22T04:00:00,1359,1377,1251,1323,7429872.143368
2025-09-22T08:00:00,1323,1358,1316,1329,4924611.832979
2025-09-22T12:00:00,1329,1363,1305,1349,2804178.597404
2025-09-22T16:00:00,1352,1358,1332,1335,598139.412277
2025-09-22T20:00:00,1336,1348,1330,1342,545490.911067
2025-09-23T00:00:00,1341,1490,1319,1446,13423977.684847
2025-09-23T04:00:00,1446,1690,1427,1622,26732194.966577
2025-09-23T08:00:00,1622,1680,1501,1657,29274860.823239
2025-09-23T12:00:00,1656,1918,1617,1807,72940979.053331
2025-09-23T16:00:00,1808,2126,1791,1999,37853452.670247
2025-09-23T20:00:00,2001,2192,1957,2145,27122044.14149
2025-09-24T00:00:00,2145,2170,1831,1832,35028026.46734
2025-09-24T04:00:00,1832,1863,1746,1805,22253653.662998
2025-09-24T08:00:00,1804,1821,1701,1733,15936166.073567
2025-09-24T12:00:00,1733,1735,1666,1678,8657757.156734
2025-09-24T16:00:00,1678,1700,1653,1690,2629885.111353
2025-09-24T20:00:00,1690,1691,1625,1644,5983536.126468
2025-09-25T00:00:00,1644,1704,1478,1490,23053476.692944
2025-09-25T04:00:00,1491,1556,1467,1478,8600312.554549
2025-09-25T08:00:00,1479,1542,1471,1508,2597675.099066
2025-09-25T12:00:00,1508,1536,1449,1489,4169127.550607
2025-09-25T16:00:00,1489,1495,1457,1461,1450330.943772
2025-09-25T20:00:00,1468,1740,1440,1716,17524966.451769
