datetime,open,high,low,close,volume
2025-02-06T12:00:00,10480,20890,10480,13810,13843293.744209
2025-02-06T16:00:00,13810,15050,11590,12190,9645124.612341
2025-02-06T20:00:00,12170,13760,10730,13720,9732219.381839
2025-02-07T00:00:00,13720,14710,11970,12660,9476556.05647
2025-02-07T04:00:00,12650,12650,11410,11650,4347593.601471
2025-02-07T08:00:00,11630,12080,11110,11710,3632601.934354
2025-02-07T12:00:00,11710,12610,11370,11990,6266540.556217
2025-02-07T16:00:00,11990,13120,11860,12200,3113164.374715
2025-02-07T20:00:00,12190,12650,11470,11920,1741503.201327
2025-02-08T00:00:00,11920,12080,10390,10590,4572797.213599
2025-02-08T04:00:00,10600,10800,9670,9919,5144488.197087
2025-02-08T08:00:00,9919,10500,9784,10090,2888868.481057
2025-02-08T12:00:00,10090,10430,9670,9778,2603940.786593
2025-02-08T16:00:00,9778,9784,9053,9240,3593273.058226
2025-02-08T20:00:00,9251,9537,8900,9335,3354457.887447
2025-02-09T00:00:00,9334,10050,9054,9564,10770668.630271
2025-02-09T04:00:00,9585,9627,8915,8977,3973346.344728
2025-02-09T08:00:00,8980,9145,8670,8959,3609973.777371
2025-02-09T12:00:00,8950,9100,8273,8361,3457967.041219
2025-02-09T16:00:00,8361,8699,7744,7774,2409489.728305
2025-02-09T20:00:00,7779,7980,7588,7952,2331955.741907
2025-02-10T00:00:00,7952,8400,7254,7571,5842924.050746
2025-02-10T04:00:00,7571,8216,7470,7895,2122066.742613
2025-02-10T08:00:00,7895,7980,7525,7648,1375732.901916
2025-02-10T12:00:00,7648,8594,7461,7952,3860384.42857
2025-02-10T16:00:00,7949,8594,7940,8346,1523590.650257
2025-02-10T20:00:00,8346,8473,7923,8023,1153973.615299
2025-02-11T00:00:00,8022,8888,7942,8672,6105546.772725
2025-02-11T04:00:00,8672,9572,8370,9131,9714112.530599
2025-02-11T08:00:00,9133,9133,8550,8559,4004256.248365
2025-02-11T12:00:00,8559,8574,8180,8400,3310423.268461
2025-02-11T16:00:00,8400,8600,8214,8410,933316.563603
2025-02-11T20:00:00,8410,9031,8349,8869,2919853.151633
2025-02-12T00:00:00,8869,9222,8616,8870,5645097.652421
2025-02-12T04:00:00,8870,8995,8217,8252,2030193.288414
2025-02-12T08:00:00,8240,8508,8231,8390,1472555.066103
2025-02-12T12:00:00,8390,8686,8220,8479,1794961.934714
2025-02-12T16:00:00,8478,8978,8278,8906,812195.300888
2025-02-12T20:00:00,8906,9207,8788,8890,847877.930438
2025-02-13T00:00:00,8890,9509,8653,9260,1864959.840831
2025-02-13T04:00:00,9265,9447,8857,8942,1535746.460357
2025-02-13T08:00:00,8941,9175,8727,8805,1029461.856345
2025-02-13T12:00:00,8793,9047,8630,8817,749141.422529
2025-02-13T16:00:00,8812,8812,8453,8536,293668.398077
2025-02-13T20:00:00,8565,8700,8376,8438,383437.846787
2025-02-14T00:00:00,8438,8527,8290,8381,642302.849727
2025-02-14T04:00:00,8385,8460,8150,8210,552369.032392
2025-02-14T08:00:00,8211,8625,8169,8584,628822.889352
