datetime,open,high,low,close,volume
2026-02-03T08:00:00,320,799,320,514,205528681.080475
2026-02-03T12:00:00,512,542,448,485,141124849.505241
2026-02-03T16:00:00,484,508,429,430,34264198.520292
2026-02-03T20:00:00,430,471,428,469,26068930.475313
2026-02-04T00:00:00,469,500,410,419,61616846.502698
2026-02-04T04:00:00,418,477,417,429,39715657.242425
2026-02-04T08:00:00,427,439,420,429,14814375.550886
2026-02-04T12:00:00,429,449,413,415,14477623.473624
2026-02-04T16:00:00,414,426,407,413,3174615.537175
2026-02-04T20:00:00,413,429,410,415,5696020.345474
2026-02-05T00:00:00,415,419,368,370,19301795.105352
2026-02-05T04:00:00,370,375,363,366,6290789.158391
2026-02-05T08:00:00,367,376,337,342,12013059.460513
2026-02-05T12:00:00,342,351,323,329,11536235.404932
2026-02-05T16:00:00,330,330,304,305,8146074.786982
2026-02-05T20:00:00,305,310,290,297,8635642.573325
