datetime,open,high,low,close,volume
2026-01-07T04:00:00,777,890,692,704,131044351.142732
2026-01-07T08:00:00,703,839,689,744,146622152.182416
2026-01-07T12:00:00,744,802,690,695,89937304.369056
2026-01-07T16:00:00,693,729,640,654,25363943.02519
2026-01-07T20:00:00,653,671,626,640,19743883.695759
2026-01-08T00:00:00,639,720,593,616,86852749.636766
2026-01-08T04:00:00,615,615,572,580,19454569.739975
2026-01-08T08:00:00,579,592,564,570,17891384.421023
2026-01-08T12:00:00,569,595,566,575,12545175.014309
2026-01-08T16:00:00,575,581,553,576,5600022.534177
2026-01-08T20:00:00,573,591,565,584,5969800.499316
2026-01-09T00:00:00,583,592,550,558,17400977.645897
2026-01-09T04:00:00,558,627,554,592,33649888.547776
2026-01-09T08:00:00,592,598,565,585,20274912.642189
2026-01-09T12:00:00,585,587,566,576,8887178.20044
2026-01-09T16:00:00,576,586,568,574,3149836.960348
2026-01-09T20:00:00,574,585,571,582,2902655.536251
2026-01-10T00:00:00,582,586,568,582,9680756.173568
2026-01-10T04:00:00,581,596,569,574,11752339.720734
2026-01-10T08:00:00,574,577,568,571,6063849.24899
2026-01-10T12:00:00,571,572,560,562,5393639.316169
2026-01-10T16:00:00,561,563,553,561,3960069.535494
2026-01-10T20:00:00,561,566,554,560,2871238.88247
