datetime,open,high,low,close,volume
2024-10-15T04:00:00,1124,1800,1124,1541,120262007.084824
2024-10-15T08:00:00,1541,1626,1517,1540,47106756.652745
2024-10-15T12:00:00,1540,1546,1326,1335,42756437.106635
2024-10-15T16:00:00,1335,1393,1328,1385,6792686.807997
2024-10-15T20:00:00,1385,1404,1350,1361,6760879.534612
2024-10-16T00:00:00,1361,1477,1355,1401,31622429.752702
2024-10-16T04:00:00,1402,1427,1350,1364,11308242.121576
2024-10-16T08:00:00,1364,1383,1354,1363,6859535.742768
2024-10-16T12:00:00,1363,1373,1275,1278,11148169.222934
2024-10-16T16:00:00,1278,1283,1232,1232,5081229.881375
2024-10-16T20:00:00,1234,1277,1230,1272,6215553.916448
2024-10-17T00:00:00,1274,1286,1215,1224,14689616.801616
2024-10-17T04:00:00,1224,1235,1215,1222,4049772.799992
2024-10-17T08:00:00,1222,1225,1176,1183,11237525.047649
2024-10-17T12:00:00,1183,1208,1180,1205,2615144.786701
2024-10-17T16:00:00,1203,1205,1183,1190,940536.215143
2024-10-17T20:00:00,1195,1211,1190,1205,1475295.378932
2024-10-18T00:00:00,1205,1226,1183,1195,6881865.607149
2024-10-18T04:00:00,1195,1225,1190,1219,3017418.436674
2024-10-18T08:00:00,1217,1224,1204,1223,2281790.158464
2024-10-18T12:00:00,1222,1228,1206,1224,2497589.219778
2024-10-18T16:00:00,1224,1245,1221,1229,1276101.66948
2024-10-18T20:00:00,1229,1249,1221,1242,1335912.022373
2024-10-19T00:00:00,1241,1245,1216,1230,3272858.755615
2024-10-19T04:00:00,1230,1231,1217,1217,1866140.356568
2024-10-19T08:00:00,1218,1219,1172,1186,5057060.205399
2024-10-19T12:00:00,1186,1197,1181,1195,1208362.507435
2024-10-19T16:00:00,1195,1198,1180,1186,653525.169737
2024-10-19T20:00:00,1186,1201,1179,1199,1070785.587849
2024-10-20T00:00:00,1199,1219,1188,1197,5299630.479865
2024-10-20T04:00:00,1200,1211,1187,1193,1728211.04988
2024-10-20T08:00:00,1193,1202,1184,1187,1780758.133426
2024-10-20T12:00:00,1185,1190,1171,1181,2914143.696703
2024-10-20T16:00:00,1181,1183,1173,1175,837204.366955
2024-10-20T20:00:00,1175,1192,1175,1190,1182065.836017
2024-10-21T00:00:00,1190,1207,1179,1190,5290501.30425
2024-10-21T04:00:00,1190,1191,1142,1161,5449644.277854
2024-10-21T08:00:00,1162,1163,1147,1150,3151608.340743
2024-10-21T12:00:00,1150,1154,1126,1135,3452588.827177
2024-10-21T16:00:00,1135,1138,1127,1137,546474.503555
2024-10-21T20:00:00,1137,1147,1132,1141,948262.119267
2024-10-22T00:00:00,1140,1153,1126,1136,3006845.280187
2024-10-22T04:00:00,1136,1149,1127,1128,2144981.096377
2024-10-22T08:00:00,1128,1132,1106,1116,3372340.670456
2024-10-22T12:00:00,1115,1120,1107,1115,1384287.716182
2024-10-22T16:00:00,1115,1121,1110,1118,513104.797415
2024-10-22T20:00:00,1112,1130,1110,1127,971348.454969
2024-10-23T00:00:00,1126,1147,1110,1121,6650687.673925
2024-10-23T04:00:00,1121,1121,1078,1083,4710587.251879
2024-10-23T08:00:00,1084,1090,1055,1073,4844855.468004
2024-10-23T12:00:00,1073,1087,1067,1078,1067369.796494
2024-10-23T16:00:00,1079,1084,1060,1080,1005216.008919
2024-10-23T20:00:00,1077,1090,1073,1086,767935.700385
2024-10-24T00:00:00,1086,1091,1068,1069,2044866.593999
2024-10-24T04:00:00,1069,1080,1055,1058,2090124.393474
2024-10-24T08:00:00,1058,1061,1015,1042,4883203.698112
2024-10-24T12:00:00,1042,1052,1033,1040,1725886.534299
2024-10-24T16:00:00,1042,1057,1035,1056,746173.639266
2024-10-24T20:00:00,1056,1068,1046,1064,1104845.161955
2024-10-25T00:00:00,1066,1169,1037,1129,27209537.777259
2024-10-25T04:00:00,1127,1153,1115,1134,10531722.989516
2024-10-25T08:00:00,1134,1157,1085,1144,11555526.167076
2024-10-25T12:00:00,1144,1225,1125,1201,16884546.562629
2024-10-25T16:00:00,1201,1209,1143,1146,7891214.190093
2024-10-25T20:00:00,1144,1182,1089,1126,7125520.709672
2024-10-26T00:00:00,1126,1292,1107,1263,50857777.74008
2024-10-26T04:00:00,1263,1263,1198,1207,14213293.825947
