datetime,open,high,low,close,volume
2020-12-24T00:00:00,11930,12500,7550,8445,2017618.926018
2020-12-24T04:00:00,8440,8840,6920,7175,1321369.628758
2020-12-24T08:00:00,7175,7360,6560,6575,640704.724951
2020-12-24T12:00:00,6580,7360,6495,6845,3776133.393114
2020-12-24T16:00:00,6870,7065,6765,6810,233530.469867
2020-12-24T20:00:00,6830,7410,6720,7005,375931.068266
2020-12-25T00:00:00,7100,8995,6700,6925,2633920.146362
2020-12-25T04:00:00,6925,7180,6860,7035,586839.145941
2020-12-25T08:00:00,7035,7220,6910,6980,3725851.558527
2020-12-25T12:00:00,6990,7055,6645,6690,5841710.196301
2020-12-25T16:00:00,6690,6750,5715,6225,443072.361905
2020-12-25T20:00:00,6230,6465,5910,6395,265666.506958
2020-12-26T00:00:00,6395,6450,5525,5685,994894.76437
2020-12-26T04:00:00,5675,5835,5565,5770,696935.717177
2020-12-26T08:00:00,5770,5900,5440,5520,579610.642491
2020-12-26T12:00:00,5520,5585,5360,5405,379204.256765
2020-12-26T16:00:00,5400,5405,5180,5245,691510.572217
2020-12-26T20:00:00,5245,5410,5135,5375,557288.801372
2020-12-27T00:00:00,5380,5380,4870,5030,588458.549187
2020-12-27T04:00:00,5045,5080,4715,4730,361231.445336
2020-12-27T08:00:00,4725,5100,4675,4705,553355.23328
2020-12-27T12:00:00,4720,4760,4475,4655,3426290.175045
2020-12-27T16:00:00,4660,4745,4580,4685,30186.292579
2020-12-27T20:00:00,4705,4780,4570,4750,47939.560661
2020-12-28T00:00:00,4750,4750,4350,4420,207700.281166
2020-12-28T04:00:00,4420,4460,4295,4355,139016.648039
2020-12-28T08:00:00,4360,4375,4160,4240,205990.953372
2020-12-28T12:00:00,4235,4290,4210,4260,74989.550791
2020-12-28T16:00:00,4260,4325,4230,4300,20813.632694
2020-12-28T20:00:00,4285,4470,4175,4230,105204.169796
2020-12-29T00:00:00,4305,5690,3975,4095,2359071.516134
2020-12-29T04:00:00,4100,4500,4065,4275,452821.156112
2020-12-29T08:00:00,4275,4535,4165,4375,492371.51493
2020-12-29T12:00:00,4380,5130,4305,4400,1397406.62407
2020-12-29T16:00:00,4400,4415,4200,4360,55185.00232
2020-12-29T20:00:00,4360,4915,4340,4615,361947.903231
2020-12-30T00:00:00,4640,4740,4360,4460,350177.626937
2020-12-30T04:00:00,4460,4525,4250,4290,131862.486887
2020-12-30T08:00:00,4290,4305,4095,4180,167543.619156
2020-12-30T12:00:00,4180,4220,4140,4150,72585.541908
2020-12-30T16:00:00,4150,4270,4125,4135,49556.369414
2020-12-30T20:00:00,4130,4300,4120,4180,73019.280611
2020-12-31T00:00:00,4185,4195,3855,3875,207563.388901
2020-12-31T04:00:00,3875,4060,3855,3915,80802.449011
2020-12-31T08:00:00,3915,4025,3880,3960,60081.181663
2020-12-31T12:00:00,3950,3995,3865,3925,63984.419023
2020-12-31T16:00:00,3925,3930,3905,3930,8850.313724
2020-12-31T20:00:00,3925,4000,3920,3970,23945.33279
2021-01-01T00:00:00,3975,5060,3880,4510,1638033.951048
2021-01-01T04:00:00,4530,4675,4300,4590,944249.947438
2021-01-01T08:00:00,4590,4740,4450,4575,718072.390629
2021-01-01T12:00:00,4575,5240,4335,4340,3220532.549682
2021-01-01T16:00:00,4355,4525,4305,4395,242953.03977
2021-01-01T20:00:00,4395,4630,4385,4455,152185.572593
2021-01-02T00:00:00,4465,4750,4000,4055,536335.959454
2021-01-02T04:00:00,4055,4185,4055,4130,149074.142283
