datetime,open,high,low,close,volume
2026-02-26T04:00:00,114,359,114,225,239063530.87673
2026-02-26T08:00:00,225,260,222,246,113327376.980682
2026-02-26T12:00:00,246,256,223,227,60418262.223699
2026-02-26T16:00:00,226,229,197,209,25401904.226937
2026-02-26T20:00:00,210,235,207,208,32301231.298775
2026-02-27T00:00:00,208,212,188,192,37968255.943055
2026-02-27T04:00:00,192,197,184,185,14762360.576097
2026-02-27T08:00:00,184,186,173,175,21889657.038522
2026-02-27T12:00:00,174,176,168,171,10537360.940721
2026-02-27T16:00:00,171,173,168,169,2087252.259944
2026-02-27T20:00:00,170,172,167,169,3261110.603066
