datetime,open,high,low,close,volume
2025-04-01T04:00:00,52950,98800,52950,81130,660154.333163
2025-04-01T08:00:00,81130,81320,70730,71060,1071968.929314
2025-04-01T12:00:00,71060,72810,67980,70290,279263.66082
2025-04-01T16:00:00,70130,71930,69220,69680,67555.876948
2025-04-01T20:00:00,69680,69680,65550,65880,85875.086969
2025-04-02T00:00:00,65770,73290,65060,66790,586979.046316
2025-04-02T04:00:00,66800,67040,63740,65220,143531.22855
2025-04-02T08:00:00,65220,66480,63650,63810,53707.722103
2025-04-02T12:00:00,63810,65440,62500,65260,47095.212692
2025-04-02T16:00:00,65240,67440,64160,67250,31693.747544
2025-04-02T20:00:00,67290,68350,63640,66060,48394.016566
2025-04-03T00:00:00,66170,67870,65260,66880,57068.293138
2025-04-03T04:00:00,66790,69330,65800,68520,54778.303643
2025-04-03T08:00:00,68400,69660,66000,68030,55407.734813
2025-04-03T12:00:00,68030,71300,66790,70050,99106.191659
2025-04-03T16:00:00,69920,70370,67930,69390,13819.023357
2025-04-03T20:00:00,69400,70460,68260,69000,17134.685831
2025-04-04T00:00:00,69180,71140,65500,66080,88950.92533
2025-04-04T04:00:00,66100,67320,65810,65850,17197.489512
2025-04-04T08:00:00,65850,67160,64530,65210,13522.897895
2025-04-04T12:00:00,65210,66630,64500,66260,9779.827066
2025-04-04T16:00:00,66260,67160,65480,66500,2906.033222
2025-04-04T20:00:00,66690,66950,65350,65370,3918.111513
2025-04-05T00:00:00,65450,66000,64500,64980,10358.767146
2025-04-05T04:00:00,65000,65370,64300,64720,8202.765333
2025-04-05T08:00:00,65050,69170,64930,68370,20913.423642
2025-04-05T12:00:00,68400,69360,66320,66330,12170.391759
2025-04-05T16:00:00,66320,66600,65010,65230,7446.301931
2025-04-05T20:00:00,65390,66010,65020,65900,5059.593355
2025-04-06T00:00:00,65900,65900,64140,64500,8478.047899
2025-04-06T04:00:00,64470,64940,64170,64260,3467.640164
2025-04-06T08:00:00,64210,65460,63900,65260,3033.761273
2025-04-06T12:00:00,65220,65450,63160,64380,3129.127368
2025-04-06T16:00:00,64380,64500,60030,60510,4503.057439
2025-04-06T20:00:00,60550,61070,58310,59200,6203.783452
2025-04-07T00:00:00,59350,60430,56850,57500,8668.788041
2025-04-07T04:00:00,57680,58450,53810,55480,9931.547722
2025-04-07T08:00:00,55370,58410,55290,57700,5045.523908
2025-04-07T12:00:00,57760,62090,57680,60010,5087.292056
2025-04-07T16:00:00,59980,60270,59000,59210,2751.546616
2025-04-07T20:00:00,59280,60170,58700,58700,4196.833461
2025-04-08T00:00:00,58780,60170,58140,58890,4054.729019
2025-04-08T04:00:00,59120,59260,57200,57530,3721.821661
2025-04-08T08:00:00,57360,58890,57000,58830,2635.495535
2025-04-08T12:00:00,58890,58980,57000,57380,3765.084712
2025-04-08T16:00:00,57380,57540,54800,54910,1521.792323
2025-04-08T20:00:00,54910,55770,54540,55400,2111.148539
2025-04-09T00:00:00,55400,56070,53500,54790,7639.683803
2025-04-09T04:00:00,54780,56910,54730,56690,3391.344067
2025-04-09T08:00:00,56570,56590,54690,55110,6533.779105
2025-04-09T12:00:00,55110,56340,54060,55920,5196.224019
2025-04-09T16:00:00,55920,60040,55920,59060,5665.751527
2025-04-09T20:00:00,59360,60080,58800,58900,3387.308403
2025-04-10T00:00:00,58900,59000,57120,57990,4679.499483
2025-04-10T04:00:00,58060,59330,57580,58650,3438.222876
2025-04-10T08:00:00,58510,58750,57430,58090,3146.637042
2025-04-10T12:00:00,58030,58970,55560,55980,5033.69166
2025-04-10T16:00:00,56120,57440,55860,57350,1253.165678
2025-04-10T20:00:00,57220,58070,56970,58000,1226.537013
2025-04-11T00:00:00,58000,59900,57810,59510,6051.912813
2025-04-11T04:00:00,59640,61280,59490,59960,16335.531168
2025-04-11T08:00:00,59750,60100,58900,59010,12330.863141
2025-04-11T12:00:00,59010,59750,58510,59130,3439.039504
2025-04-11T16:00:00,59130,59520,58970,59180,560.413886
2025-04-11T20:00:00,59000,59380,58760,58970,2708.489727
2025-04-12T00:00:00,58970,59270,58310,58670,10551.301052
2025-04-12T04:00:00,58700,59110,58350,58510,1341.425476
2025-04-12T08:00:00,58500,59150,58500,58500,1293.054291
2025-04-12T12:00:00,58580,61310,58480,60650,5631.366899
2025-04-12T16:00:00,60760,60930,60000,60410,3524.330359
