datetime,open,high,low,close,volume
2025-02-25T08:00:00,410,970.1,410,730.3,291202933.840453
2025-02-25T12:00:00,730.2,746,596.2,660.1,398726950.174815
2025-02-25T16:00:00,660.5,687.1,620.1,648.9,60009704.628987
2025-02-25T20:00:00,648.9,664.2,597,607.4,72234252.63448
2025-02-26T00:00:00,608.3,633.8,555.7,560.8,72304782.557209
2025-02-26T04:00:00,560.7,580,557.7,566,17570638.144755
2025-02-26T08:00:00,566.1,612.1,546,568.8,74671584.855803
2025-02-26T12:00:00,568.8,585.5,552.2,576,21091244.229072
2025-02-26T16:00:00,576,580.6,556.4,570.7,4711639.376808
2025-02-26T20:00:00,569.9,586.9,556.9,576.4,8299385.161828
2025-02-27T00:00:00,577.1,613.3,549.6,558.3,86133063.408882
2025-02-27T04:00:00,558,560.8,542.2,556.5,10193035.365861
2025-02-27T08:00:00,556.5,571.6,549,568.4,14413342.853339
2025-02-27T12:00:00,568.4,568.4,545.2,548.2,8225404.443327
2025-02-27T16:00:00,547.8,555.5,541.7,547.7,2000779.4524
2025-02-27T20:00:00,546.8,547.1,535.8,544.5,4851939.517461
2025-02-28T00:00:00,544.2,545,485.8,486.2,18121500.65651
2025-02-28T04:00:00,486.7,512.9,483,507,7120029.410895
2025-02-28T08:00:00,507,508.8,491.8,497.9,2755558.210019
2025-02-28T12:00:00,499.7,521.3,498.5,513,2822303.527589
2025-02-28T16:00:00,514,522.7,509.1,518.7,1578864.758669
2025-02-28T20:00:00,518.9,520,511,516.5,1114143.417607
2025-03-01T00:00:00,517.2,521.8,504.5,519.3,3309963.763643
2025-03-01T04:00:00,519.3,526.7,512.5,514.9,2199752.853453
2025-03-01T08:00:00,515.6,521,497.3,500.3,1737193.51022
2025-03-01T12:00:00,501.3,502.8,492.2,495.9,1584782.042358
2025-03-01T16:00:00,495.9,498.4,491.6,494,272046.769
2025-03-01T20:00:00,494,504,493.4,500.7,747585.334771
2025-03-02T00:00:00,500.7,506.9,495.8,500.3,1852937.883161
2025-03-02T04:00:00,500.9,504.4,492.9,496.4,1341373.99901
2025-03-02T08:00:00,496.5,510,496.2,505.4,1711936.270843
2025-03-02T12:00:00,505.6,512.8,484.1,501.5,3194719.623305
2025-03-02T16:00:00,502.5,540.3,490,536.1,7569089.51432
2025-03-02T20:00:00,536,541,527.3,537.6,2041560.635939
2025-03-03T00:00:00,536.6,537.9,501.1,508.5,2636666.066649
2025-03-03T04:00:00,508.5,510.2,481.2,496,2322397.667216
2025-03-03T08:00:00,496,496.6,478.8,487.2,1714916.532106
2025-03-03T12:00:00,488.3,493,473.2,476.1,2139565.625392
2025-03-03T16:00:00,476.1,478.4,444,447.4,3368755.556648
2025-03-03T20:00:00,447.3,450.9,433.2,441,2772334.140071
2025-03-04T00:00:00,441,445,404.8,421.8,3000412.763056
2025-03-04T04:00:00,421,431.8,420.3,425.1,1320307.279076
2025-03-04T08:00:00,426.3,430.1,420.4,426.8,601326.888033
2025-03-04T12:00:00,425.8,439.2,414.9,432.7,1946759.268256
2025-03-04T16:00:00,432.7,440,406.8,436.5,635817.597491
2025-03-04T20:00:00,436.5,443.5,430.2,438.1,491816.552718
2025-03-05T00:00:00,437.7,504,427.3,446.8,23497096.10308
2025-03-05T04:00:00,445.4,536.5,445.4,457.5,69073551.217329
2025-03-05T08:00:00,457,467.9,450,463.3,8756458.761927
2025-03-05T12:00:00,463.3,469.9,447.4,451.3,3326949.141104
2025-03-05T16:00:00,450.5,459,443.6,457.8,705102.929556
2025-03-05T20:00:00,457.2,458.1,453.1,454.2,1208703.536248
2025-03-06T00:00:00,454.2,455.4,440,452,2769511.073842
2025-03-06T04:00:00,452.1,462.8,445.8,446.9,1920181.505833
2025-03-06T08:00:00,448,455.2,445.3,453.4,1033140.008145
2025-03-06T12:00:00,453.4,453.6,437.7,449.2,1361124.769216
2025-03-06T16:00:00,450.6,450.6,434.1,438.9,364655.786051
2025-03-06T20:00:00,439.7,451.6,436.5,437,354838.441932
2025-03-07T00:00:00,437.3,443.1,421.1,437.7,1348254.39516
2025-03-07T04:00:00,437.7,439,432,435.8,702027.554517
2025-03-07T08:00:00,434.7,441,429.8,436,652130.941472
2025-03-07T12:00:00,436.1,444.7,431.8,442,606442.785231
2025-03-07T16:00:00,442,447.9,434,440.3,223384.604792
2025-03-07T20:00:00,440.8,442.1,423,427.6,371640.289572
2025-03-08T00:00:00,424.9,428.1,416.4,422.5,741129.029396
2025-03-08T04:00:00,423,425.4,416.1,416.1,351451.799162
2025-03-08T08:00:00,417,420.6,412.8,413.6,933867.828508
2025-03-08T12:00:00,415.2,425.6,413.3,418.3,389114.638408
2025-03-08T16:00:00,418.3,425,412.4,421.8,188271.40162
2025-03-08T20:00:00,422.3,423.4,416.4,421.3,136130.566094
2025-03-09T00:00:00,421.4,425.4,415.2,416.6,985701.918031
2025-03-09T04:00:00,416,420.3,410.6,413.8,430956.201198
2025-03-09T08:00:00,413.8,413.8,402.4,407.1,811225.128771
2025-03-09T12:00:00,406.6,408.5,390,390.2,1219400.17367
2025-03-09T16:00:00,390.2,396,370,378.8,1403295.144167
2025-03-09T20:00:00,378.5,383.1,370.1,375.6,298794.556885
2025-03-10T00:00:00,375.6,387.8,368.3,382.3,1037644.783526
2025-03-10T04:00:00,381.3,388.8,381.2,387.9,588693.628849
2025-03-10T08:00:00,388,404.5,383.1,403.7,1049676.753724
2025-03-10T12:00:00,401.2,433.2,381.5,392.2,9835754.25322
2025-03-10T16:00:00,392.3,393.5,368,383,891357.081735
2025-03-10T20:00:00,387,390.3,379.1,379.2,422995.133517
2025-03-11T00:00:00,379.2,382.7,354.7,378.7,2048047.614213
2025-03-11T04:00:00,377.9,390,377.3,380.8,581656.796208
2025-03-11T08:00:00,380.1,385.3,379,382.2,352680.132447
2025-03-11T12:00:00,383.3,392,374.4,390,475580.955398
2025-03-11T16:00:00,389.3,408.7,388.9,408.3,127728.499601
2025-03-11T20:00:00,406,408.6,395.7,397.3,328532.365525
2025-03-12T00:00:00,397.5,408.9,384.5,385.9,1454043.50751
2025-03-12T04:00:00,385.9,398.9,383,397.9,557421.948997
2025-03-12T08:00:00,399,407.1,395.3,406.7,650610.648587
2025-03-12T12:00:00,407,415,402.5,408.7,864827.231028
2025-03-12T16:00:00,407.2,414.1,407,413.5,70115.997026
2025-03-12T20:00:00,412.1,433,411.7,429.7,1987931.47969
2025-03-13T00:00:00,429.5,459.9,412.7,417.3,19505215.424172
2025-03-13T04:00:00,418,418.9,409.5,414,912467.777896
2025-03-13T08:00:00,413.8,421.9,408.9,416,786210.550514
2025-03-13T12:00:00,416.8,421.9,410,416.4,552053.779185
2025-03-13T16:00:00,416.4,416.5,385.9,401.2,6713967.850617
2025-03-13T20:00:00,401.2,406.3,395.8,401.7,776017.366926
2025-03-14T00:00:00,401.3,407,399.6,402.6,1868089.586409
2025-03-14T04:00:00,402.6,416.3,402.6,413.4,2441884.131908
2025-03-14T08:00:00,413.6,422.6,413.5,422.1,1210214.390248
2025-03-14T12:00:00,422,432.4,418.5,429.4,1885732.626157
2025-03-14T16:00:00,429.5,438.8,428.1,429.3,957313.484309
