datetime,open,high,low,close,volume
2025-10-22T04:00:00,136,241,136,207,133784556.964882
2025-10-22T08:00:00,208,211,174,194,194358992.24657
2025-10-22T12:00:00,194,197,160,161,100488737.980686
2025-10-22T16:00:00,161,167,155,157,17785429.396744
2025-10-22T20:00:00,156,162,152,154,26221454.496537
2025-10-23T00:00:00,154,161,145,147,39533754.343614
2025-10-23T04:00:00,148,156,145,151,32013450.407331
2025-10-23T08:00:00,150,153,148,150,13515307.185134
2025-10-23T12:00:00,150,150,143,146,12471900.691486
2025-10-23T16:00:00,145,147,143,146,4630808.926417
2025-10-23T20:00:00,145,149,144,148,6256249.555554
2025-10-24T00:00:00,148,154,143,145,27860163.15141
2025-10-24T04:00:00,146,148,142,143,18592438.148587
2025-10-24T08:00:00,143,144,140,142,10866096.312191
2025-10-24T12:00:00,142,144,139,139,8527442.055361
2025-10-24T16:00:00,139,142,137,141,3112351.934524
2025-10-24T20:00:00,141,144,140,143,2800821.026862
2025-10-25T00:00:00,142,149,141,149,14842874.747584
2025-10-25T04:00:00,149,151,143,147,8932729.919068
2025-10-25T08:00:00,146,147,143,145,4737271.945098
2025-10-25T12:00:00,145,148,144,147,4814729.416097
2025-10-25T16:00:00,147,147,145,145,1076263.47287
2025-10-25T20:00:00,146,147,146,147,92884.349058
2025-10-26T00:00:00,147,147,141,142,5348354.042108
2025-10-26T04:00:00,142,143,138,139,5648850.293579
2025-10-26T08:00:00,139,143,139,142,3324530.039241
2025-10-26T12:00:00,142,143,140,141,3154371.174244
2025-10-26T16:00:00,141,141,140,140,745349.619409
2025-10-26T20:00:00,140,141,138,140,4044046.643877
2025-10-27T00:00:00,141,142,137,139,4784320.041664
2025-10-27T04:00:00,139,139,136,137,4458342.270723
2025-10-27T08:00:00,137,137,129,132,8324404.065598
2025-10-27T12:00:00,132,132,128,129,3320317.356419
2025-10-27T16:00:00,129,135,128,133,2286675.166245
2025-10-27T20:00:00,133,134,130,133,1680560.618659
2025-10-28T00:00:00,133,134,129,130,2072217.992834
2025-10-28T04:00:00,130,132,129,132,1839920.779515
2025-10-28T08:00:00,131,132,129,129,1837798.294073
2025-10-28T12:00:00,129,132,129,131,1021123.716946
2025-10-28T16:00:00,131,132,129,130,354603.234227
2025-10-28T20:00:00,130,132,128,131,588676.788093
2025-10-29T00:00:00,130,131,126,127,1469229.743169
2025-10-29T04:00:00,127,128,125,125,1269665.314755
2025-10-29T08:00:00,125,126,121,123,6559681.042046
2025-10-29T12:00:00,123,123,120,121,1906573.20093
2025-10-29T16:00:00,122,125,119,125,1040581.045058
2025-10-29T20:00:00,124,125,120,121,1376904.848517
2025-10-30T00:00:00,121,122,115,116,4725222.057696
2025-10-30T04:00:00,116,116,110,113,9554444.849076
2025-10-30T08:00:00,113,113,107,107,6176351.259553
2025-10-30T12:00:00,107,108,101,102,11311926.638575
2025-10-30T16:00:00,102,103,100,102,3619392.588106
2025-10-30T20:00:00,102,109,101,109,2786192.113837
2025-10-31T00:00:00,109,110,106,108,2793098.518744
2025-10-31T04:00:00,109,109,105,107,1299786.791739
2025-10-31T08:00:00,106,109,105,107,2501139.673371
2025-10-31T12:00:00,107,107,104,107,1817955.568095
2025-10-31T16:00:00,107,107,103,105,1168620.306023
2025-10-31T20:00:00,106,106,103,105,1615023.857714
2025-11-01T00:00:00,105,106,101,103,2917570.635753
2025-11-01T04:00:00,104,104,99.6,101,4795930.826226
2025-11-01T08:00:00,101,102,99.4,102,2320574.896261
2025-11-01T12:00:00,102,103,100,101,1997448.317324
2025-11-01T16:00:00,100,102,100,102,1408888.213403
2025-11-01T20:00:00,102,102,100,102,1355999.646896
2025-11-02T00:00:00,101,103,100,101,1555425.011762
