datetime,open,high,low,close,volume
2025-10-07T04:00:00,8.72,24,8.72,19.9,3920344372.904385
2025-10-07T08:00:00,19.9,20,16,17.5,7668488585.579032
2025-10-07T12:00:00,17.5,18.9,16.5,17.1,3046813115.002555
2025-10-07T16:00:00,17.2,17.5,14.9,15,1513352705.75949
2025-10-07T20:00:00,15,16.2,14.8,15.7,804638282.915839
2025-10-08T00:00:00,15.7,16,14.5,15.4,1287004027.827892
2025-10-08T04:00:00,15.3,15.4,14.2,14.7,533406820.667878
2025-10-08T08:00:00,14.6,16.1,14.5,14.7,770186239.011711
2025-10-08T12:00:00,14.6,15,14.4,14.7,283734118.865342
2025-10-08T16:00:00,14.8,15.4,14.7,14.9,135087549.046315
2025-10-08T20:00:00,14.9,15.2,14.6,14.6,114266600.385975
2025-10-09T00:00:00,14.6,16.7,14.6,15.7,2731409628.433061
2025-10-09T04:00:00,15.7,15.8,15.3,15.6,329541433.034009
2025-10-09T08:00:00,15.6,17.8,15,17.6,1358846359.771309
2025-10-09T12:00:00,17.5,18.4,16.7,17,1888155236.763704
2025-10-09T16:00:00,17,17.6,16.7,17.3,345218775.743991
2025-10-09T20:00:00,17.2,18.4,17.2,17.7,524628112.254598
2025-10-10T00:00:00,17.7,18,15.7,15.8,959066389.071153
2025-10-10T04:00:00,15.8,16,15,15.4,589922286.230446
2025-10-10T08:00:00,15.5,15.9,15,15.3,525285536.261862
2025-10-10T12:00:00,15.3,16.1,14.8,15,665362040.465754
2025-10-10T16:00:00,15,15.2,14.7,14.8,123929304.056017
2025-10-10T20:00:00,14.8,14.9,8.99,12.5,1099977386.059977
2025-10-11T00:00:00,12.3,12.8,10.8,11.5,531970276.175515
2025-10-11T04:00:00,11.5,11.8,11.1,11.4,205041835.582717
2025-10-11T08:00:00,11.4,12.6,11.3,12.5,333111563.892097
2025-10-11T12:00:00,12.4,12.7,11.4,11.7,318126930.823336
2025-10-11T16:00:00,11.7,11.9,11,11.3,72505227.345949
2025-10-11T20:00:00,11.2,11.3,10.7,11.2,89582380.013419
2025-10-12T00:00:00,11.2,11.4,10.7,11.1,203862692.239394
2025-10-12T04:00:00,11.1,11.5,11.1,11.1,95123483.769003
2025-10-12T08:00:00,11.1,11.8,10.9,11.6,150186204.27818
2025-10-12T12:00:00,11.6,12.3,11.1,12.1,147235039.463614
2025-10-12T16:00:00,12.1,12.3,11.9,12.1,74216828.632231
2025-10-12T20:00:00,12.1,12.4,12,12.4,61717104.441519
2025-10-13T00:00:00,12.4,12.6,11.9,12.2,133856666.556238
2025-10-13T04:00:00,12.2,12.4,12,12.2,101495193.954997
2025-10-13T08:00:00,12.3,13.4,12.2,12.9,181768334.130887
2025-10-13T12:00:00,12.8,13.3,12.6,12.7,124526813.473603
2025-10-13T16:00:00,12.8,12.9,12.5,12.8,31906455.859718
2025-10-13T20:00:00,12.9,13.3,12.8,13.1,42675985.385188
2025-10-14T00:00:00,13,13.1,12.3,12.4,132855199.91414
2025-10-14T04:00:00,12.4,12.4,11.5,11.7,209233317.400033
2025-10-14T08:00:00,11.6,11.8,11.4,11.7,105819353.834735
2025-10-14T12:00:00,11.7,12.3,11.5,12.2,107272396.200112
2025-10-14T16:00:00,12.2,12.4,11.8,12.2,46459766.881778
2025-10-14T20:00:00,12.2,12.3,12.1,12.1,32689572.028029
2025-10-15T00:00:00,12.2,12.7,11.7,11.8,152654062.293221
2025-10-15T04:00:00,11.8,12,11.4,11.7,147657295.042671
2025-10-15T08:00:00,11.7,11.8,11.4,11.5,71171259.269102
2025-10-15T12:00:00,11.5,11.6,11.1,11.2,132438404.514421
2025-10-15T16:00:00,11.3,11.3,10.9,11,45728455.446259
2025-10-15T20:00:00,11,11.1,10.8,10.9,71547559.759966
2025-10-16T00:00:00,10.9,11.6,10.7,11.3,166054056.074991
2025-10-16T04:00:00,11.2,11.5,11.1,11.4,132988145.358978
2025-10-16T08:00:00,11.3,11.7,11.1,11.4,173277180.588364
2025-10-16T12:00:00,11.3,11.4,10.7,10.7,76317006.328938
2025-10-16T16:00:00,10.8,11,10.4,10.6,50767108.804134
