datetime,open,high,low,close,volume
2024-11-08T08:00:00,620.1,1404,620.1,1129,199022152.047432
2024-11-08T12:00:00,1130,1425,1105,1290,168645287.503572
2024-11-08T16:00:00,1290,1870,1258,1787,239640887.297924
2024-11-08T20:00:00,1791,2080,1508,2037,229105321.016696
2024-11-09T00:00:00,2036,3950,1880,2800,514350149.358025
2024-11-09T04:00:00,2797,3041,2587,2745,114811998.214851
2024-11-09T08:00:00,2747,2761,2234,2358,101861635.456824
2024-11-09T12:00:00,2359,2394,2039,2388,83939215.787909
2024-11-09T16:00:00,2391,2633,2233,2410,87071643.512163
2024-11-09T20:00:00,2410,2550,2312,2495,40340441.80193
2024-11-10T00:00:00,2500,2750,2282,2498,146105412.86049
2024-11-10T04:00:00,2498,2498,2317,2431,42448197.762186
2024-11-10T08:00:00,2428,2662,2354,2562,84647016.7325
2024-11-10T12:00:00,2563,2646,2364,2440,70295006.617145
2024-11-10T16:00:00,2440,2548,2380,2515,25131760.728642
2024-11-10T20:00:00,2517,2555,2368,2471,21223014.689931
2024-11-11T00:00:00,2471,2478,2276,2315,35766203.563818
2024-11-11T04:00:00,2315,2333,2180,2214,24125542.039842
2024-11-11T08:00:00,2214,2338,2208,2283,27540721.778998
2024-11-11T12:00:00,2283,2285,2185,2210,17541407.781333
2024-11-11T16:00:00,2204,2218,2168,2176,9007529.045382
2024-11-11T20:00:00,2176,2256,2081,2255,24766512.432928
2024-11-12T00:00:00,2255,2257,2073,2113,26144178.643692
2024-11-12T04:00:00,2113,2125,2033,2077,14279277.615891
2024-11-12T08:00:00,2077,2149,1856,1945,26818713.48622
2024-11-12T12:00:00,1942,1965,1857,1916,8537910.789096
2024-11-12T16:00:00,1916,1948,1882,1937,2006653.187637
2024-11-12T20:00:00,1937,1999,1911,1976,4225038.294042
2024-11-13T00:00:00,1974,2156,1904,2041,39304413.102716
2024-11-13T04:00:00,2042,2292,1820,1842,74643797.474968
2024-11-13T08:00:00,1842,1902,1780,1822,10671284.965592
2024-11-13T12:00:00,1822,1846,1771,1811,9985697.836739
2024-11-13T16:00:00,1813,1844,1788,1790,3041287.788132
2024-11-13T20:00:00,1790,1831,1769,1818,3700272.681015
2024-11-14T00:00:00,1819,1822,1669,1697,13957467.95578
2024-11-14T04:00:00,1697,1759,1693,1731,3494128.041989
2024-11-14T08:00:00,1731,1736,1660,1683,3814860.87094
2024-11-14T12:00:00,1680,1697,1627,1649,3512619.338481
2024-11-14T16:00:00,1649,1683,1641,1658,932688.75932
2024-11-14T20:00:00,1657,1663,1553,1600,4239998.100537
2024-11-15T00:00:00,1598,1720,1523,1681,14671491.824445
2024-11-15T04:00:00,1681,1794,1617,1743,22038386.756865
2024-11-15T08:00:00,1740,1745,1680,1708,8409288.496671
2024-11-15T12:00:00,1709,1735,1646,1676,5479205.622581
2024-11-15T16:00:00,1676,1715,1664,1707,1057115.900003
2024-11-15T20:00:00,1709,1743,1705,1725,2194826.239929
2024-11-16T00:00:00,1728,1792,1693,1746,10534953.62246
2024-11-16T04:00:00,1746,1750,1701,1718,3328629.741416
2024-11-16T08:00:00,1718,1725,1661,1712,3813768.675915
2024-11-16T12:00:00,1711,1714,1647,1666,3911935.790116
2024-11-16T16:00:00,1666,1707,1654,1699,754979.427419
2024-11-16T20:00:00,1699,1723,1675,1719,1561373.499601
2024-11-17T00:00:00,1719,1756,1591,1635,5849177.14261
2024-11-17T04:00:00,1635,1906,1635,1810,37116247.575681
2024-11-17T08:00:00,1810,2245,1790,2230,90894854.117078
2024-11-17T12:00:00,2230,2243,1975,2017,69590659.21102
2024-11-17T16:00:00,2016,2179,2011,2168,15731203.436946
2024-11-17T20:00:00,2168,2274,2006,2270,27090443.495331
2024-11-18T00:00:00,2268,2283,2060,2140,44673453.801029
2024-11-18T04:00:00,2139,2419,2116,2294,81732563.509159
2024-11-18T08:00:00,2290,2337,2204,2228,27549180.415297
2024-11-18T12:00:00,2231,2250,2123,2147,15574685.398042
2024-11-18T16:00:00,2147,2150,2091,2106,6728174.735043
2024-11-18T20:00:00,2106,2194,2093,2191,7473839.242205
2024-11-19T00:00:00,2191,2193,2065,2071,14428189.37635
2024-11-19T04:00:00,2071,2074,1996,2007,12936476.520383
2024-11-19T08:00:00,2008,2043,1999,2017,5635446.70276
2024-11-19T12:00:00,2018,2049,2000,2016,5923991.306804
2024-11-19T16:00:00,2016,2035,2000,2020,1617860.421341
2024-11-19T20:00:00,2020,2023,1954,2008,4328358.193012
2024-11-20T00:00:00,2008,2009,1821,1887,10472713.505874
2024-11-20T04:00:00,1887,1915,1857,1897,3418702.582449
2024-11-20T08:00:00,1896,1909,1851,1875,3046666.677102
2024-11-20T12:00:00,1875,1910,1850,1885,3088946.986247
2024-11-20T16:00:00,1885,1890,1810,1841,1548198.145393
2024-11-20T20:00:00,1844,1893,1830,1866,1119796.380436
2024-11-21T00:00:00,1866,2014,1848,1888,21344809.548173
2024-11-21T04:00:00,1889,1894,1824,1877,5176835.451968
2024-11-21T08:00:00,1877,1920,1856,1911,3967493.858913
2024-11-21T12:00:00,1910,1935,1855,1893,5611867.293036
2024-11-21T16:00:00,1895,1943,1871,1901,1444745.718705
2024-11-21T20:00:00,1901,1929,1882,1924,1414477.801192
2024-11-22T00:00:00,1924,1925,1857,1893,5545424.148482
2024-11-22T04:00:00,1896,1911,1873,1880,2436796.713294
2024-11-22T08:00:00,1880,1945,1880,1893,3245566.65365
2024-11-22T12:00:00,1893,1906,1741,1872,6205690.483941
2024-11-22T16:00:00,1871,1888,1831,1888,1157636.326968
2024-11-22T20:00:00,1888,1946,1871,1939,2517939.112685
2024-11-23T00:00:00,1936,1941,1841,1865,6436309.47853
2024-11-23T04:00:00,1862,1891,1846,1883,3882537.915087
2024-11-23T08:00:00,1883,1923,1880,1909,3111489.897315
2024-11-23T12:00:00,1909,1974,1902,1925,6112128.551996
2024-11-23T16:00:00,1925,1939,1839,1910,3927455.668182
2024-11-23T20:00:00,1910,1925,1859,1912,1911622.299357
2024-11-24T00:00:00,1912,1933,1887,1904,4093702.588293
2024-11-24T04:00:00,1904,1935,1878,1896,3298835.410729
2024-11-24T08:00:00,1896,1907,1791,1793,4225019.672081
2024-11-24T12:00:00,1793,1829,1743,1767,3557800.761451
2024-11-24T16:00:00,1766,1832,1762,1819,471789.929025
2024-11-24T20:00:00,1818,1862,1815,1850,1842015.392626
2024-11-25T00:00:00,1851,1900,1812,1842,4390077.573646
2024-11-25T04:00:00,1842,1865,1821,1857,1250478.661901
2024-11-25T08:00:00,1857,1896,1844,1871,2515379.408255
2024-11-25T12:00:00,1871,1876,1782,1844,2510014.654026
2024-11-25T16:00:00,1849,1862,1805,1844,728916.465613
2024-11-25T20:00:00,1844,1878,1775,1820,1434315.653104
2024-11-26T00:00:00,1821,1849,1792,1831,1988659.828421
2024-11-26T04:00:00,1833,1836,1795,1802,2020723.046976
2024-11-26T08:00:00,1800,1802,1689,1726,3165858.792252
2024-11-26T12:00:00,1726,1756,1695,1721,1705733.695783
2024-11-26T16:00:00,1721,1760,1697,1719,834797.77909
2024-11-26T20:00:00,1719,1771,1712,1771,819604.708542
2024-11-27T00:00:00,1770,1775,1721,1754,1351103.031415
2024-11-27T04:00:00,1754,1787,1750,1781,1037008.748749
2024-11-27T08:00:00,1780,1787,1750,1780,1207943.318902
2024-11-27T12:00:00,1780,1800,1757,1795,1040127.449524
2024-11-27T16:00:00,1795,1803,1780,1798,556358.428363
2024-11-27T20:00:00,1801,1825,1790,1818,1118919.858754
2024-11-28T00:00:00,1818,1927,1802,1874,11576344.887428
2024-11-28T04:00:00,1870,1948,1850,1918,11029924.598844
2024-11-28T08:00:00,1918,1919,1872,1889,4238375.566434
2024-11-28T12:00:00,1889,1934,1858,1919,4225132.379109
2024-11-28T16:00:00,1919,1945,1903,1919,2017314.104415
2024-11-28T20:00:00,1919,1964,1907,1961,3033526.819749
2024-11-29T00:00:00,1961,1965,1878,1936,6068442.963844
2024-11-29T04:00:00,1938,2078,1921,1964,12788502.132883
2024-11-29T08:00:00,1967,2024,1963,2018,3061611.25625
2024-11-29T12:00:00,2018,2024,1959,1974,3371862.614837
2024-11-29T16:00:00,1974,2002,1959,1964,1001531.92037
2024-11-29T20:00:00,1964,2007,1964,1989,1653220.786324
2024-11-30T00:00:00,1993,1994,1916,1925,4272123.763071
2024-11-30T04:00:00,1924,1949,1922,1927,1891384.735143
2024-11-30T08:00:00,1932,1934,1892,1913,2616560.742315
2024-11-30T12:00:00,1913,1949,1911,1948,1887392.662389
2024-11-30T16:00:00,1948,1958,1932,1948,800988.100136
2024-11-30T20:00:00,1947,1975,1947,1965,1242560.417998
2024-12-01T00:00:00,1965,1965,1890,1914,3117315.404766
2024-12-01T04:00:00,1914,1983,1904,1970,3131910.626006
2024-12-01T08:00:00,1971,2022,1955,1979,4127814.128139
2024-12-01T12:00:00,1979,2015,1963,2003,3183278.670261
2024-12-01T16:00:00,2003,2092,2000,2066,3584259.72494
2024-12-01T20:00:00,2059,2066,2025,2037,2409312.019779
2024-12-02T00:00:00,2035,2050,1959,1968,4386100.042095
2024-12-02T04:00:00,1968,1997,1933,1960,2434902.70919
2024-12-02T08:00:00,1960,1967,1831,1866,5082570.203327
2024-12-02T12:00:00,1867,1940,1857,1931,2967070.644449
2024-12-02T16:00:00,1932,1940,1871,1901,1059281.047504
2024-12-02T20:00:00,1904,1946,1887,1946,1839831.182758
2024-12-03T00:00:00,1936,1945,1890,1915,2779486.733747
2024-12-03T04:00:00,1915,1937,1896,1908,2566751.959838
2024-12-03T08:00:00,1911,1924,1890,1913,2367975.874391
2024-12-03T12:00:00,1913,1960,806.4,1786,12333645.865654
2024-12-03T16:00:00,1786,1846,1770,1840,2870815.413628
2024-12-03T20:00:00,1843,1951,1839,1946,3290796.58337
2024-12-04T00:00:00,1943,2062,1933,1985,6705531.786982
2024-12-04T04:00:00,1985,2001,1962,1975,2407462.493164
2024-12-04T08:00:00,1975,2021,1967,2016,2099754.722676
2024-12-04T12:00:00,2013,2033,1963,1990,3135452.356515
2024-12-04T16:00:00,1994,1999,1900,1990,1438144.508278
2024-12-04T20:00:00,1990,2015,1948,1992,1623600.597246
2024-12-05T00:00:00,1995,2158,1949,2014,22540107.272023
2024-12-05T04:00:00,2017,2200,2003,2111,16415370.664884
2024-12-05T08:00:00,2111,2283,2103,2250,20683803.225111
2024-12-05T12:00:00,2250,2474,2249,2272,50260755.100956
2024-12-05T16:00:00,2272,2384,2262,2277,4900226.133868
2024-12-05T20:00:00,2273,2320,2169,2262,11010782.116474
2024-12-06T00:00:00,2263,2844,2260,2582,128165982.026928
2024-12-06T04:00:00,2577,2585,2417,2477,26412823.224117
2024-12-06T08:00:00,2475,2498,2300,2335,18346299.514073
2024-12-06T12:00:00,2334,2464,2243,2337,25461328.865413
2024-12-06T16:00:00,2337,2413,2331,2357,2883325.016061
2024-12-06T20:00:00,2357,2408,2342,2378,4766847.911266
2024-12-07T00:00:00,2378,2379,2253,2303,11724124.675677
2024-12-07T04:00:00,2303,2315,2203,2236,4656071.321653
2024-12-07T08:00:00,2236,2285,2216,2275,2948871.158201
2024-12-07T12:00:00,2275,2322,2250,2304,1987050.964725
2024-12-07T16:00:00,2304,2308,2270,2288,1326049.973565
2024-12-07T20:00:00,2290,2296,2260,2290,1255156.954994
2024-12-08T00:00:00,2290,2292,2230,2246,2946863.045702
2024-12-08T04:00:00,2243,2246,2184,2213,3387959.630786
2024-12-08T08:00:00,2219,2219,2171,2203,1993419.083963
2024-12-08T12:00:00,2203,2275,2192,2269,2650219.53056
2024-12-08T16:00:00,2268,2280,2241,2263,468111.651408
2024-12-08T20:00:00,2262,2268,2230,2255,819627.098343
2024-12-09T00:00:00,2251,2255,2125,2152,3595997.101021
2024-12-09T04:00:00,2152,2194,2111,2145,2924174.55062
2024-12-09T08:00:00,2147,2147,1996,2001,4966424.999068
2024-12-09T12:00:00,2000,2120,1978,2076,3262461.267261
2024-12-09T16:00:00,2072,2095,2018,2030,603071.864889
2024-12-09T20:00:00,2029,2035,1720,1875,6164161.689535
2024-12-10T00:00:00,1875,2061,1721,1813,18348132.487035
2024-12-10T04:00:00,1813,1865,1760,1831,2429201.411431
2024-12-10T08:00:00,1829,1860,1793,1809,1618035.92981
2024-12-10T12:00:00,1808,1809,1670,1670,3459870.73613
2024-12-10T16:00:00,1675,1712,1628,1708,1939311.831851
2024-12-10T20:00:00,1707,1753,1693,1740,1306766.115097
2024-12-11T00:00:00,1740,1837,1661,1739,9082796.539105
2024-12-11T04:00:00,1742,1752,1710,1714,1169237.792121
2024-12-11T08:00:00,1708,1802,1707,1786,1580341.515148
2024-12-11T12:00:00,1786,1865,1777,1857,2216667.396753
