datetime,open,high,low,close,volume
2026-03-04T08:00:00,131,432,131,317,155577016.081446
2026-03-04T12:00:00,317,327,288,296,61818918.855688
2026-03-04T16:00:00,296,297,250,271,24838273.614014
2026-03-04T20:00:00,271,283,265,271,12154139.227533
2026-03-05T00:00:00,270,289,244,263,28901038.96823
2026-03-05T04:00:00,263,265,252,257,6107602.357782
2026-03-05T08:00:00,257,261,252,256,3206930.536306
2026-03-05T12:00:00,256,263,255,256,2501667.950036
2026-03-05T16:00:00,255,256,246,253,821541.819479
2026-03-05T20:00:00,252,256,248,256,1552231.366109
2026-03-06T00:00:00,253,276,234,236,15495212.879559
2026-03-06T04:00:00,236,236,229,231,3801606.963501
2026-03-06T08:00:00,232,235,231,231,2635256.411707
2026-03-06T12:00:00,231,233,222,224,2021274.001468
2026-03-06T16:00:00,226,226,216,219,924966.370221
2026-03-06T20:00:00,219,229,216,223,1406769.670121
2026-03-07T00:00:00,224,234,213,216,4678534.371339
2026-03-07T04:00:00,216,217,207,213,1843021.19522
2026-03-07T08:00:00,212,216,208,212,1019390.401821
2026-03-07T12:00:00,212,217,209,215,771157.436993
2026-03-07T16:00:00,215,215,211,212,333508.976224
2026-03-07T20:00:00,213,216,210,214,598830.343723
2026-03-08T00:00:00,217,217,201,204,2266356.88795
2026-03-08T04:00:00,204,206,201,206,906788.287338
2026-03-08T08:00:00,206,207,202,203,832743.22028
2026-03-08T12:00:00,203,204,199,201,958149.571152
2026-03-08T16:00:00,201,202,198,200,319447.533321
2026-03-08T20:00:00,200,203,198,199,578372.639277
2026-03-09T00:00:00,198,222,197,201,16611320.318348
2026-03-09T04:00:00,201,204,198,200,2034097.43611
2026-03-09T08:00:00,199,202,198,199,1187483.912295
2026-03-09T12:00:00,199,260,198,223,45535617.423647
2026-03-09T16:00:00,223,226,211,218,4455867.485731
2026-03-09T20:00:00,217,227,216,224,5593593.737126
2026-03-10T00:00:00,224,262,224,256,66253996.98952
2026-03-10T04:00:00,256,257,231,233,23783467.119135
2026-03-10T08:00:00,234,239,227,230,11994283.736086
2026-03-10T12:00:00,230,232,221,224,7325043.295462
2026-03-10T16:00:00,224,228,221,227,1730994.67723
2026-03-10T20:00:00,226,230,224,229,2871973.616272
2026-03-11T00:00:00,230,239,214,214,18822507.038619
2026-03-11T04:00:00,214,217,210,210,4915492.826877
2026-03-11T08:00:00,210,212,204,206,6556316.22192
2026-03-11T12:00:00,206,211,205,208,2655421.788976
2026-03-11T16:00:00,208,209,206,208,582700.619829
2026-03-11T20:00:00,209,211,207,209,1655892.145461
2026-03-12T00:00:00,210,210,199,202,4648397.440201
2026-03-12T04:00:00,202,202,200,201,645746.752696
2026-03-12T08:00:00,201,203,200,202,1230839.126811
2026-03-12T12:00:00,201,202,198,201,1111750.578732
2026-03-12T16:00:00,200,202,198,199,486702.26228
2026-03-12T20:00:00,199,202,198,201,795196.050812
