datetime,open,high,low,close,volume
2024-07-09T08:00:00,34160,40500,34160,39510,1423697.249316
2024-07-09T12:00:00,39480,39740,37570,38840,517328.198533
2024-07-09T16:00:00,38780,39110,38020,38380,132695.653221
2024-07-09T20:00:00,38380,39230,37860,39050,154401.302443
2024-07-10T00:00:00,39070,39250,38390,38880,233746.040509
2024-07-10T04:00:00,38880,39000,37800,37920,294865.60974
2024-07-10T08:00:00,37950,38580,37580,38070,206447.158396
2024-07-10T12:00:00,38100,38940,37890,38280,211770.034701
2024-07-10T16:00:00,38300,39490,38020,38150,75843.806226
2024-07-10T20:00:00,38250,38690,38170,38450,40655.838
2024-07-11T00:00:00,38450,38480,36470,36500,232234.208966
2024-07-11T04:00:00,36500,37440,36480,37400,75900.342982
2024-07-11T08:00:00,37390,37450,36790,37060,64960.995243
2024-07-11T12:00:00,37060,38180,36250,36530,183147.576612
2024-07-11T16:00:00,36570,37770,36500,36890,38316.004211
2024-07-11T20:00:00,36800,36900,36250,36280,48605.027182
2024-07-12T00:00:00,36280,37600,35940,36560,169612.471165
2024-07-12T04:00:00,36570,36750,35600,35880,59619.619876
2024-07-12T08:00:00,35880,36360,35330,35950,52156.556303
2024-07-12T12:00:00,35950,37100,35670,36690,60810.330298
2024-07-12T16:00:00,36690,36900,36220,36340,26014.847889
2024-07-12T20:00:00,36320,36350,35750,36120,29648.73808
2024-07-13T00:00:00,36140,36890,35950,36110,76685.255796
2024-07-13T04:00:00,36110,36230,35760,36120,39739.699303
2024-07-13T08:00:00,36120,36360,35520,35570,65352.930993
2024-07-13T12:00:00,35570,35750,35200,35370,73332.112218
2024-07-13T16:00:00,35360,35560,35000,35020,41500.776486
2024-07-13T20:00:00,35100,35980,34950,35570,68984.251242
2024-07-14T00:00:00,35540,36330,35380,35490,89486.587705
2024-07-14T04:00:00,35490,36280,35490,36130,49344.500384
2024-07-14T08:00:00,36120,36550,35760,35920,42315.705155
2024-07-14T12:00:00,35920,37100,35740,36640,65759.139614
2024-07-14T16:00:00,36630,37320,36350,36890,38202.394825
2024-07-14T20:00:00,36890,37360,36840,36910,37857.106161
2024-07-15T00:00:00,36910,38200,36900,38190,89286.954555
2024-07-15T04:00:00,38190,38810,37900,38040,87078.258606
2024-07-15T08:00:00,38040,38250,37320,37680,53336.355864
2024-07-15T12:00:00,37700,38610,37530,38420,53131.680713
2024-07-15T16:00:00,38410,39460,38310,38760,50917.441145
2024-07-15T20:00:00,38800,40500,38800,40130,109895.002554
2024-07-16T00:00:00,40150,40370,38580,38940,184191.709943
2024-07-16T04:00:00,38960,39110,37130,37320,277933.482874
2024-07-16T08:00:00,37330,38200,37170,38040,75583.780393
2024-07-16T12:00:00,38040,38750,37340,38680,115902.088729
2024-07-16T16:00:00,38680,38890,37810,38300,57789.572622
2024-07-16T20:00:00,38300,38310,37610,37850,75869.307433
2024-07-17T00:00:00,37880,38710,37430,38010,133082.291938
2024-07-17T04:00:00,38040,38420,37790,37850,75890.173994
2024-07-17T08:00:00,37850,37960,36770,36900,143528.040339
2024-07-17T12:00:00,36900,38690,36770,38020,199263.264765
2024-07-17T16:00:00,38020,38180,37060,37380,50232.065331
2024-07-17T20:00:00,37350,37840,36450,36530,82120.97357
2024-07-18T00:00:00,36530,37330,36390,36930,115323.669699
2024-07-18T04:00:00,36930,37000,36350,36440,76155.53574
2024-07-18T08:00:00,36440,37200,36170,37120,109919.568904
2024-07-18T12:00:00,37130,38000,36580,36630,125379.984691
2024-07-18T16:00:00,36630,37020,36000,36280,36582.453298
2024-07-18T20:00:00,36320,36960,36220,36530,35835.282164
2024-07-19T00:00:00,36530,36620,35500,36380,91601.78057
2024-07-19T04:00:00,36400,36820,35960,36070,55511.239473
2024-07-19T08:00:00,36050,36310,35750,36240,37327.069892
2024-07-19T12:00:00,36260,36990,35950,36610,53320.679333
2024-07-19T16:00:00,36610,37190,36610,36970,46151.421636
2024-07-19T20:00:00,36970,37360,36780,37160,46271.625128
2024-07-20T00:00:00,37170,37280,36650,37070,70212.852205
2024-07-20T04:00:00,37050,37330,36970,37060,32103.42889
2024-07-20T08:00:00,37050,37450,36810,36900,45156.294498
2024-07-20T12:00:00,36920,37420,36660,37360,63328.626995
2024-07-20T16:00:00,37370,37700,36900,37030,47651.165651
2024-07-20T20:00:00,37030,37300,36910,37150,34384.261267
2024-07-21T00:00:00,37170,37510,36960,37320,69464.266127
2024-07-21T04:00:00,37280,37330,36360,36640,65267.375482
2024-07-21T08:00:00,36640,37030,36450,36530,33109.908812
2024-07-21T12:00:00,36530,36920,36020,36630,62068.541977
2024-07-21T16:00:00,36710,37420,35820,37060,56211.799634
2024-07-21T20:00:00,37070,38350,37010,38040,65190.198649
2024-07-22T00:00:00,38070,38680,36720,36780,114107.488103
2024-07-22T04:00:00,36780,36900,36170,36570,111915.306191
2024-07-22T08:00:00,36600,37230,36350,37230,54094.913789
2024-07-22T12:00:00,37230,37290,36240,36530,80982.405454
2024-07-22T16:00:00,36520,36840,36340,36780,11617.391478
2024-07-22T20:00:00,36820,36900,35760,35870,77249.403287
2024-07-23T00:00:00,35870,39870,35800,38500,918745.838053
2024-07-23T04:00:00,38550,39120,37370,38270,522610.353547
2024-07-23T08:00:00,38270,42700,38110,42050,1618651.813859
2024-07-23T12:00:00,42060,42650,40380,41230,789626.701195
2024-07-23T16:00:00,41200,41800,40110,41320,187964.626226
2024-07-23T20:00:00,41320,41940,40510,41610,222090.128232
2024-07-24T00:00:00,41610,42060,39890,40410,475471.248752
2024-07-24T04:00:00,40410,40460,39520,39830,262426.149806
2024-07-24T08:00:00,39830,40240,38960,39040,369587.745577
2024-07-24T12:00:00,39060,39380,38550,38600,393424.892189
2024-07-24T16:00:00,38600,38870,37680,37770,190651.58439
2024-07-24T20:00:00,37770,38470,37690,38360,221489.507407
2024-07-25T00:00:00,38360,38400,36200,36420,492890.790945
2024-07-25T04:00:00,36430,36760,36050,36410,149510.250028
2024-07-25T08:00:00,36370,36820,35910,36730,161279.821357
2024-07-25T12:00:00,36730,37310,36300,36620,209353.511814
2024-07-25T16:00:00,36620,37090,35910,36650,54360.079866
2024-07-25T20:00:00,36660,37310,36020,37180,90417.460645
2024-07-26T00:00:00,37180,37840,36600,37220,186182.851249
2024-07-26T04:00:00,37220,38410,37180,37900,133241.531574
2024-07-26T08:00:00,37920,38170,37420,37580,90731.112816
2024-07-26T12:00:00,37580,37790,37080,37490,122026.714022
2024-07-26T16:00:00,37490,37760,37130,37490,35991.673767
2024-07-26T20:00:00,37490,37880,37310,37690,47273.898868
2024-07-27T00:00:00,37700,37700,36710,36970,118450.051138
2024-07-27T04:00:00,36970,37490,36920,37390,52616.942673
2024-07-27T08:00:00,37390,37470,37070,37220,68957.10054
2024-07-27T12:00:00,37180,37880,36460,36770,148616.746469
2024-07-27T16:00:00,36750,37070,36480,37040,45969.967246
2024-07-27T20:00:00,36950,37680,36300,37190,88185.742429
2024-07-28T00:00:00,37130,37310,36690,37020,69731.205453
2024-07-28T04:00:00,37030,37110,36310,36630,57164.167284
2024-07-28T08:00:00,36640,37600,36640,37210,46250.86304
2024-07-28T12:00:00,37210,37920,37150,37710,99863.47821
2024-07-28T16:00:00,37700,38220,37450,37880,59348.991624
2024-07-28T20:00:00,37810,37890,36800,37130,56882.754503
2024-07-29T00:00:00,37130,38000,36920,37470,104363.788169
2024-07-29T04:00:00,37470,38010,37470,37840,96682.174258
2024-07-29T08:00:00,37840,39600,37690,38500,218266.810264
2024-07-29T12:00:00,38530,38600,37460,37840,179430.56182
2024-07-29T16:00:00,37840,38700,37430,37890,61052.984769
2024-07-29T20:00:00,37930,38800,37780,38490,67140.43202
2024-07-30T00:00:00,38490,39220,37900,38360,108194.77656
2024-07-30T04:00:00,38340,38820,37830,38750,68951.392881
2024-07-30T08:00:00,38750,39350,37970,38220,94316.686958
2024-07-30T12:00:00,38200,39270,38100,38770,114520.685018
2024-07-30T16:00:00,38770,38770,37190,37220,44744.965351
2024-07-30T20:00:00,37210,37580,36700,37110,72485.812645
2024-07-31T00:00:00,37110,37390,36490,37190,96613.268334
2024-07-31T04:00:00,37180,37700,36580,37110,77148.612674
2024-07-31T08:00:00,37110,37220,36610,36750,62791.532777
2024-07-31T12:00:00,36750,37420,36630,36710,51767.058672
2024-07-31T16:00:00,36710,37120,36030,36330,42995.760388
2024-07-31T20:00:00,36300,36330,35380,35570,101342.712434
2024-08-01T00:00:00,35560,35880,35070,35100,83642.276875
2024-08-01T04:00:00,35080,35180,33670,34120,160578.631221
2024-08-01T08:00:00,34120,34510,34000,34250,74576.067151
2024-08-01T12:00:00,34230,34500,32860,33300,132427.969625
2024-08-01T16:00:00,33300,33420,31900,32810,112367.850994
2024-08-01T20:00:00,32810,34350,32710,34100,74085.446596
2024-08-02T00:00:00,34100,34510,33200,33830,82588.005575
2024-08-02T04:00:00,33790,33870,32550,33130,52193.241493
2024-08-02T08:00:00,33120,33500,32870,33290,22206.177428
2024-08-02T12:00:00,33280,33800,31240,32140,92548.13669
2024-08-02T16:00:00,32140,32500,31510,31830,32860.863554
2024-08-02T20:00:00,31860,32040,31160,31300,50984.154299
2024-08-03T00:00:00,31300,31690,30220,31450,97259.029045
2024-08-03T04:00:00,31490,31560,31140,31350,31780.338372
2024-08-03T08:00:00,31290,31370,30830,31010,28730.46436
2024-08-03T12:00:00,30980,31500,30050,30160,45398.492719
2024-08-03T16:00:00,30140,30230,28970,28970,77685.111515
2024-08-03T20:00:00,29030,29510,28850,29240,51585.000127
2024-08-04T00:00:00,29250,29610,28910,29150,45719.238801
2024-08-04T04:00:00,29150,29200,28190,28250,53404.16891
2024-08-04T08:00:00,28250,28970,27990,28600,42571.473499
2024-08-04T12:00:00,28670,28810,27220,27310,93428.203042
2024-08-04T16:00:00,27350,27480,25630,27220,119974.721039
2024-08-04T20:00:00,27150,27470,26030,26100,70054.545575
2024-08-05T00:00:00,26100,26480,22500,22840,370782.757126
2024-08-05T04:00:00,22820,23160,20590,22660,356241.067263
2024-08-05T08:00:00,22650,22740,21350,21940,121247.204474
2024-08-05T12:00:00,21980,24130,21210,23840,216218.409569
2024-08-05T16:00:00,23840,24840,23110,23490,68333.803635
2024-08-05T20:00:00,23490,24440,23470,23680,50913.08688
2024-08-06T00:00:00,23690,25930,23680,25110,128390.16617
2024-08-06T04:00:00,25100,25820,24880,25410,61628.37159
2024-08-06T08:00:00,25410,25410,24240,24570,102715.961654
2024-08-06T12:00:00,24560,25900,23800,25250,112472.191635
2024-08-06T16:00:00,25250,25490,24920,25000,36231.369929
2024-08-06T20:00:00,25000,25430,24750,24920,23368.771222
2024-08-07T00:00:00,24920,25820,24520,25430,61744.313519
2024-08-07T04:00:00,25420,25820,25120,25490,41487.057083
2024-08-07T08:00:00,25450,25940,25130,25130,48324.371006
2024-08-07T12:00:00,25130,25600,24000,24450,66980.806101
2024-08-07T16:00:00,24380,24530,23730,23870,62191.280304
2024-08-07T20:00:00,23870,24180,23270,23530,66377.631067
2024-08-08T00:00:00,23560,25070,23150,24580,93962.180863
2024-08-08T04:00:00,24580,24770,24330,24430,60392.401324
2024-08-08T08:00:00,24430,24900,24340,24700,39414.393042
2024-08-08T12:00:00,24700,25470,24460,25310,93312.98941
2024-08-08T16:00:00,25260,27400,25260,26390,161619.147717
2024-08-08T20:00:00,26390,28420,26390,28290,152339.403412
2024-08-09T00:00:00,28300,28410,27400,28120,204734.99845
2024-08-09T04:00:00,28120,28190,26990,27450,162586.797667
2024-08-09T08:00:00,27540,27880,27060,27370,70605.02236
2024-08-09T12:00:00,27340,27720,26760,26810,78707.670379
2024-08-09T16:00:00,26810,27320,26750,27220,14800.399447
2024-08-09T20:00:00,27220,27440,26950,27360,16771.778123
2024-08-10T00:00:00,27300,27800,26980,27210,45790.123199
2024-08-10T04:00:00,27200,27610,26890,27570,45068.268498
2024-08-10T08:00:00,27560,27610,27150,27410,33771.209073
2024-08-10T12:00:00,27410,27420,26850,26850,34592.516577
2024-08-10T16:00:00,26850,27180,26770,27010,27836.012244
2024-08-10T20:00:00,26960,27200,26900,27030,20006.125748
2024-08-11T00:00:00,27040,27630,26890,27200,58215.623361
2024-08-11T04:00:00,27230,27980,27030,27850,70750.533872
2024-08-11T08:00:00,27850,29890,27180,27350,492866.971228
2024-08-11T12:00:00,27310,27550,26550,26660,203363.164507
2024-08-11T16:00:00,26660,26830,25930,25960,48706.981617
2024-08-11T20:00:00,25940,25980,25200,25460,84078.267403
2024-08-12T00:00:00,25460,25830,25160,25630,69248.659489
2024-08-12T04:00:00,25730,26480,25270,26340,89205.270427
2024-08-12T08:00:00,26340,27640,26090,27370,137810.528632
2024-08-12T12:00:00,27370,27700,26260,27530,156988.793726
2024-08-12T16:00:00,27500,27650,26560,26740,21766.993911
2024-08-12T20:00:00,26890,28400,26730,28020,72279.4254
2024-08-13T00:00:00,28040,28160,26870,26900,116633.093112
2024-08-13T04:00:00,26920,27220,26700,26910,49913.84234
2024-08-13T08:00:00,26900,27080,26700,26980,33380.741406
2024-08-13T12:00:00,27060,27580,26860,26960,73234.536584
2024-08-13T16:00:00,26940,27780,26940,27470,40337.726566
2024-08-13T20:00:00,27470,27760,27280,27500,23262.07658
2024-08-14T00:00:00,27500,27720,27170,27390,43192.975118
2024-08-14T04:00:00,27390,27740,27180,27500,71653.617191
2024-08-14T08:00:00,27460,28140,27250,27850,77938.869404
2024-08-14T12:00:00,27800,28110,26700,27250,142034.318467
2024-08-14T16:00:00,27250,27640,27110,27310,11343.26415
2024-08-14T20:00:00,27310,27310,26870,26960,20277.45086
2024-08-15T00:00:00,26890,27080,26490,26600,42665.354573
2024-08-15T04:00:00,26600,26630,25950,26160,44532.576221
2024-08-15T08:00:00,26180,26380,26000,26250,28206.193616
2024-08-15T12:00:00,26240,26880,26170,26620,53390.192195
2024-08-15T16:00:00,26620,26780,25190,25400,65623.500117
