datetime,open,high,low,close,volume
2025-07-17T16:00:00,1424,3600,1424,2503,185249082.785948
2025-07-17T20:00:00,2503,2616,2197,2326,60746127.331728
2025-07-18T00:00:00,2326,2427,2005,2099,53829774.969472
2025-07-18T04:00:00,2096,2155,1963,1973,23554452.190596
2025-07-18T08:00:00,1973,2063,1965,2003,18674862.039964
2025-07-18T12:00:00,2002,2052,1917,1926,16088832.575675
2025-07-18T16:00:00,1926,1937,1850,1856,7755870.107517
2025-07-18T20:00:00,1856,1889,1804,1860,7886146.298682
2025-07-19T00:00:00,1860,1861,1678,1715,22955564.168607
2025-07-19T04:00:00,1715,1741,1692,1702,7082181.807148
2025-07-19T08:00:00,1702,1780,1675,1684,12802160.449355
2025-07-19T12:00:00,1684,1739,1667,1691,10198301.285131
2025-07-19T16:00:00,1695,1720,1616,1639,4990339.885173
2025-07-19T20:00:00,1640,1688,1623,1686,4688165.162462
2025-07-20T00:00:00,1686,1750,1649,1716,13287124.844986
2025-07-20T04:00:00,1715,1717,1665,1694,5330167.094195
2025-07-20T08:00:00,1693,1747,1686,1706,6286186.084902
2025-07-20T12:00:00,1706,1721,1689,1708,3205535.117254
2025-07-20T16:00:00,1707,1744,1666,1717,3265766.236595
2025-07-20T20:00:00,1717,1760,1684,1713,4655977.19172
2025-07-21T00:00:00,1713,1750,1698,1714,6711959.548745
2025-07-21T04:00:00,1718,1739,1709,1717,2977599.128084
2025-07-21T08:00:00,1717,1742,1700,1726,3892616.895802
2025-07-21T12:00:00,1725,1806,1716,1756,5928620.642314
2025-07-21T16:00:00,1756,1784,1711,1741,2113461.254976
2025-07-21T20:00:00,1739,1753,1716,1727,1815635.073189
2025-07-22T00:00:00,1727,1781,1672,1681,9654184.933385
2025-07-22T04:00:00,1681,1685,1631,1667,3625446.263417
2025-07-22T08:00:00,1667,1675,1641,1667,1494860.729466
2025-07-22T12:00:00,1668,1681,1640,1671,1343494.619802
2025-07-22T16:00:00,1670,1714,1663,1704,955926.943371
2025-07-22T20:00:00,1705,1717,1682,1700,1281381.143436
2025-07-23T00:00:00,1700,1710,1671,1707,2692186.777943
2025-07-23T04:00:00,1707,1774,1705,1744,6084451.709429
2025-07-23T08:00:00,1744,1782,1698,1748,5097196.430151
2025-07-23T12:00:00,1747,1913,1734,1834,38521270.159348
2025-07-23T16:00:00,1833,1875,1720,1760,4878676.515642
2025-07-23T20:00:00,1760,1767,1689,1741,4992461.756496
2025-07-24T00:00:00,1741,2137,1741,1976,77667919.049721
2025-07-24T04:00:00,1975,2021,1807,1975,30916428.250726
2025-07-24T08:00:00,1970,2122,1922,1986,39441120.513599
2025-07-24T12:00:00,1986,2020,1891,1915,13332839.438075
2025-07-24T16:00:00,1916,1930,1837,1900,3485067.313223
2025-07-24T20:00:00,1900,2000,1887,1991,5287179.176614
2025-07-25T00:00:00,1986,2155,1889,1980,34616556.499663
2025-07-25T04:00:00,1979,2125,1968,2080,21542904.191089
2025-07-25T08:00:00,2080,2207,2045,2080,20905612.725065
2025-07-25T12:00:00,2076,2077,1890,1901,9284900.834272
2025-07-25T16:00:00,1896,1902,1625,1636,16102272.515155
2025-07-25T20:00:00,1636,1759,1607,1734,7823558.683326
2025-07-26T00:00:00,1731,1737,1668,1679,9106933.16547
2025-07-26T04:00:00,1679,1720,1676,1689,2947194.73067
2025-07-26T08:00:00,1689,1792,1688,1789,4655404.783986
2025-07-26T12:00:00,1785,1803,1709,1766,5718222.869643
2025-07-26T16:00:00,1765,1776,1733,1752,645350.628528
2025-07-26T20:00:00,1750,1775,1727,1774,1314268.75613
2025-07-27T00:00:00,1774,1774,1731,1754,2695791.93354
2025-07-27T04:00:00,1753,1840,1752,1820,4472312.771019
2025-07-27T08:00:00,1819,1942,1816,1861,19297809.15469
2025-07-27T12:00:00,1861,1898,1847,1879,4360200.280904
2025-07-27T16:00:00,1879,1938,1874,1881,2141382.764512
2025-07-27T20:00:00,1886,1919,1862,1912,2937040.16898
2025-07-28T00:00:00,1914,1942,1792,1833,8172702.051961
2025-07-28T04:00:00,1830,1839,1780,1786,3510131.357585
2025-07-28T08:00:00,1786,1805,1783,1792,2140387.664925
2025-07-28T12:00:00,1792,1813,1765,1801,3447505.271232
2025-07-28T16:00:00,1801,1810,1775,1784,711394.851001
2025-07-28T20:00:00,1784,1796,1708,1748,3071430.118116
2025-07-29T00:00:00,1750,1806,1735,1771,5160206.537879
2025-07-29T04:00:00,1772,1803,1766,1784,1873282.154283
2025-07-29T08:00:00,1782,1784,1687,1704,4398444.533821
2025-07-29T12:00:00,1703,1728,1633,1665,3053629.801395
2025-07-29T16:00:00,1665,1691,1639,1649,867004.45095
2025-07-29T20:00:00,1649,1678,1639,1672,731860.175136
2025-07-30T00:00:00,1670,1693,1630,1637,2212367.423685
2025-07-30T04:00:00,1640,1655,1583,1598,2535226.791159
