datetime,open,high,low,close,volume
2025-10-21T04:00:00,12.4,27.4,12.4,22.6,2444464435.042145
2025-10-21T08:00:00,22.6,26.5,20,20.4,3609254416.431037
2025-10-21T12:00:00,20.5,20.7,17.4,18.5,1770915825.375693
2025-10-21T16:00:00,18.5,18.8,17.2,18.2,472064393.207348
2025-10-21T20:00:00,18.2,18.8,16.8,17,444721761.828158
2025-10-22T00:00:00,17.1,20.4,16.7,18.5,1500430349.737394
2025-10-22T04:00:00,18.5,18.6,16.9,17.9,732577402.558499
2025-10-22T08:00:00,17.9,19.4,17.7,18.7,714715888.905513
2025-10-22T12:00:00,18.6,20.9,18.2,18.5,801493117.383195
2025-10-22T16:00:00,18.4,19.4,18,19.3,97339531.388568
2025-10-22T20:00:00,19.3,21.3,18.9,20.7,454836521.507832
2025-10-23T00:00:00,20.7,21.6,19,21.3,738287260.308611
2025-10-23T04:00:00,21.3,23.4,21,22.3,918121423.159009
2025-10-23T08:00:00,22.3,24,21,23.2,636672656.647213
2025-10-23T12:00:00,23.1,23.9,21.8,21.9,526356658.54016
2025-10-23T16:00:00,21.9,22.5,21.4,22.4,114080228.509434
2025-10-23T20:00:00,22.3,23.8,22.2,22.9,243356873.903266
2025-10-24T00:00:00,22.9,32.9,22.7,31.3,2606739531.348518
2025-10-24T04:00:00,31.3,33.8,29.2,31.5,2115081513.053847
2025-10-24T08:00:00,31.6,39.7,30.8,37.9,3486771153.229098
2025-10-24T12:00:00,38,40.4,34.4,35,2534113079.068758
2025-10-24T16:00:00,35.1,36.4,33.3,34.7,667246209.20703
2025-10-24T20:00:00,34.6,35.5,33.6,34.5,739011097.376214
2025-10-25T00:00:00,34.5,45.8,34,36.1,5722888191.619006
2025-10-25T04:00:00,36,40.8,34.3,39.1,2675126268.486171
2025-10-25T08:00:00,39.1,39.1,35.9,37.3,1424936888.874247
2025-10-25T12:00:00,37.2,37.4,33.6,34.5,1837933917.381079
2025-10-25T16:00:00,34.6,34.6,31.3,31.7,268386088.828521
2025-10-25T20:00:00,31.7,34.9,31.7,34,149130052.221068
2025-10-26T00:00:00,34.3,36.6,31.7,32.2,2486427626.213405
2025-10-26T04:00:00,32.2,34.5,32,33.1,1198910223.262116
2025-10-26T08:00:00,33.1,33.4,31.6,32,1775054822.767467
2025-10-26T12:00:00,31.9,32,30.1,30.9,1933037893.080825
2025-10-26T16:00:00,30.9,31.8,30.4,31.4,733280064.801894
2025-10-26T20:00:00,31.4,33.3,31.1,32,1048085631.88862
2025-10-27T00:00:00,32,33.6,29.8,30.2,2069853739.27078
2025-10-27T04:00:00,30.1,30.5,28.5,28.8,370710105.690652
2025-10-27T08:00:00,28.9,29.2,27.6,28.2,344831066.708314
2025-10-27T12:00:00,28.2,29.2,27.8,28,199144404.911902
2025-10-27T16:00:00,28,28.4,27.5,27.7,84785995.14549
2025-10-27T20:00:00,27.7,28.4,27.2,28.1,119829114.966453
2025-10-28T00:00:00,28.2,28.2,25.3,26.2,779041679.741956
2025-10-28T04:00:00,26.2,26.5,24.5,24.8,247876738.024742
2025-10-28T08:00:00,24.8,25.3,24.7,24.9,145790727.766791
2025-10-28T12:00:00,24.9,25.4,23.7,23.9,210722121.835788
2025-10-28T16:00:00,23.9,24.1,23.1,24.1,100339938.338386
2025-10-28T20:00:00,24.1,24.4,23.6,24.1,105311343.848226
2025-10-29T00:00:00,24.1,26.3,23,23.4,1113987871.50299
2025-10-29T04:00:00,23.4,24.1,23,23.1,212981532.80596
2025-10-29T08:00:00,23.1,23.1,22.1,22.4,277272436.636546
2025-10-29T12:00:00,22.4,23.1,22.2,22.4,130484067.347343
2025-10-29T16:00:00,22.4,23.5,22.3,23.1,62174023.317731
2025-10-29T20:00:00,23.1,23.7,22.9,23.4,84800689.611012
2025-10-30T00:00:00,23.4,24.5,22.3,23.2,618735350.520894
2025-10-30T04:00:00,23.3,23.6,22.4,23.4,197586861.62995
2025-10-30T08:00:00,23.4,23.5,21.7,21.9,145401135.59001
2025-10-30T12:00:00,21.9,22.2,21.1,21.4,130713030.504732
2025-10-30T16:00:00,21.4,21.4,20.4,21.1,56050371.95066
2025-10-30T20:00:00,21.1,21.3,20.7,21.3,45561369.854302
2025-10-31T00:00:00,21.3,21.3,20.2,20.6,164139331.43336
2025-10-31T04:00:00,20.6,20.7,20.2,20.4,66942068.17242
2025-10-31T08:00:00,20.4,20.6,20.1,20.5,77215512.175947
2025-10-31T12:00:00,20.5,21.5,20.2,21.2,84854286.096221
2025-10-31T16:00:00,21.3,22.5,20.4,22,74624512.109843
2025-10-31T20:00:00,21.8,23,21.4,23,114432015.476363
2025-11-01T00:00:00,22.9,23,21.7,21.9,240557245.567815
2025-11-01T04:00:00,22,22.5,21.5,22,108141357.135785
2025-11-01T08:00:00,22,23.1,21.7,23.1,106479464.313593
2025-11-01T12:00:00,23,24,22.2,22.5,240604248.923069
2025-11-01T16:00:00,22.5,22.6,21.9,21.9,47191913.802837
2025-11-01T20:00:00,22,22.2,21.6,22.1,50216711.017259
2025-11-02T00:00:00,22.1,22.1,21,21.1,163898092.666316
2025-11-02T04:00:00,21.1,21.3,20.6,21,89495867.878643
2025-11-02T08:00:00,21,21,20.4,20.9,89272499.071988
2025-11-02T12:00:00,20.9,21.3,20.2,20.4,111368931.313533
2025-11-02T16:00:00,20.5,20.8,20.3,20.7,16986760.559661
2025-11-02T20:00:00,20.7,20.8,20.3,20.5,36649021.289129
2025-11-03T00:00:00,20.6,20.6,18.4,18.5,156643471.122364
2025-11-03T04:00:00,18.4,18.6,18,18.2,135301852.153311
2025-11-03T08:00:00,18.3,18.8,18.1,18.3,74393237.997112
2025-11-03T12:00:00,18.3,18.4,17.2,17.5,145533624.231731
2025-11-03T16:00:00,17.5,17.8,16.8,16.8,59035999.527009
2025-11-03T20:00:00,16.8,17.1,16.6,17,63998248.850559
2025-11-04T00:00:00,17,17.6,16.8,17.2,124697758.982866
2025-11-04T04:00:00,17.2,17.3,16.1,16.3,112174565.093258
2025-11-04T08:00:00,16.4,17.6,16.2,17.2,63476888.511435
2025-11-04T12:00:00,17.1,20,17,18.3,685233452.124483
2025-11-04T16:00:00,18.3,18.8,17.5,17.9,92130410.530208
2025-11-04T20:00:00,17.8,18,16.6,17.7,144984329.018029
2025-11-05T00:00:00,17.7,19,16.1,17.8,408990927.912999
2025-11-05T04:00:00,17.8,18,17.2,17.3,135116994.959836
2025-11-05T08:00:00,17.3,17.5,16.7,17.4,78524175.012915
2025-11-05T12:00:00,17.5,17.6,17,17.4,52820981.000389
2025-11-05T16:00:00,17.3,17.8,17.1,17.7,30913778.830064
2025-11-05T20:00:00,17.7,17.7,16.9,17.3,53829191.842148
2025-11-06T00:00:00,17.3,18.7,16.3,16.7,511518323.198561
2025-11-06T04:00:00,16.7,16.8,16.1,16.2,55344309.751907
2025-11-06T08:00:00,16.2,16.7,16.1,16.3,27948145.497767
2025-11-06T12:00:00,16.3,16.4,16,16.1,45044384.411283
