datetime,open,high,low,close,volume
2025-04-04T04:00:00,3651,6796,3651,4236,13861571.268708
2025-04-04T08:00:00,4236,4290,4024,4099,8114189.577036
2025-04-04T12:00:00,4098,4120,4040,4075,2049643.983676
2025-04-04T16:00:00,4075,4147,4052,4106,502566.226345
2025-04-04T20:00:00,4102,4118,4053,4071,602602.874089
2025-04-05T00:00:00,4071,4085,4028,4059,1211029.308035
2025-04-05T04:00:00,4059,4063,4031,4060,436523.568544
2025-04-05T08:00:00,4060,4066,4034,4035,320114.619532
2025-04-05T12:00:00,4035,4042,3929,3940,647244.102294
2025-04-05T16:00:00,3940,3998,3940,3972,113793.726892
2025-04-05T20:00:00,3972,3995,3959,3986,125805.58356
2025-04-06T00:00:00,3986,3998,3926,3944,328015.671699
2025-04-06T04:00:00,3944,3972,3916,3925,237175.135552
2025-04-06T08:00:00,3921,3934,3881,3903,246261.967137
2025-04-06T12:00:00,3903,3911,3790,3838,259673.127801
2025-04-06T16:00:00,3839,3848,3584,3632,300375.304326
2025-04-06T20:00:00,3632,3644,3480,3557,603512.554878
2025-04-07T00:00:00,3560,3676,3440,3480,596958.483469
2025-04-07T04:00:00,3484,3552,3165,3302,781101.808555
2025-04-07T08:00:00,3306,3475,3303,3405,247032.293912
2025-04-07T12:00:00,3408,3670,3398,3547,386426.804507
2025-04-07T16:00:00,3540,3574,3477,3519,46430.005185
2025-04-07T20:00:00,3532,3594,3523,3533,108495.813242
2025-04-08T00:00:00,3536,3600,3490,3540,150780.678227
2025-04-08T04:00:00,3540,3558,3458,3476,176090.353841
2025-04-08T08:00:00,3477,3549,3446,3549,108384.100975
2025-04-08T12:00:00,3550,3569,3460,3504,142147.301712
2025-04-08T16:00:00,3504,3514,3369,3394,97734.591955
2025-04-08T20:00:00,3394,3446,3370,3395,132106.947208
2025-04-09T00:00:00,3396,3436,3276,3400,253928.844151
2025-04-09T04:00:00,3401,3506,3401,3491,126892.350713
2025-04-09T08:00:00,3495,3532,3421,3456,158079.302521
2025-04-09T12:00:00,3450,3527,3417,3486,117167.486564
2025-04-09T16:00:00,3490,3729,3483,3685,188445.470931
2025-04-09T20:00:00,3685,3712,3629,3632,143154.388453
2025-04-10T00:00:00,3640,3654,3521,3557,165245.380413
2025-04-10T04:00:00,3557,3601,3522,3569,161087.662123
2025-04-10T08:00:00,3569,3583,3512,3517,136184.06535
2025-04-10T12:00:00,3531,3578,3428,3440,200396.242781
2025-04-10T16:00:00,3440,3499,3426,3473,33722.84285
2025-04-10T20:00:00,3466,3502,3464,3480,67894.353088
2025-04-11T00:00:00,3480,3538,3449,3527,151126.033757
2025-04-11T04:00:00,3527,3580,3518,3555,177205.438933
2025-04-11T08:00:00,3555,3581,3528,3529,157174.219737
2025-04-11T12:00:00,3540,3567,3511,3556,103636.205676
2025-04-11T16:00:00,3556,3596,3536,3540,43139.307023
2025-04-11T20:00:00,3540,3590,3527,3580,71010.114559
2025-04-12T00:00:00,3580,3587,3523,3538,148511.02493
2025-04-12T04:00:00,3548,3596,3525,3584,79152.050578
2025-04-12T08:00:00,3579,3616,3559,3577,65666.444314
2025-04-12T12:00:00,3577,3699,3571,3680,319697.056195
2025-04-12T16:00:00,3682,3705,3658,3685,86030.04299
2025-04-12T20:00:00,3685,3739,3681,3717,89648.923332
2025-04-13T00:00:00,3716,3720,3657,3678,109256.168228
2025-04-13T04:00:00,3678,3681,3626,3626,79776.290783
2025-04-13T08:00:00,3626,3682,3622,3640,68517.599463
2025-04-13T12:00:00,3654,3658,3582,3602,82419.225418
2025-04-13T16:00:00,3608,3724,3588,3640,68265.068522
2025-04-13T20:00:00,3640,3667,3560,3624,81450.40965
2025-04-14T00:00:00,3620,3720,3614,3660,106086.848104
2025-04-14T04:00:00,3667,3720,3602,3648,117891.350224
2025-04-14T08:00:00,3648,3713,3624,3695,139224.412522
2025-04-14T12:00:00,3695,3756,3652,3681,158865.879925
2025-04-14T16:00:00,3687,3740,3651,3685,60506.64513
2025-04-14T20:00:00,3685,3706,3652,3677,78787.66345
