datetime,open,high,low,close,volume
2025-09-09T00:00:00,392,1098,392,627,140887770.690974
2025-09-09T04:00:00,628,717,622,660,113495604.79323
2025-09-09T08:00:00,658,689,573,579,77072827.996
2025-09-09T12:00:00,578,614,559,574,74421896.882758
2025-09-09T16:00:00,573,584,548,566,18971761.741566
2025-09-09T20:00:00,566,587,563,569,14183062.312864
2025-09-10T00:00:00,569,572,534,549,38036329.597536
2025-09-10T04:00:00,549,551,535,537,8469379.184017
2025-09-10T08:00:00,537,545,522,528,7692844.013562
2025-09-10T12:00:00,528,536,516,517,8551435.799679
2025-09-10T16:00:00,517,517,501,514,7117883.276822
2025-09-10T20:00:00,514,520,506,514,4648676.529246
2025-09-11T00:00:00,514,539,497,504,22834017.316156
2025-09-11T04:00:00,504,516,494,510,4470104.418346
2025-09-11T08:00:00,512,525,500,500,6519725.601762
2025-09-11T12:00:00,500,502,478,481,7977312.258421
2025-09-11T16:00:00,480,490,475,487,924099.537845
2025-09-11T20:00:00,488,492,483,486,1505332.12444
2025-09-12T00:00:00,487,515,481,513,5984079.64888
2025-09-12T04:00:00,513,528,498,516,10260427.952655
2025-09-12T08:00:00,516,523,506,521,6573910.033124
2025-09-12T12:00:00,522,535,510,527,10502008.74102
2025-09-12T16:00:00,527,535,513,515,2814274.13351
2025-09-12T20:00:00,516,534,515,531,2630381.206407
2025-09-13T00:00:00,531,535,505,512,5344644.318857
2025-09-13T04:00:00,512,515,501,507,2745328.538624
2025-09-13T08:00:00,507,510,505,510,1640898.413844
2025-09-13T12:00:00,510,517,504,514,2917516.729467
2025-09-13T16:00:00,515,518,505,507,923942.770492
2025-09-13T20:00:00,507,516,504,514,1750582.382648
2025-09-14T00:00:00,514,516,471,501,5979912.902276
2025-09-14T04:00:00,500,507,493,505,2028441.55072
2025-09-14T08:00:00,504,505,488,490,2412225.979312
2025-09-14T12:00:00,490,496,480,489,2060966.884443
2025-09-14T16:00:00,489,494,485,493,560874.634648
2025-09-14T20:00:00,493,493,484,488,1121893.751254
2025-09-15T00:00:00,487,494,480,490,1715598.538487
2025-09-15T04:00:00,490,596,483,584,83952172.803834
2025-09-15T08:00:00,584,613,520,539,95221029.155312
2025-09-15T12:00:00,539,548,486,494,28157484.831747
2025-09-15T16:00:00,493,504,485,498,3810842.035164
2025-09-15T20:00:00,499,508,496,507,4121644.653002
2025-09-16T00:00:00,507,552,499,515,61415695.87569
2025-09-16T04:00:00,514,529,499,522,11652102.792504
2025-09-16T08:00:00,522,536,517,525,9283189.488656
2025-09-16T12:00:00,525,527,512,517,4537744.979363
2025-09-16T16:00:00,518,525,517,518,1320977.073531
2025-09-16T20:00:00,518,529,516,528,1884820.414011
2025-09-17T00:00:00,528,531,492,495,10665352.933265
2025-09-17T04:00:00,495,499,481,490,6262766.312338
2025-09-17T08:00:00,490,490,481,485,3101225.388378
2025-09-17T12:00:00,485,494,483,486,2355627.550661
2025-09-17T16:00:00,488,497,481,494,1871467.094057
2025-09-17T20:00:00,494,501,488,493,3180634.285792
2025-09-18T00:00:00,493,497,486,493,3667869.499523
2025-09-18T04:00:00,492,494,486,487,1519195.364801
2025-09-18T08:00:00,486,494,484,488,1875598.447615
2025-09-18T12:00:00,489,491,485,489,1775247.181191
2025-09-18T16:00:00,489,497,488,490,776348.391
2025-09-18T20:00:00,489,492,485,491,1195913.925734
2025-09-19T00:00:00,492,492,480,481,2405378.575039
2025-09-19T04:00:00,481,481,473,474,1912777.330024
2025-09-19T08:00:00,473,479,471,472,1319563.264546
2025-09-19T12:00:00,472,478,465,466,1317033.443842
2025-09-19T16:00:00,468,473,463,465,498174.354008
2025-09-19T20:00:00,466,466,455,461,1490935.021857
2025-09-20T00:00:00,461,461,447,456,2150336.927929
2025-09-20T04:00:00,456,459,455,456,717291.739388
2025-09-20T08:00:00,456,467,455,467,1382868.359695
2025-09-20T12:00:00,467,470,461,466,1193846.533237
2025-09-20T16:00:00,466,471,461,468,692641.617014
2025-09-20T20:00:00,469,484,466,472,2053847.393444
2025-09-21T00:00:00,473,487,466,478,2824523.777275
2025-09-21T04:00:00,478,495,472,488,7848474.526654
2025-09-21T08:00:00,487,489,467,472,3870528.125651
2025-09-21T12:00:00,472,479,470,472,1738366.086623
2025-09-21T16:00:00,473,473,465,471,765895.279659
2025-09-21T20:00:00,471,473,467,473,907420.237728
2025-09-22T00:00:00,472,476,440,442,5206946.269037
2025-09-22T04:00:00,441,447,402,418,4737525.016766
2025-09-22T08:00:00,418,423,407,407,2984299.741381
2025-09-22T12:00:00,407,414,402,409,3515009.909016
2025-09-22T16:00:00,409,409,390,391,1393180.469753
2025-09-22T20:00:00,391,408,391,406,602024.702983
2025-09-23T00:00:00,405,407,376,380,4765341.829925
2025-09-23T04:00:00,381,383,367,380,4220180.2904
2025-09-23T08:00:00,381,385,376,379,2721875.261447
2025-09-23T12:00:00,379,392,378,386,2835955.105507
2025-09-23T16:00:00,387,449,386,442,5174728.948936
2025-09-23T20:00:00,443,447,425,435,2731914.764093
2025-09-24T00:00:00,435,511,418,508,18905572.612402
2025-09-24T04:00:00,508,530,460,470,91558083.710435
2025-09-24T08:00:00,470,472,432,448,18880386.256081
2025-09-24T12:00:00,449,455,440,447,4725343.312673
2025-09-24T16:00:00,446,448,436,440,1428623.854972
2025-09-24T20:00:00,440,458,440,454,6454017.419079
2025-09-25T00:00:00,454,520,437,440,106849178.086376
2025-09-25T04:00:00,441,441,423,423,9255487.493856
2025-09-25T08:00:00,424,443,419,429,5877446.041212
2025-09-25T12:00:00,429,433,412,416,5927390.717746
2025-09-25T16:00:00,418,421,410,412,1934464.480859
2025-09-25T20:00:00,412,413,401,407,4440284.113231
2025-09-26T00:00:00,409,424,402,416,7191640.956349
2025-09-26T04:00:00,416,418,401,418,4380161.62314
2025-09-26T08:00:00,418,456,410,439,12743331.797841
2025-09-26T12:00:00,439,444,419,426,11598185.60071
2025-09-26T16:00:00,426,433,414,417,2317214.212157
2025-09-26T20:00:00,416,432,414,427,1086476.336381
2025-09-27T00:00:00,429,442,419,439,5287541.979152
2025-09-27T04:00:00,437,438,420,422,1819952.157735
2025-09-27T08:00:00,422,429,419,421,1176762.897901
2025-09-27T12:00:00,421,426,414,419,1898992.49545
2025-09-27T16:00:00,419,420,410,412,574243.466676
