datetime,open,high,low,close,volume
2025-09-24T08:00:00,6605,13560,6605,11010,20541520.426394
2025-09-24T12:00:00,11010,11300,9575,9725,8937869.310127
2025-09-24T16:00:00,9720,10120,9335,9860,1610613.811373
2025-09-24T20:00:00,9865,10430,9775,9920,2353079.307165
2025-09-25T00:00:00,9940,10130,9070,9145,3055406.254187
2025-09-25T04:00:00,9140,9485,9005,9045,742013.053362
2025-09-25T08:00:00,9045,9215,8610,8690,637206.642081
2025-09-25T12:00:00,8685,8745,8200,8380,822182.964232
2025-09-25T16:00:00,8390,8415,8020,8290,296354.669515
2025-09-25T20:00:00,8290,8375,8080,8115,267029.775767
2025-09-26T00:00:00,8130,9195,8040,9015,1563159.281297
2025-09-26T04:00:00,9015,9915,8890,9810,7298046.10075
2025-09-26T08:00:00,9810,10210,9035,9155,6267615.671569
2025-09-26T12:00:00,9155,9345,8715,8990,3429109.016828
2025-09-26T16:00:00,8970,9545,8950,9525,616943.040767
2025-09-26T20:00:00,9525,9550,9260,9310,505591.592114
2025-09-27T00:00:00,9325,9325,8870,8880,742711.060703
2025-09-27T04:00:00,8905,8925,8670,8675,414794.530611
2025-09-27T08:00:00,8680,8680,8440,8570,334579.783417
2025-09-27T12:00:00,8580,8690,8540,8620,201138.16106
2025-09-27T16:00:00,8620,8675,8465,8500,70209.680427
2025-09-27T20:00:00,8500,8595,8460,8525,104682.814565
2025-09-28T00:00:00,8515,9010,8295,8375,1002209.633663
2025-09-28T04:00:00,8375,8480,8290,8445,77205.444247
2025-09-28T08:00:00,8445,8500,8320,8420,72877.355589
2025-09-28T12:00:00,8370,8500,8330,8435,67319.989236
2025-09-28T16:00:00,8435,8565,8410,8450,37725.77445
2025-09-28T20:00:00,8450,8590,8380,8590,54291.829205
2025-09-29T00:00:00,8590,8590,8290,8350,96243.064872
2025-09-29T04:00:00,8365,8390,8255,8305,57148.13532
2025-09-29T08:00:00,8305,8380,7850,7850,174214.89716
2025-09-29T12:00:00,7855,7995,7725,7790,144646.94821
2025-09-29T16:00:00,7785,8025,7630,8020,47863.356437
2025-09-29T20:00:00,8045,8235,8045,8140,39185.410338
2025-09-30T00:00:00,8155,8250,7990,8140,87818.133297
2025-09-30T04:00:00,8140,8140,7975,8040,42711.325097
2025-09-30T08:00:00,8040,8510,7930,7985,318608.249399
2025-09-30T12:00:00,7955,8125,7800,7945,39517.402483
2025-09-30T16:00:00,7945,7950,7700,7815,31993.488831
2025-09-30T20:00:00,7810,7885,7650,7725,40117.630734
2025-10-01T00:00:00,7720,7805,7610,7615,61861.242776
2025-10-01T04:00:00,7660,8120,7660,7900,152354.294522
2025-10-01T08:00:00,7915,8960,7915,8565,805371.264678
2025-10-01T12:00:00,8580,8900,8510,8720,722384.687278
2025-10-01T16:00:00,8730,9620,8690,9315,627026.849272
2025-10-01T20:00:00,9325,9455,8930,9015,256402.334395
2025-10-02T00:00:00,9050,9740,8970,8970,1595300.874385
2025-10-02T04:00:00,8965,9150,8790,8830,181501.373255
2025-10-02T08:00:00,8825,8880,8725,8765,45975.253034
2025-10-02T12:00:00,8785,8805,8610,8700,84140.62453
2025-10-02T16:00:00,8695,8765,8645,8715,16516.470845
2025-10-02T20:00:00,8715,8745,8640,8680,27744.579513
2025-10-03T00:00:00,8680,9010,8575,8845,150848.091715
2025-10-03T04:00:00,8845,9020,8780,8965,141983.003034
2025-10-03T08:00:00,8965,9020,8825,9010,100126.582691
2025-10-03T12:00:00,9005,9155,8915,9115,164887.769478
2025-10-03T16:00:00,9120,9160,8965,9135,50410.090941
2025-10-03T20:00:00,9135,9225,9090,9155,37484.626044
2025-10-04T00:00:00,9155,9175,8995,9080,61202.457327
2025-10-04T04:00:00,9080,9315,9010,9045,79786.837774
2025-10-04T08:00:00,9015,9115,8985,9085,39385.618442
2025-10-04T12:00:00,9065,9090,8890,8945,26098.482139
2025-10-04T16:00:00,8975,9085,8950,9085,3166.77609
2025-10-04T20:00:00,9095,9345,9070,9250,44150.644645
2025-10-05T00:00:00,9250,9370,9125,9325,47769.40164
2025-10-05T04:00:00,9325,9355,9220,9340,32795.289894
2025-10-05T08:00:00,9335,9350,9120,9240,31051.151175
2025-10-05T12:00:00,9255,9325,9195,9225,28993.998382
2025-10-05T16:00:00,9235,9265,9155,9195,21460.767777
2025-10-05T20:00:00,9185,9290,9170,9260,14064.457816
2025-10-06T00:00:00,9260,9335,9145,9335,40695.539368
2025-10-06T04:00:00,9345,9605,9315,9390,156595.355122
2025-10-06T08:00:00,9385,9665,9375,9550,64923.639002
2025-10-06T12:00:00,9520,9875,9480,9765,87154.679203
2025-10-06T16:00:00,9765,9820,9670,9765,25877.416497
2025-10-06T20:00:00,9770,10070,9735,9745,101291.159567
2025-10-07T00:00:00,9745,9895,9650,9845,50727.945074
2025-10-07T04:00:00,9845,9845,9560,9655,75786.78876
2025-10-07T08:00:00,9660,9775,9460,9755,51170.391046
2025-10-07T12:00:00,9745,10030,9435,9460,95232.481177
2025-10-07T16:00:00,9450,9605,9370,9590,43156.689164
2025-10-07T20:00:00,9605,9745,9525,9535,19894.197882
2025-10-08T00:00:00,9535,9630,9300,9300,92684.09302
2025-10-08T04:00:00,9300,9370,9195,9345,40531.63128
2025-10-08T08:00:00,9360,9540,9325,9505,18148.827596
2025-10-08T12:00:00,9465,9615,9400,9485,18202.476632
2025-10-08T16:00:00,9470,9790,9470,9625,14499.271589
2025-10-08T20:00:00,9625,9715,9550,9660,12285.308464
2025-10-09T00:00:00,9660,9730,9400,9435,52714.688662
2025-10-09T04:00:00,9435,9490,9355,9440,24615.411301
2025-10-09T08:00:00,9440,9450,9075,9230,37424.140294
2025-10-09T12:00:00,9220,9250,8990,9045,27717.180265
2025-10-09T16:00:00,9055,9090,8900,8990,13260.615706
2025-10-09T20:00:00,8990,9050,8950,9020,13422.589623
2025-10-10T00:00:00,9020,9075,8880,8965,67743.061918
2025-10-10T04:00:00,8905,9020,8795,8875,24319.889798
2025-10-10T08:00:00,8875,8985,8865,8900,14195.138171
2025-10-10T12:00:00,8905,8955,8425,8435,34461.1449
2025-10-10T16:00:00,8440,8480,8175,8250,19451.843436
2025-10-10T20:00:00,8245,8275,5000,7835,230474.21415
2025-10-11T00:00:00,7880,9950,7600,7970,166609.292887
2025-10-11T04:00:00,7975,8030,7745,7770,14183.540719
2025-10-11T08:00:00,7765,8045,7765,7845,17379.809869
2025-10-11T12:00:00,7870,7915,7750,7870,18850.670143
2025-10-11T16:00:00,7870,7950,7725,7730,4330.058618
2025-10-11T20:00:00,7775,7880,7665,7880,5740.085945
2025-10-12T00:00:00,7865,7880,7670,7845,7389.634311
2025-10-12T04:00:00,7855,7960,7845,7855,4036.046914
2025-10-12T08:00:00,7915,7915,7750,7845,5624.498101
2025-10-12T12:00:00,7845,8365,7790,8285,8775.091229
2025-10-12T16:00:00,8285,8475,8210,8325,6491.429059
2025-10-12T20:00:00,8325,8390,8235,8320,4467.964291
2025-10-13T00:00:00,8315,8380,8240,8310,5250.632343
2025-10-13T04:00:00,8310,8455,8235,8400,8460.613444
2025-10-13T08:00:00,8400,8520,8235,8350,19611.731752
2025-10-13T12:00:00,8340,8545,8285,8370,13465.539356
2025-10-13T16:00:00,8370,8530,8225,8485,13531.05053
2025-10-13T20:00:00,8495,8585,8485,8535,3583.5161
2025-10-14T00:00:00,8535,8540,8270,8340,12174.791402
2025-10-14T04:00:00,8310,8310,7820,7935,17488.839018
2025-10-14T08:00:00,7935,8020,7755,7995,13602.943475
2025-10-14T12:00:00,7995,8220,7885,8200,13305.430907
2025-10-14T16:00:00,8195,8365,8155,8240,5924.952684
2025-10-14T20:00:00,8265,8280,7960,7975,6939.343421
2025-10-15T00:00:00,8005,8135,7950,7965,25085.815132
2025-10-15T04:00:00,7995,8055,7940,7960,8142.089611
2025-10-15T08:00:00,7975,8200,7910,7945,6714.149329
2025-10-15T12:00:00,7930,8005,7720,7740,15596.254517
2025-10-15T16:00:00,7760,7785,7655,7715,9074.425803
2025-10-15T20:00:00,7690,7760,7650,7720,8858.161721
2025-10-16T00:00:00,7730,9515,7690,7690,817422.52328
2025-10-16T04:00:00,7685,7840,7635,7760,38101.407581
2025-10-16T08:00:00,7760,7905,7590,7820,65214.379209
2025-10-16T12:00:00,7855,7895,7580,7605,48667.896706
2025-10-16T16:00:00,7580,7750,7410,7490,18042.917283
2025-10-16T20:00:00,7490,7500,7400,7500,8545.287109
2025-10-17T00:00:00,7510,7575,7440,7455,20997.404683
2025-10-17T04:00:00,7455,7470,6855,6875,46505.742892
2025-10-17T08:00:00,6880,7185,6800,7115,20615.78435
2025-10-17T12:00:00,7150,7165,6970,7150,9909.235487
2025-10-17T16:00:00,7185,7230,7065,7080,8705.215581
2025-10-17T20:00:00,7105,7285,7100,7200,3411.056681
2025-10-18T00:00:00,7200,7250,7120,7210,4940.983669
2025-10-18T04:00:00,7210,7310,7175,7235,2289.09025
2025-10-18T08:00:00,7250,7295,7215,7245,12647.377545
2025-10-18T12:00:00,7255,7285,7150,7210,2975.656251
2025-10-18T16:00:00,7215,7245,7185,7210,4459.882175
2025-10-18T20:00:00,7225,7435,7225,7255,11190.079973
2025-10-19T00:00:00,7265,7270,7145,7245,3537.335037
2025-10-19T04:00:00,7240,7240,7135,7150,1285.247971
2025-10-19T08:00:00,7150,7245,7060,7145,11330.717593
2025-10-19T12:00:00,7145,7320,7115,7290,4141.64505
2025-10-19T16:00:00,7295,7305,7220,7250,1459.341173
2025-10-19T20:00:00,7225,7230,7130,7140,2866.126554
2025-10-20T00:00:00,7140,7300,7060,7295,3265.053075
2025-10-20T04:00:00,7295,7340,7240,7245,3857.909519
2025-10-20T08:00:00,7255,7335,7135,7150,6485.661657
2025-10-20T12:00:00,7140,7235,7095,7150,9297.006925
2025-10-20T16:00:00,7130,7135,7005,7065,9718.898139
2025-10-20T20:00:00,7035,7105,7030,7050,2597.456633
2025-10-21T00:00:00,7050,7585,6920,6935,121277.66508
2025-10-21T04:00:00,6920,6940,6770,6875,13372.421146
2025-10-21T08:00:00,6875,6900,6810,6900,5120.751241
2025-10-21T12:00:00,6900,7230,6895,7180,5928.955751
2025-10-21T16:00:00,7190,7205,6960,6985,6933.042212
2025-10-21T20:00:00,6975,6975,6750,6755,5582.818155
2025-10-22T00:00:00,6765,8540,6640,6970,1491402.557276
2025-10-22T04:00:00,6970,6990,6745,6775,179214.260692
2025-10-22T08:00:00,6770,6895,6705,6785,106777.635401
2025-10-22T12:00:00,6785,6885,6730,6770,68723.766603
2025-10-22T16:00:00,6760,6800,6605,6650,17845.748132
2025-10-22T20:00:00,6660,6695,6475,6690,68219.522841
2025-10-23T00:00:00,6690,7080,6610,6690,396032.276713
2025-10-23T04:00:00,6680,6775,6620,6735,35032.012218
2025-10-23T08:00:00,6740,6805,6690,6695,21118.432131
2025-10-23T12:00:00,6710,6855,6650,6820,19901.705412
2025-10-23T16:00:00,6835,6890,6795,6795,3301.443566
2025-10-23T20:00:00,6780,6795,6715,6790,9253.9831
2025-10-24T00:00:00,6795,6800,6695,6725,31314.177111
2025-10-24T04:00:00,6715,6835,6715,6800,26329.922822
2025-10-24T08:00:00,6780,6840,6760,6785,9890.462812
2025-10-24T12:00:00,6790,6940,6730,6730,12248.139773
2025-10-24T16:00:00,6730,6800,6685,6795,5795.565599
2025-10-24T20:00:00,6800,6845,6780,6795,6432.063602
2025-10-25T00:00:00,6800,6800,6715,6735,19790.537978
2025-10-25T04:00:00,6740,6750,6715,6740,5526.484425
2025-10-25T08:00:00,6745,6805,6735,6780,5039.469178
2025-10-25T12:00:00,6780,6825,6760,6785,6981.006809
2025-10-25T16:00:00,6815,6815,6800,6800,2202.69763
2025-10-25T20:00:00,6815,6815,6805,6815,1292.091862
2025-10-26T00:00:00,6815,6835,6745,6765,9181.212869
2025-10-26T04:00:00,6790,6820,6770,6810,1801.85791
2025-10-26T08:00:00,6825,6975,6815,6955,9976.120337
2025-10-26T12:00:00,6955,6970,6910,6935,10064.07323
2025-10-26T16:00:00,6930,6940,6915,6940,2134.245547
2025-10-26T20:00:00,6920,7030,6890,7000,9089.441215
2025-10-27T00:00:00,6990,7455,6990,7295,171521.915355
2025-10-27T04:00:00,7290,7290,7090,7120,24815.716705
2025-10-27T08:00:00,7145,7210,6995,7045,12502.361807
2025-10-27T12:00:00,7050,7060,6950,7035,12000.021511
2025-10-27T16:00:00,7035,7330,7035,7200,38535.36789
2025-10-27T20:00:00,7210,7210,7010,7030,14064.026899
2025-10-28T00:00:00,7020,7110,6990,7000,31844.649243
2025-10-28T04:00:00,7000,7065,6935,6950,10554.849973
2025-10-28T08:00:00,6955,6990,6930,6940,5953.717723
2025-10-28T12:00:00,6950,7030,6900,7015,5833.098515
2025-10-28T16:00:00,7000,7095,6865,6890,8141.606573
2025-10-28T20:00:00,6885,6885,6640,6765,13819.664241
2025-10-29T00:00:00,6765,7450,6765,7110,399168.857696
2025-10-29T04:00:00,7115,7255,7040,7180,198604.403899
2025-10-29T08:00:00,7180,7470,7050,7160,354950.646162
2025-10-29T12:00:00,7175,7190,6975,7010,45189.48706
2025-10-29T16:00:00,7010,7150,6830,7015,25965.865667
2025-10-29T20:00:00,7005,7060,6835,6900,29563.027572
2025-10-30T00:00:00,6900,6940,6840,6905,34382.829724
2025-10-30T04:00:00,6915,6915,6640,6860,26128.762394
2025-10-30T08:00:00,6860,6860,6705,6735,8447.791657
2025-10-30T12:00:00,6725,6725,6470,6475,25800.333352
2025-10-30T16:00:00,6475,6510,6330,6370,7710.2896
2025-10-30T20:00:00,6385,6580,6370,6565,5714.013974
2025-10-31T00:00:00,6540,6600,6480,6555,3936.006617
2025-10-31T04:00:00,6550,6615,6460,6480,8128.954357
2025-10-31T08:00:00,6475,6595,6460,6595,6107.744304
2025-10-31T12:00:00,6615,6615,6515,6540,2593.639504
2025-10-31T16:00:00,6520,6640,6440,6590,1586.557805
2025-10-31T20:00:00,6605,6615,6530,6550,980.650519
2025-11-01T00:00:00,6540,6540,6435,6465,9980.367665
2025-11-01T04:00:00,6455,6515,6420,6515,6563.241002
2025-11-01T08:00:00,6510,6520,6475,6500,4925.721628
2025-11-01T12:00:00,6480,6515,6440,6480,1937.154109
2025-11-01T16:00:00,6475,6505,6460,6500,450.111856
2025-11-01T20:00:00,6490,6505,6360,6425,3962.551565
2025-11-02T00:00:00,6420,6850,6295,6325,114805.013151
2025-11-02T04:00:00,6325,6390,6325,6375,5515.700295
2025-11-02T08:00:00,6375,6380,6275,6350,7448.836087
2025-11-02T12:00:00,6315,6325,6205,6240,6675.610752
2025-11-02T16:00:00,6225,6225,6150,6215,4717.185044
2025-11-02T20:00:00,6215,6310,6195,6265,5801.84003
2025-11-03T00:00:00,6235,6305,5905,5905,19711.693272
2025-11-03T04:00:00,5900,5970,5755,5900,10731.62331
2025-11-03T08:00:00,5870,5985,5820,5895,6962.404481
2025-11-03T12:00:00,5895,5925,5500,5575,5578.63025
2025-11-03T16:00:00,5570,5775,5540,5605,2528.375009
2025-11-03T20:00:00,5610,5615,5425,5520,4084.51778
2025-11-04T00:00:00,5515,5715,5475,5670,13973.694866
2025-11-04T04:00:00,5700,5700,5335,5370,9823.091194
2025-11-04T08:00:00,5350,5465,5335,5400,7756.381553
2025-11-04T12:00:00,5390,5480,5285,5405,4663.361102
2025-11-04T16:00:00,5375,5375,5140,5195,5141.828431
2025-11-04T20:00:00,5115,5295,4969,5295,20544.370002
2025-11-05T00:00:00,5300,5425,4963,5380,27790.323436
2025-11-05T04:00:00,5370,5375,5295,5370,8662.847992
2025-11-05T08:00:00,5330,5350,5270,5330,10054.658018
2025-11-05T12:00:00,5340,5450,5295,5435,5023.233443
2025-11-05T16:00:00,5455,5555,5430,5515,4100.135536
2025-11-05T20:00:00,5540,5585,5505,5550,2889.368455
2025-11-06T00:00:00,5540,5570,5415,5570,3864.06371
2025-11-06T04:00:00,5545,5585,5455,5475,2151.905158
2025-11-06T08:00:00,5480,5540,5460,5530,635.238657
2025-11-06T12:00:00,5530,5545,5360,5360,1382.147214
2025-11-06T16:00:00,5350,5475,5340,5435,10393.459313
2025-11-06T20:00:00,5445,5445,5340,5385,7018.914954
2025-11-07T00:00:00,5420,5515,5390,5465,5299.53509
2025-11-07T04:00:00,5445,5510,5440,5510,6208.205879
2025-11-07T08:00:00,5530,5535,5315,5360,4049.338412
