datetime,open,high,low,close,volume
2022-05-04T04:00:00,3690,4490,3690,4230,18054753.805729
2022-05-04T08:00:00,4235,4305,4120,4205,12461254.822558
2022-05-04T12:00:00,4205,4245,4080,4140,4959236.047251
2022-05-04T16:00:00,4140,4245,4040,4205,1871083.206525
2022-05-04T20:00:00,4205,4295,4155,4260,1995858.886054
2022-05-05T00:00:00,4260,4355,4190,4225,3354829.446703
2022-05-05T04:00:00,4225,4300,4165,4220,1190646.515403
2022-05-05T08:00:00,4225,4260,4120,4140,1276341.188882
2022-05-05T12:00:00,4140,4280,3395,3525,8587053.592606
2022-05-05T16:00:00,3510,3680,3325,3505,4530131.984257
2022-05-05T20:00:00,3500,3615,3460,3575,1693890.737451
2022-05-06T00:00:00,3570,3585,3395,3430,1683496.918942
2022-05-06T04:00:00,3430,3540,3120,3250,2215124.797722
2022-05-06T08:00:00,3250,3260,3045,3140,3726709.025303
2022-05-06T12:00:00,3140,3375,3070,3195,3778950.552015
2022-05-06T16:00:00,3195,3230,3135,3190,777265.569615
2022-05-06T20:00:00,3195,3310,3160,3295,1108358.394538
2022-05-07T00:00:00,3295,3305,3165,3185,791531.558605
2022-05-07T04:00:00,3185,3530,3120,3485,2633006.114994
2022-05-07T08:00:00,3490,3685,3480,3610,9476755.42001
2022-05-07T12:00:00,3615,3715,3450,3540,6261747.885406
2022-05-07T16:00:00,3540,3565,3475,3530,1054966.306001
2022-05-07T20:00:00,3540,3540,3280,3365,2812751.590017
2022-05-08T00:00:00,3365,3460,3215,3370,5070996.502801
2022-05-08T04:00:00,3370,3640,3330,3505,4446703.969409
2022-05-08T08:00:00,3500,3545,3435,3500,2341448.95481
2022-05-08T12:00:00,3500,3530,3355,3400,1742740.124811
2022-05-08T16:00:00,3395,3565,3375,3480,1235053.420872
2022-05-08T20:00:00,3485,3590,3440,3580,1124784.606775
2022-05-09T00:00:00,3580,3610,3375,3445,2473390.904146
2022-05-09T04:00:00,3455,3510,3380,3415,1032932.654332
2022-05-09T08:00:00,3415,3470,3175,3210,2577863.851995
2022-05-09T12:00:00,3200,3210,2990,3105,6849558.513489
2022-05-09T16:00:00,3105,3105,2865,2935,3975518.243287
2022-05-09T20:00:00,2935,3060,2545,2575,5317321.769613
2022-05-10T00:00:00,2575,2725,2255,2380,17509263.204762
2022-05-10T04:00:00,2380,2790,2365,2595,14068772.844895
2022-05-10T08:00:00,2600,2695,2550,2655,3931527.295202
2022-05-10T12:00:00,2655,2860,2505,2565,9911686.867274
2022-05-10T16:00:00,2565,2665,2455,2470,1623965.254393
2022-05-10T20:00:00,2470,2495,2275,2410,5322303.823532
2022-05-11T00:00:00,2410,2495,2280,2335,5818811.753767
2022-05-11T04:00:00,2335,2470,1900,1995,13677256.195543
2022-05-11T08:00:00,1995,2200,1905,1920,15688317.163379
2022-05-11T12:00:00,1920,2155,1620,1910,28552615.814741
2022-05-11T16:00:00,1910,1945,1735,1780,4345234.240642
2022-05-11T20:00:00,1795,1840,1655,1825,3233438.032787
2022-05-12T00:00:00,1825,2060,1550,1580,14530087.091502
2022-05-12T04:00:00,1575,1620,1320,1450,13435733.712297
2022-05-12T08:00:00,1445,1520,1380,1430,11661229.273731
2022-05-12T12:00:00,1430,1685,1365,1545,15003635.673056
2022-05-12T16:00:00,1545,1675,1470,1565,3903282.114579
2022-05-12T20:00:00,1565,1665,1410,1575,4839934.372028
2022-05-13T00:00:00,1580,2095,1520,1970,26920867.374676
2022-05-13T04:00:00,1970,2270,1945,1975,27131315.79404
2022-05-13T08:00:00,1975,2285,1970,2260,29798038.621478
2022-05-13T12:00:00,2260,2455,2185,2290,33910344.628546
2022-05-13T16:00:00,2290,2330,2020,2050,7591248.65407
2022-05-13T20:00:00,2050,2200,1990,2020,5646841.471396
2022-05-14T00:00:00,2015,2210,1980,2065,17957909.716292
2022-05-14T04:00:00,2065,2090,1935,1975,11429369.804323
2022-05-14T08:00:00,1980,1995,1755,1820,14832551.296942
2022-05-14T12:00:00,1820,1860,1700,1715,11286504.892679
2022-05-14T16:00:00,1715,1920,1675,1790,10143650.293632
2022-05-14T20:00:00,1795,2075,1745,2040,12266765.296352
2022-05-15T00:00:00,2035,2100,1865,1895,13507172.479557
2022-05-15T04:00:00,1895,2190,1865,2085,17884382.895406
