datetime,open,high,low,close,volume
2020-07-21T04:00:00,266,394,225,288,21497572.406647
2020-07-21T08:00:00,289,304,278,288,5841700.359536
2020-07-21T12:00:00,287,295,281,288,1769275.798671
2020-07-21T16:00:00,288,290,275,279,1749028.567803
2020-07-21T20:00:00,279,280,272,275,848796.178555
2020-07-22T00:00:00,274,274,266,270,1790303.260007
2020-07-22T04:00:00,270,287,269,275,1213629.871753
2020-07-22T08:00:00,275,280,272,277,620676.80049
2020-07-22T12:00:00,277,277,272,275,708566.156864
2020-07-22T16:00:00,276,277,272,273,52350.705767
2020-07-22T20:00:00,273,277,265,269,580390.466607
2020-07-23T00:00:00,268,273,267,268,895364.903477
2020-07-23T04:00:00,267,269,262,266,534553.314436
2020-07-23T08:00:00,266,269,263,269,404225.473748
2020-07-23T12:00:00,269,270,262,265,323901.467177
2020-07-23T16:00:00,265,266,262,263,16051.394335
2020-07-23T20:00:00,263,265,262,264,75560.634423
2020-07-24T00:00:00,263,280,263,269,2554356.416516
2020-07-24T04:00:00,269,271,266,267,309753.278795
2020-07-24T08:00:00,267,273,265,271,350629.653085
2020-07-24T12:00:00,271,271,266,268,142649.295881
2020-07-24T16:00:00,268,269,263,265,106990.053691
2020-07-24T20:00:00,266,266,263,265,84525.651264
2020-07-25T00:00:00,264,266,262,266,242630.283223
2020-07-25T04:00:00,265,269,265,267,102647.206303
2020-07-25T08:00:00,266,267,265,265,97327.43536
2020-07-25T12:00:00,265,269,262,266,133652.012043
2020-07-25T16:00:00,266,268,265,267,6198.12554
2020-07-25T20:00:00,266,268,263,265,12957.357572
2020-07-26T00:00:00,264,265,259,263,178916.160118
2020-07-26T04:00:00,263,264,257,260,156909.347095
2020-07-26T08:00:00,258,261,249,254,251614.792541
2020-07-26T12:00:00,254,258,250,254,186947.155326
2020-07-26T16:00:00,254,256,253,254,11311.460138
2020-07-26T20:00:00,254,257,251,255,50154.623266
2020-07-27T00:00:00,255,257,250,250,189930.192005
2020-07-27T04:00:00,251,252,246,248,142174.726148
2020-07-27T08:00:00,248,284,246,259,5582981.889544
2020-07-27T12:00:00,259,315,256,264,15902806.368927
2020-07-27T16:00:00,264,270,251,260,2189776.152614
2020-07-27T20:00:00,260,262,249,257,1041691.007488
2020-07-28T00:00:00,257,295,248,275,11885322.229609
2020-07-28T04:00:00,273,280,267,273,3754035.010773
2020-07-28T08:00:00,275,287,262,282,5324016.678371
2020-07-28T12:00:00,283,291,264,272,6307796.775967
2020-07-28T16:00:00,272,278,268,272,498372.995785
2020-07-28T20:00:00,271,280,270,275,914535.976076
2020-07-29T00:00:00,275,291,270,279,5424468.047775
2020-07-29T04:00:00,279,287,278,280,2515351.1936
2020-07-29T08:00:00,280,283,270,279,2675049.646658
2020-07-29T12:00:00,279,291,275,279,3078589.817177
2020-07-29T16:00:00,279,282,277,277,332855.185933
2020-07-29T20:00:00,277,284,277,281,595207.439263
2020-07-30T00:00:00,283,283,269,273,1814175.36644
2020-07-30T04:00:00,272,273,260,265,1502801.943504
2020-07-30T08:00:00,265,272,259,268,826819.51801
2020-07-30T12:00:00,267,270,265,269,250074.093118
2020-07-30T16:00:00,267,271,266,266,73118.13041
2020-07-30T20:00:00,266,270,264,269,191308.476377
2020-07-31T00:00:00,269,278,263,270,1283595.133639
2020-07-31T04:00:00,270,273,267,269,230919.974732
2020-07-31T08:00:00,268,269,264,267,387440.628015
2020-07-31T12:00:00,267,270,264,267,358308.953861
2020-07-31T16:00:00,267,267,262,263,284245.212085
2020-07-31T20:00:00,263,267,263,264,151532.373791
2020-08-01T00:00:00,264,270,263,267,489506.272267
2020-08-01T04:00:00,267,269,263,266,130938.059971
2020-08-01T08:00:00,266,268,260,268,282371.408455
2020-08-01T12:00:00,269,270,264,265,125223.719584
2020-08-01T16:00:00,266,268,264,267,88500.319492
2020-08-01T20:00:00,267,269,262,265,231568.648386
2020-08-02T00:00:00,263,295,263,273,8411134.050623
2020-08-02T04:00:00,273,278,243,263,2665043.878203
2020-08-02T08:00:00,261,263,248,252,556012.02232
2020-08-02T12:00:00,252,261,252,258,546414.197903
