datetime,open,high,low,close,volume
2025-09-11T12:00:00,969,1343,674,676,223854095.973913
2025-09-11T16:00:00,675,678,595,629,77029731.689236
2025-09-11T20:00:00,629,675,628,647,45722413.109589
2025-09-12T00:00:00,649,669,616,631,70601487.09424
2025-09-12T04:00:00,631,670,630,644,43300079.143775
2025-09-12T08:00:00,645,646,621,628,28846541.058284
2025-09-12T12:00:00,628,629,599,603,35796304.531585
2025-09-12T16:00:00,603,605,571,598,30787893.006623
2025-09-12T20:00:00,598,613,595,600,17902317.474464
2025-09-13T00:00:00,601,606,573,578,42529044.300667
2025-09-13T04:00:00,578,579,566,574,26942220.723417
2025-09-13T08:00:00,574,581,568,579,17423222.835572
2025-09-13T12:00:00,579,599,570,593,43300081.038658
2025-09-13T16:00:00,592,593,573,581,10543434.091004
2025-09-13T20:00:00,581,619,581,615,28583925.958444
