datetime,open,high,low,close,volume
2025-07-10T08:00:00,141.1,474.8,141.1,428.6,1134384209.726129
2025-07-10T12:00:00,428.6,980,415.1,673.5,1913981289.735873
2025-07-10T16:00:00,673.6,687.4,592.2,657.9,313743265.363988
2025-07-10T20:00:00,657.9,801.6,652.5,783.9,386192838.380989
2025-07-11T00:00:00,785.5,937,764,837.2,546187475.087849
2025-07-11T04:00:00,837.2,854.1,693.2,703.7,268859319.37537
2025-07-11T08:00:00,703.6,860,635.2,817.9,462568032.471764
2025-07-11T12:00:00,817.8,823.8,688,699.4,190417859.481611
2025-07-11T16:00:00,699.8,751.7,693.8,726.8,53461369.215918
2025-07-11T20:00:00,726.8,772,703,754,72072201.490806
2025-07-12T00:00:00,753.9,760,688.3,707,79416204.594314
2025-07-12T04:00:00,707,715.1,637.6,641.8,68641886.314192
2025-07-12T08:00:00,641.8,679.1,607.2,609.7,63593714.652491
2025-07-12T12:00:00,609.2,690,607.7,628.7,123854628.024355
2025-07-12T16:00:00,628.4,669,626.8,641.5,29850508.542643
2025-07-12T20:00:00,642.1,678.6,620.8,633.2,27085704.809213
