datetime,open,high,low,close,volume
2020-07-01T00:00:00,6.47,6.49,6.36,6.47,30007015.859953
2020-07-01T04:00:00,6.46,6.52,6.41,6.46,8141971.236492
2020-07-01T08:00:00,6.48,6.56,6.44,6.47,21585157.610162
2020-07-01T12:00:00,6.53,6.64,6.48,6.61,39416501.262946
2020-07-01T16:00:00,6.61,6.81,6.61,6.7,13938957.198342
2020-07-01T20:00:00,6.69,6.8,6.69,6.7,13427046.874208
2020-07-02T00:00:00,6.74,6.89,6.73,6.81,14450824.202875
2020-07-02T04:00:00,6.81,6.92,6.7,6.82,60095630.912532
2020-07-02T08:00:00,6.82,6.82,6.68,6.7,19334390.728271
2020-07-02T12:00:00,6.72,6.85,6.56,6.56,14247579.887563
2020-07-02T16:00:00,6.54,6.61,6.4,6.53,10870012.053677
2020-07-02T20:00:00,6.49,6.58,6.45,6.5,4891667.106991
2020-07-03T00:00:00,6.51,6.56,6.4,6.55,32405071.315533
2020-07-03T04:00:00,6.51,6.62,6.51,6.55,12352000.53434
2020-07-03T08:00:00,6.57,6.6,6.52,6.55,7924125.832515
2020-07-03T12:00:00,6.58,6.74,6.51,6.73,10943182.125677
2020-07-03T16:00:00,6.69,6.75,6.61,6.67,3655728.40497
2020-07-03T20:00:00,6.65,6.68,6.52,6.59,4990850.119065
2020-07-04T00:00:00,6.59,6.69,6.55,6.63,6267627.299008
2020-07-04T04:00:00,6.65,6.65,6.52,6.53,8548876.726283
2020-07-04T08:00:00,6.52,6.57,6.5,6.53,4620129.676048
2020-07-04T12:00:00,6.52,6.69,6.51,6.61,6844363.991751
2020-07-04T16:00:00,6.62,6.72,6.59,6.71,8658289.994546
2020-07-04T20:00:00,6.73,6.74,6.61,6.62,3299009.952751
2020-07-05T00:00:00,6.68,6.7,6.57,6.65,1821438.8596
2020-07-05T04:00:00,6.65,7.49,6.62,7.31,102326422.7456
2020-07-05T08:00:00,7.31,7.34,7.04,7.2,79373679.700044
2020-07-05T12:00:00,7.2,7.88,7.05,7.57,158752335.474759
2020-07-05T16:00:00,7.58,7.85,7.52,7.71,36883438.215274
2020-07-05T20:00:00,7.71,8.36,7.48,8.21,121799562.537794
2020-07-06T00:00:00,8.21,8.55,7.87,8.07,221385674.869298
2020-07-06T04:00:00,8.1,8.25,7.77,7.81,99202307.474933
2020-07-06T08:00:00,7.81,7.91,7.6,7.68,67683437.996959
2020-07-06T12:00:00,7.68,7.77,7.54,7.67,64097911.546896
2020-07-06T16:00:00,7.65,7.7,7.58,7.62,9480213.432673
2020-07-06T20:00:00,7.62,7.72,7.5,7.58,29091772.122606
2020-07-07T00:00:00,7.62,7.64,7.44,7.57,78336205.874936
2020-07-07T04:00:00,7.58,7.87,7.5,7.71,22634017.369734
2020-07-07T08:00:00,7.73,7.73,7.53,7.59,17602061.891188
2020-07-07T12:00:00,7.6,7.64,7.52,7.6,5054050.986327
2020-07-07T16:00:00,7.6,7.84,7.55,7.6,10323871.861383
2020-07-07T20:00:00,7.6,7.73,7.6,7.71,7293518.13076
2020-07-08T00:00:00,7.69,7.81,7.54,7.81,19261586.423014
2020-07-08T04:00:00,7.81,7.92,7.74,7.89,23690694.407234
2020-07-08T08:00:00,7.85,8.08,7.75,8,43749129.695974
2020-07-08T12:00:00,7.96,7.96,7.7,7.81,30440814.483194
2020-07-08T16:00:00,7.81,7.85,7.7,7.83,7784404.147545
2020-07-08T20:00:00,7.82,7.86,7.73,7.83,11146192.426064
2020-07-09T00:00:00,7.84,7.84,7.54,7.62,41270533.385261
2020-07-09T04:00:00,7.66,8.18,7.6,8.11,46043582.444848
2020-07-09T08:00:00,8.09,8.16,7.89,8,50630783.500309
2020-07-09T12:00:00,7.99,8.06,7.56,7.69,28327205.467568
2020-07-09T16:00:00,7.69,7.77,7.32,7.53,7318072.162788
2020-07-09T20:00:00,7.45,7.68,7.43,7.63,13012695.9613
2020-07-10T00:00:00,7.63,7.66,7.4,7.5,9067510.863652
2020-07-10T04:00:00,7.48,7.65,7.42,7.61,19702615.748398
2020-07-10T08:00:00,7.6,7.75,7.42,7.45,5569395.302641
2020-07-10T12:00:00,7.43,7.61,7.42,7.56,6970586.769583
2020-07-10T16:00:00,7.56,7.72,7.53,7.62,8703516.488955
2020-07-10T20:00:00,7.63,7.7,7.56,7.64,3021699.758579
2020-07-11T00:00:00,7.63,7.89,7.63,7.74,27726176.626939
2020-07-11T04:00:00,7.73,7.81,7.67,7.73,10190233.017424
2020-07-11T08:00:00,7.72,7.73,7.5,7.54,21123838.344613
2020-07-11T12:00:00,7.56,7.72,7.56,7.66,10434207.422167
2020-07-11T16:00:00,7.7,7.76,7.59,7.61,5406493.541601
2020-07-11T20:00:00,7.62,7.68,7.56,7.68,4341238.741395
2020-07-12T00:00:00,7.68,7.8,7.64,7.7,9764732.927996
2020-07-12T04:00:00,7.65,7.7,7.6,7.64,6155735.277709
2020-07-12T08:00:00,7.63,7.77,7.61,7.72,4152219.981108
2020-07-12T12:00:00,7.67,7.77,7.54,7.55,10957848.313201
2020-07-12T16:00:00,7.55,7.62,7.44,7.46,11259054.863656
2020-07-12T20:00:00,7.46,7.58,7.45,7.57,2213479.562502
2020-07-13T00:00:00,7.57,7.58,7.45,7.51,7617794.268615
2020-07-13T04:00:00,7.51,7.58,7.46,7.55,12994152.999184
2020-07-13T08:00:00,7.57,7.65,7.51,7.64,8473314.442264
2020-07-13T12:00:00,7.61,7.72,7.52,7.54,15046201.910148
