datetime,open,high,low,close,volume
2025-08-08T04:00:00,9490,9630,8920,9000,10369688.600126
2025-08-08T08:00:00,9005,9395,9000,9240,2639602.478566
2025-08-08T12:00:00,9240,9265,8935,9015,1395905.366495
2025-08-08T16:00:00,9020,9095,8960,9090,293254.149818
2025-08-08T20:00:00,9090,9090,8975,9010,571976.900482
2025-08-09T00:00:00,9015,9040,8860,8860,1407549.625363
2025-08-09T04:00:00,8860,8895,8805,8875,707089.113866
2025-08-09T08:00:00,8875,8900,8830,8895,363254.640859
2025-08-09T12:00:00,8895,9000,8805,8810,607827.50638
2025-08-09T16:00:00,8820,8975,8810,8930,240473.813894
2025-08-09T20:00:00,8925,9125,8905,9045,624061.432669
2025-08-10T00:00:00,9040,9085,8905,8970,831258.422809
2025-08-10T04:00:00,8970,9280,8935,9130,1105965.125842
2025-08-10T08:00:00,9130,9190,8980,9105,683735.560152
2025-08-10T12:00:00,9110,9165,8980,9165,318777.312687
2025-08-10T16:00:00,9165,9425,9145,9405,367567.84845
2025-08-10T20:00:00,9385,9770,9380,9435,1066988.537755
2025-08-11T00:00:00,9435,9625,9275,9400,600269.876113
2025-08-11T04:00:00,9400,9400,9160,9190,363716.535141
2025-08-11T08:00:00,9190,9265,9120,9230,242438.298498
2025-08-11T12:00:00,9230,9590,8715,8935,1624028.747623
2025-08-11T16:00:00,8930,8965,8705,8730,369299.981563
2025-08-11T20:00:00,8730,8735,8460,8525,789222.922526
2025-08-12T00:00:00,8525,8635,8370,8390,822449.085373
2025-08-12T04:00:00,8390,8400,7625,7795,3022332.696521
2025-08-12T08:00:00,7795,7970,7695,7800,1709848.948105
2025-08-12T12:00:00,7800,8095,7730,7980,961787.822095
2025-08-12T16:00:00,7985,8035,7890,7970,241253.608187
2025-08-12T20:00:00,7970,8030,7900,7990,576152.691374
2025-08-13T00:00:00,7990,8005,7640,7800,1031195.379289
2025-08-13T04:00:00,7795,7825,7680,7795,370059.16498
2025-08-13T08:00:00,7795,8170,7780,8160,793683.328965
2025-08-13T12:00:00,8160,8175,7895,7980,609011.377442
2025-08-13T16:00:00,7980,8200,7975,8200,149466.928847
2025-08-13T20:00:00,8200,8250,8050,8110,208184.738247
2025-08-14T00:00:00,8110,8175,7930,8080,333355.842616
2025-08-14T04:00:00,8080,8100,7840,7890,270718.893793
2025-08-14T08:00:00,7895,8070,7770,7970,321519.862943
2025-08-14T12:00:00,7990,7995,7650,7875,499024.435238
2025-08-14T16:00:00,7875,7960,7720,7730,65458.16384
2025-08-14T20:00:00,7730,7785,7645,7650,137463.56857
2025-08-15T00:00:00,7650,7815,7605,7790,191743.597068
