datetime,open,high,low,close,volume
2025-03-05T04:00:00,2040,3619,2040,2923,61468032.681175
2025-03-05T08:00:00,2923,2924,2671,2726,25465241.607717
2025-03-05T12:00:00,2726,2825,2585,2634,16167598.164726
2025-03-05T16:00:00,2632,2736,2589,2655,3975304.339675
2025-03-05T20:00:00,2648,2756,2616,2680,8954529.133468
2025-03-06T00:00:00,2680,2792,2590,2706,9582681.390892
2025-03-06T04:00:00,2704,2712,2501,2560,4629620.919273
2025-03-06T08:00:00,2552,2574,2518,2539,1767078.159455
2025-03-06T12:00:00,2529,2532,2481,2493,1548153.307548
2025-03-06T16:00:00,2493,2498,2400,2410,685789.603664
2025-03-06T20:00:00,2409,2453,2401,2425,526959.113472
