datetime,open,high,low,close,volume
2020-07-23T04:00:00,2980,4000,2980,3440,1068526.206327
2020-07-23T08:00:00,3445,3615,3400,3415,397640.072232
2020-07-23T12:00:00,3415,3515,3400,3420,79415.304764
2020-07-23T16:00:00,3420,3420,3130,3140,78761.68415
2020-07-23T20:00:00,3140,3280,3125,3200,49647.785944
2020-07-24T00:00:00,3215,3220,3110,3155,60419.309726
2020-07-24T04:00:00,3155,3280,3135,3280,42260.811584
2020-07-24T08:00:00,3285,3395,3130,3205,71312.470447
2020-07-24T12:00:00,3205,3270,3150,3160,21448.164471
2020-07-24T16:00:00,3165,3180,2980,3075,21017.816802
2020-07-24T20:00:00,3070,3075,2880,2955,29226.942694
2020-07-25T00:00:00,2965,3030,2885,3010,26650.162363
2020-07-25T04:00:00,3005,3125,2995,3125,24852.750856
2020-07-25T08:00:00,3090,3125,2995,3040,8536.423959
2020-07-25T12:00:00,3030,3075,2925,3075,18945.435309
2020-07-25T16:00:00,3065,3090,2950,2950,7607.732528
2020-07-25T20:00:00,2950,2950,2795,2815,18834.371822
2020-07-26T00:00:00,2815,2900,2770,2800,40825.34866
2020-07-26T04:00:00,2805,2880,2610,2765,39349.677562
2020-07-26T08:00:00,2650,2775,2525,2750,31819.337537
2020-07-26T12:00:00,2715,2745,2570,2640,12164.452721
2020-07-26T16:00:00,2640,2705,2560,2560,6594.690749
2020-07-26T20:00:00,2690,2740,2555,2740,6819.941427
2020-07-27T00:00:00,2740,2840,2360,2395,49729.502491
2020-07-27T04:00:00,2460,2595,2385,2415,39792.641493
2020-07-27T08:00:00,2415,2625,2405,2430,33768.329492
2020-07-27T12:00:00,2445,2640,2255,2480,774763.574536
2020-07-27T16:00:00,2470,2675,2265,2550,264637.240176
2020-07-27T20:00:00,2550,2635,2365,2415,129836.863255
2020-07-28T00:00:00,2415,4500,2355,2865,3987517.095782
2020-07-28T04:00:00,2865,3335,2830,3195,2356359.471689
2020-07-28T08:00:00,3225,3290,2905,3140,3454808.667313
2020-07-28T12:00:00,3145,3145,2835,2920,1874765.986654
2020-07-28T16:00:00,2920,2980,2875,2955,144436.027373
2020-07-28T20:00:00,2945,3165,2935,3025,427734.282613
2020-07-29T00:00:00,3050,3545,3000,3125,2778184.362819
2020-07-29T04:00:00,3125,3250,3050,3100,1501207.64549
2020-07-29T08:00:00,3100,3155,2955,3015,928241.151465
