datetime,open,high,low,close,volume
2025-10-28T04:00:00,293,339,293,328,117574745.13222
2025-10-28T08:00:00,328,329,276,295,263475785.293714
2025-10-28T12:00:00,294,299,273,276,70750662.271198
2025-10-28T16:00:00,275,282,251,252,29467961.896252
2025-10-28T20:00:00,252,262,247,255,23552877.527492
2025-10-29T00:00:00,255,266,234,237,73843393.620456
2025-10-29T04:00:00,236,243,235,235,15696469.648661
2025-10-29T08:00:00,236,237,228,229,25620926.941134
2025-10-29T12:00:00,229,234,216,221,13582160.000249
2025-10-29T16:00:00,221,229,217,224,5754262.186097
2025-10-29T20:00:00,223,227,219,221,6495504.101482
2025-10-30T00:00:00,221,221,212,215,10075308.188284
2025-10-30T04:00:00,215,215,205,211,11339969.16916
2025-10-30T08:00:00,210,211,203,207,5305029.744309
2025-10-30T12:00:00,207,207,195,196,8080559.073431
2025-10-30T16:00:00,196,201,193,197,1989788.464812
2025-10-30T20:00:00,195,199,193,199,1695101.371671
2025-10-31T00:00:00,199,206,195,201,5947160.35852
2025-10-31T04:00:00,201,202,193,194,3097997.318804
2025-10-31T08:00:00,194,202,192,202,2290125.808991
2025-10-31T12:00:00,202,203,198,201,1532595.067113
2025-10-31T16:00:00,201,201,195,199,1161642.351134
2025-10-31T20:00:00,199,199,195,198,722913.985326
2025-11-01T00:00:00,198,198,189,194,4609894.53675
2025-11-01T04:00:00,194,194,190,194,2128978.620751
2025-11-01T08:00:00,194,197,191,195,1372373.826455
2025-11-01T12:00:00,195,196,190,194,1383351.90025
2025-11-01T16:00:00,194,196,193,195,1227035.09591
2025-11-01T20:00:00,195,197,191,193,1852764.784345
2025-11-02T00:00:00,193,193,187,189,4673629.121988
2025-11-02T04:00:00,189,191,188,190,1368344.080704
2025-11-02T08:00:00,190,190,183,187,2368885.558679
2025-11-02T12:00:00,187,187,178,181,2293584.290875
2025-11-02T16:00:00,181,183,179,180,841064.222067
2025-11-02T20:00:00,180,183,180,183,519005.639269
2025-11-03T00:00:00,183,183,164,166,9643537.428886
2025-11-03T04:00:00,165,168,161,167,4118804.757218
2025-11-03T08:00:00,166,168,162,164,2968164.430811
2025-11-03T12:00:00,164,165,148,150,8476705.226701
2025-11-03T16:00:00,151,157,151,153,2118589.383003
2025-11-03T20:00:00,154,154,148,152,3190605.828442
2025-11-04T00:00:00,153,172,152,155,29930341.923251
2025-11-04T04:00:00,155,156,145,148,6560989.58786
2025-11-04T08:00:00,148,160,147,157,4536430.149227
2025-11-04T12:00:00,157,159,151,154,2712461.320926
2025-11-04T16:00:00,154,155,147,149,2182593.838834
2025-11-04T20:00:00,149,152,140,150,4966379.024386
2025-11-05T00:00:00,151,167,140,155,20129292.896219
2025-11-05T04:00:00,155,161,152,154,10390920.088203
2025-11-05T08:00:00,153,155,148,153,4407829.025844
2025-11-05T12:00:00,153,154,149,154,3091265.426033
2025-11-05T16:00:00,154,158,152,155,823407.347587
2025-11-05T20:00:00,155,157,152,157,1255795.92343
2025-11-06T00:00:00,157,158,150,155,3439995.762163
2025-11-06T04:00:00,155,155,148,150,1568496.708235
2025-11-06T08:00:00,150,156,148,152,1420947.503155
2025-11-06T12:00:00,152,152,146,146,1388061.032972
