datetime,open,high,low,close,volume
2025-11-03T12:00:00,177,312,112,116,801666504.242217
2025-11-03T16:00:00,116,124,102,107,172510074.346925
2025-11-03T20:00:00,107,131,104,116,236573910.030667
2025-11-04T00:00:00,116,117,104,109,261712318.006419
2025-11-04T04:00:00,109,110,94.3,94.6,242956959.195684
2025-11-04T08:00:00,94.6,107,90.6,101,295855982.319015
2025-11-04T12:00:00,101,109,96.2,104,290965187.836337
2025-11-04T16:00:00,104,105,96.3,97,43170264.60434
2025-11-04T20:00:00,97,106,93.2,103,68785520.261455
2025-11-05T00:00:00,104,198,97,141,755948515.557336
2025-11-05T04:00:00,142,155,131,143,484097068.64044
2025-11-05T08:00:00,143,145,122,126,200447525.797108
2025-11-05T12:00:00,126,142,122,136,123511147.339925
2025-11-05T16:00:00,135,139,120,123,67623434.412288
2025-11-05T20:00:00,123,134,122,131,50043390.914391
2025-11-06T00:00:00,130,140,123,128,185425062.535929
2025-11-06T04:00:00,128,130,112,115,103664089.920305
2025-11-06T08:00:00,115,116,109,110,50281850.335573
2025-11-06T12:00:00,110,115,104,105,41333828.49903
2025-11-06T16:00:00,105,107,102,105,18356171.720291
2025-11-06T20:00:00,105,106,102,102,20303372.880506
2025-11-07T00:00:00,103,109,99.1,104,93715381.035333
2025-11-07T04:00:00,104,113,103,109,47859855.697025
2025-11-07T08:00:00,110,113,102,102,57131283.634492
2025-11-07T12:00:00,102,113,102,113,46052221.683356
2025-11-07T16:00:00,113,117,111,114,26306515.07817
2025-11-07T20:00:00,114,116,111,114,22886035.652319
2025-11-08T00:00:00,114,120,111,115,60140288.686423
2025-11-08T04:00:00,114,119,110,113,41768651.156814
2025-11-08T08:00:00,114,115,109,110,23645135.221151
2025-11-08T12:00:00,110,112,101,105,30121815.193431
2025-11-08T16:00:00,106,110,103,108,10371552.531752
2025-11-08T20:00:00,109,115,107,114,9807170.777567
2025-11-09T00:00:00,113,119,110,113,35870888.928156
2025-11-09T04:00:00,113,129,112,119,104355227.491532
2025-11-09T08:00:00,118,128,117,125,89582059.567376
2025-11-09T12:00:00,126,134,122,129,110461353.51107
2025-11-09T16:00:00,129,145,127,144,80026000.23507
2025-11-09T20:00:00,144,152,128,132,77526185.053819
2025-11-10T00:00:00,132,149,127,144,117696384.756741
2025-11-10T04:00:00,144,144,132,134,78492078.578134
2025-11-10T08:00:00,133,136,122,123,57970643.458733
2025-11-10T12:00:00,123,130,121,127,41460594.216613
2025-11-10T16:00:00,127,129,124,125,9299582.975209
2025-11-10T20:00:00,126,128,122,123,23186601.404674
2025-11-11T00:00:00,124,131,123,123,66117991.884772
2025-11-11T04:00:00,123,128,122,123,36544103.00695
2025-11-11T08:00:00,125,128,117,121,69912608.826014
2025-11-11T12:00:00,121,129,120,124,52389704.595878
2025-11-11T16:00:00,125,127,118,120,13686410.363536
2025-11-11T20:00:00,120,123,115,119,25170901.728762
2025-11-12T00:00:00,119,122,116,120,32930652.855488
2025-11-12T04:00:00,120,126,119,126,14794203.512953
2025-11-12T08:00:00,126,134,124,125,54554634.667734
2025-11-12T12:00:00,125,129,122,125,28414648.154692
2025-11-12T16:00:00,125,132,123,128,21252349.357199
2025-11-12T20:00:00,128,130,123,123,12309092.0543
2025-11-13T00:00:00,124,134,122,124,91496527.74228
2025-11-13T04:00:00,124,128,123,125,24471229.707821
2025-11-13T08:00:00,124,125,119,122,17611917.539148
2025-11-13T12:00:00,122,124,116,119,32546023.615684
2025-11-13T16:00:00,118,118,111,113,20538536.988911
2025-11-13T20:00:00,112,115,110,112,24240508.59679
2025-11-14T00:00:00,112,114,106,108,47104988.461306
2025-11-14T04:00:00,108,112,105,110,29212307.81383
2025-11-14T08:00:00,110,112,106,107,16627535.130077
2025-11-14T12:00:00,108,112,106,112,16011522.859029
2025-11-14T16:00:00,111,117,110,116,10742394.640482
2025-11-14T20:00:00,116,117,111,115,17995718.32616
2025-11-15T00:00:00,115,119,113,116,26159524.773134
2025-11-15T04:00:00,116,117,112,113,9999708.133398
2025-11-15T08:00:00,112,122,111,117,27964870.904911
2025-11-15T12:00:00,117,128,117,126,42268158.909118
2025-11-15T16:00:00,126,129,122,124,20370977.752939
2025-11-15T20:00:00,124,126,122,123,13410781.85087
