datetime,open,high,low,close,volume
2020-07-01T00:00:00,1440,1470,1420,1455,150436.424657
2020-07-01T04:00:00,1455,1525,1455,1490,373901.105683
2020-07-01T08:00:00,1490,1515,1475,1500,112858.937288
2020-07-01T12:00:00,1500,1560,1495,1560,425989.984909
2020-07-01T16:00:00,1555,1615,1555,1615,177854.164459
2020-07-01T20:00:00,1610,1610,1555,1600,167757.495289
2020-07-02T00:00:00,1605,1855,1595,1810,1932168.366001
2020-07-02T04:00:00,1810,1820,1680,1760,1713121.32768
2020-07-02T08:00:00,1760,1830,1710,1740,1039871.842898
2020-07-02T12:00:00,1740,1850,1725,1785,915290.09308
2020-07-02T16:00:00,1785,1805,1680,1765,435844.918274
2020-07-02T20:00:00,1770,1855,1750,1825,556100.627914
2020-07-03T00:00:00,1830,2025,1805,1950,3003856.534565
2020-07-03T04:00:00,1950,2120,1940,2055,2580283.073069
2020-07-03T08:00:00,2055,2220,2000,2180,3034153.197589
2020-07-03T12:00:00,2175,2345,2030,2110,5716279.913295
2020-07-03T16:00:00,2105,2290,2090,2245,887923.524413
2020-07-03T20:00:00,2245,2330,2090,2220,1141882.935783
2020-07-04T00:00:00,2220,2245,1985,2090,2155793.5188
2020-07-04T04:00:00,2085,2175,2000,2045,871307.730525
2020-07-04T08:00:00,2030,2045,1920,1950,1145799.483563
2020-07-04T12:00:00,1945,1990,1900,1950,1071350.721115
2020-07-04T16:00:00,1950,2055,1945,1995,525546.840299
2020-07-04T20:00:00,2015,2025,1960,1975,214491.429025
2020-07-05T00:00:00,1975,2050,1970,2010,1034105.399645
2020-07-05T04:00:00,2010,2195,1995,2020,1960657.168502
2020-07-05T08:00:00,2020,2020,1915,1965,825716.215963
2020-07-05T12:00:00,1965,1965,1855,1890,569232.911828
2020-07-05T16:00:00,1890,1970,1885,1945,117204.845539
2020-07-05T20:00:00,1935,1950,1875,1920,174531.101131
2020-07-06T00:00:00,1910,1955,1865,1915,635904.486
2020-07-06T04:00:00,1915,1975,1885,1950,424812.259891
2020-07-06T08:00:00,1950,2005,1920,1995,475205.681543
2020-07-06T12:00:00,1990,2140,1965,2055,1992190.917432
2020-07-06T16:00:00,2045,2075,2010,2040,189369.711287
2020-07-06T20:00:00,2055,2055,1955,1980,387500.452887
2020-07-07T00:00:00,1980,2040,1930,1945,629500.001057
2020-07-07T04:00:00,1945,2005,1940,1985,352295.300519
2020-07-07T08:00:00,1990,2030,1985,1990,270521.181561
2020-07-07T12:00:00,2000,2000,1925,1950,291512.635628
2020-07-07T16:00:00,1955,1965,1885,1895,138552.095317
2020-07-07T20:00:00,1900,1925,1860,1870,458317.266142
2020-07-08T00:00:00,1880,1975,1870,1960,606137.343916
2020-07-08T04:00:00,1960,1970,1880,1895,312815.17754
2020-07-08T08:00:00,1890,1915,1870,1895,316221.919555
2020-07-08T12:00:00,1895,1920,1840,1920,564093.984926
2020-07-08T16:00:00,1920,1930,1880,1890,79602.033175
2020-07-08T20:00:00,1900,1900,1860,1870,66735.807786
2020-07-09T00:00:00,1870,2045,1860,2000,1297047.530055
2020-07-09T04:00:00,2000,2005,1925,1975,358626.760784
2020-07-09T08:00:00,1980,2005,1945,1985,310629.789387
2020-07-09T12:00:00,1985,1990,1870,1900,343125.121791
2020-07-09T16:00:00,1910,1940,1890,1915,65489.4681
2020-07-09T20:00:00,1910,1990,1905,1980,139425.312257
2020-07-10T00:00:00,1980,1995,1920,1950,269625.266814
2020-07-10T04:00:00,1935,1945,1875,1890,171458.537657
2020-07-10T08:00:00,1890,1930,1880,1885,157209.982003
2020-07-10T12:00:00,1890,1930,1880,1915,140444.560543
2020-07-10T16:00:00,1915,1930,1890,1915,68013.770325
2020-07-10T20:00:00,1905,1930,1900,1925,91321.021086
2020-07-11T00:00:00,1920,1920,1890,1890,220382.145985
2020-07-11T04:00:00,1895,1915,1890,1900,50873.138923
2020-07-11T08:00:00,1905,1980,1900,1955,274067.149849
2020-07-11T12:00:00,1955,1980,1925,1955,144377.179889
2020-07-11T16:00:00,1960,1970,1925,1940,47655.910192
2020-07-11T20:00:00,1940,1960,1935,1960,30909.255912
2020-07-12T00:00:00,1955,1980,1940,1945,126522.783204
2020-07-12T04:00:00,1955,1980,1935,1940,86721.497562
2020-07-12T08:00:00,1945,1950,1925,1930,54492.242702
2020-07-12T12:00:00,1930,1945,1890,1905,198612.022472
2020-07-12T16:00:00,1910,1915,1895,1905,53868.793888
2020-07-12T20:00:00,1905,1920,1885,1910,109810.502349
2020-07-13T00:00:00,1910,1910,1875,1890,140119.038683
2020-07-13T04:00:00,1895,1935,1880,1935,178187.63287
2020-07-13T08:00:00,1930,1985,1925,1950,206559.430615
2020-07-13T12:00:00,1950,1950,1900,1900,227000.416999
2020-07-13T16:00:00,1900,1935,1805,1845,313956.076026
2020-07-13T20:00:00,1835,1870,1790,1825,348680.079463
