datetime,open,high,low,close,volume
2025-09-18T08:00:00,476,816,476,639,158204657.347911
2025-09-18T12:00:00,639,643,559,571,78626586.831157
2025-09-18T16:00:00,571,587,556,561,16658583.461331
2025-09-18T20:00:00,561,570,550,552,9318178.325284
2025-09-19T00:00:00,554,563,525,528,19409377.960305
2025-09-19T04:00:00,528,529,521,527,5487371.042629
2025-09-19T08:00:00,526,542,524,537,4845080.500389
2025-09-19T12:00:00,536,538,518,531,4817901.911322
2025-09-19T16:00:00,531,536,523,523,977720.035448
2025-09-19T20:00:00,523,526,512,517,1924451.616497
2025-09-20T00:00:00,516,517,505,510,2909012.497184
2025-09-20T04:00:00,511,514,506,513,1495853.677127
2025-09-20T08:00:00,512,514,506,513,3475845.59998
2025-09-20T12:00:00,513,518,508,512,4383227.384096
2025-09-20T16:00:00,512,519,512,513,1324478.99128
2025-09-20T20:00:00,513,520,512,519,1962987.185397
2025-09-21T00:00:00,519,547,518,543,29608024.05508
2025-09-21T04:00:00,544,594,540,592,41698517.886498
2025-09-21T08:00:00,590,594,533,538,44051600.14467
2025-09-21T12:00:00,538,548,532,542,9364964.718866
2025-09-21T16:00:00,542,562,540,562,3957863.459325
2025-09-21T20:00:00,561,591,555,561,11424808.407721
2025-09-22T00:00:00,563,571,524,531,13910925.67916
2025-09-22T04:00:00,531,538,485,506,11391206.105252
2025-09-22T08:00:00,506,514,486,494,7074605.071212
2025-09-22T12:00:00,494,516,488,498,4056821.518247
2025-09-22T16:00:00,498,528,491,508,1599355.991318
2025-09-22T20:00:00,508,518,503,509,1079939.505487
2025-09-23T00:00:00,508,529,486,522,7286808.871289
2025-09-23T04:00:00,522,556,520,544,16930049.549766
2025-09-23T08:00:00,544,547,509,527,9083745.845898
2025-09-23T12:00:00,526,555,520,531,24415028.700306
2025-09-23T16:00:00,531,542,524,538,4452789.33995
2025-09-23T20:00:00,539,562,532,550,8680067.353488
2025-09-24T00:00:00,550,715,542,675,221191983.326195
2025-09-24T04:00:00,675,698,587,603,97665000.887602
2025-09-24T08:00:00,603,622,565,580,53151175.245577
2025-09-24T12:00:00,579,585,565,577,16135227.840154
2025-09-24T16:00:00,576,578,567,574,3448577.658439
2025-09-24T20:00:00,574,593,573,593,11878311.720545
2025-09-25T00:00:00,593,607,544,551,35730914.212718
2025-09-25T04:00:00,551,551,523,523,8457391.958045
2025-09-25T08:00:00,523,533,514,522,6224206.292959
2025-09-25T12:00:00,523,527,505,512,9488803.439665
2025-09-25T16:00:00,511,517,502,508,2835153.069162
2025-09-25T20:00:00,508,512,500,508,5659978.775321
2025-09-26T00:00:00,508,552,502,517,32898564.054691
2025-09-26T04:00:00,517,540,504,538,9640818.534307
2025-09-26T08:00:00,539,580,524,537,33451595.285299
2025-09-26T12:00:00,537,537,516,525,13086165.426078
2025-09-26T16:00:00,524,540,524,536,1767943.136876
2025-09-26T20:00:00,536,549,530,548,3114178.362447
