datetime,open,high,low,close,volume
2025-09-10T16:00:00,35.2,79,33.6,34.3,1512403106.134419
2025-09-10T20:00:00,34.4,35.9,33.7,34.6,377014087.444521
2025-09-11T00:00:00,34.6,34.9,32.6,34.8,426906234.494557
2025-09-11T04:00:00,34.8,36.2,32.2,33,583624372.187561
2025-09-11T08:00:00,32.9,35.4,32.7,32.9,368917490.218002
2025-09-11T12:00:00,32.8,34,31.4,31.8,346122988.896103
2025-09-11T16:00:00,32,33,31.6,32.8,63697534.82618
2025-09-11T20:00:00,32.9,32.9,31.8,32.4,96548130.244959
2025-09-12T00:00:00,32.4,34.3,32,32.8,269837888.485328
2025-09-12T04:00:00,32.8,33.7,32.3,32.3,140438199.776653
2025-09-12T08:00:00,32.4,32.8,31.8,31.9,132265901.972375
2025-09-12T12:00:00,31.9,32,30,31,219684226.337741
2025-09-12T16:00:00,31,31.6,30.5,31.4,50381240.683147
2025-09-12T20:00:00,31.6,32.3,31.3,31.8,63538238.809284
2025-09-13T00:00:00,31.9,32.2,31.3,31.4,80851788.507933
2025-09-13T04:00:00,31.4,33.1,31.2,32.7,114482117.88957
2025-09-13T08:00:00,32.7,34.1,32.2,33.9,164161861.600037
2025-09-13T12:00:00,33.9,38.4,33.7,35.8,1263034873.173025
2025-09-13T16:00:00,35.8,37.2,34.9,35.7,276485000.460701
2025-09-13T20:00:00,35.6,40.7,35.6,39.7,476989345.842896
2025-09-14T00:00:00,39.6,43.2,38.1,41.1,1662555485.925466
2025-09-14T04:00:00,41.1,44.9,39.9,42.1,954846322.433666
2025-09-14T08:00:00,42.1,42.7,38.7,40,666772308.344085
2025-09-14T12:00:00,40,41.9,38.8,41.5,506481415.357758
2025-09-14T16:00:00,41.5,43.9,40.8,43,370200169.371807
2025-09-14T20:00:00,43,44.4,40.5,41.2,310630217.538251
2025-09-15T00:00:00,41.1,45.5,40.7,45,1060962250.527632
2025-09-15T04:00:00,45,46.2,40.9,41.7,933614691.581056
2025-09-15T08:00:00,41.6,42,39,40.7,506992643.708327
2025-09-15T12:00:00,40.7,40.8,36.3,36.8,522405986.335809
2025-09-15T16:00:00,36.7,39.1,36.3,38.9,141110456.590077
2025-09-15T20:00:00,38.8,39.5,38.3,38.5,122225078.88777
2025-09-16T00:00:00,38.5,40.5,38.2,39.7,427793334.17886
2025-09-16T04:00:00,39.7,40.2,37.9,38.7,216454851.960795
2025-09-16T08:00:00,38.8,38.8,36.6,37.1,153624496.008372
2025-09-16T12:00:00,37,37.6,33.9,35.3,229055540.396226
2025-09-16T16:00:00,35.3,35.9,34.6,35.7,53088389.543214
2025-09-16T20:00:00,35.6,36.2,35.5,35.9,71162713.917608
2025-09-17T00:00:00,35.9,36.1,34.9,35.3,109457778.011787
2025-09-17T04:00:00,35.3,35.7,34.6,34.7,96457307.599881
2025-09-17T08:00:00,34.8,34.8,33.9,34.4,82575627.670033
2025-09-17T12:00:00,34.4,35.2,34.2,34.4,48688766.931402
2025-09-17T16:00:00,34.4,36.1,33.8,36,72699485.749291
2025-09-17T20:00:00,36,36.5,35.2,35.6,62885513.996271
2025-09-18T00:00:00,35.6,37,35.3,36.5,120309020.190405
2025-09-18T04:00:00,36.5,37.4,35.9,36.4,120203794.768137
2025-09-18T08:00:00,36.3,37,35.4,35.6,75486270.85988
2025-09-18T12:00:00,35.6,36.6,35.5,35.9,54614986.861126
2025-09-18T16:00:00,35.9,36.7,35.9,36.4,13380817.077661
2025-09-18T20:00:00,36.5,37.5,36.1,37.4,54377032.173233
2025-09-19T00:00:00,37.4,40.2,37.4,38.1,404820346.301644
2025-09-19T04:00:00,38.2,40.2,37.8,39.5,207984082.018282
2025-09-19T08:00:00,39.6,42.8,39.6,40.8,502736661.030877
2025-09-19T12:00:00,40.9,44.4,40.8,44.2,541449528.133058
2025-09-19T16:00:00,44.1,45.8,41.4,41.9,393142732.661029
2025-09-19T20:00:00,42,42.8,40.8,41.3,181617325.705949
2025-09-20T00:00:00,41.4,41.9,37.8,38.9,522745152.869131
2025-09-20T04:00:00,38.9,40.1,38.4,39.9,218309688.164613
2025-09-20T08:00:00,39.9,40.7,38.7,39.8,286165710.490225
2025-09-20T12:00:00,39.8,42.6,39.7,41.2,521099417.46691
2025-09-20T16:00:00,41.1,41.6,39.8,40.2,109223318.012627
2025-09-20T20:00:00,40.2,41.3,40.1,40.8,73773844.126912
2025-09-21T00:00:00,40.8,44.9,40.7,43.6,870824216.303149
2025-09-21T04:00:00,43.6,44.4,42.3,42.8,400366297.309256
2025-09-21T08:00:00,43.1,43.6,41.4,42.2,270203726.297088
2025-09-21T12:00:00,42.2,46.1,41.9,44.4,438589572.462927
2025-09-21T16:00:00,44.4,49.4,43.3,48.6,336628489.402922
2025-09-21T20:00:00,48.7,49.4,45.9,46.2,289064789.613976
2025-09-22T00:00:00,46.2,48.2,42.5,43.4,609580289.129764
2025-09-22T04:00:00,43.5,44.3,38.4,41.5,499089651.969323
2025-09-22T08:00:00,41.5,42.6,40.4,40.8,214687678.5632
2025-09-22T12:00:00,40.8,42.8,40.7,41.1,169249765.065329
2025-09-22T16:00:00,41,41.6,39.7,39.7,69092575.06422
2025-09-22T20:00:00,39.9,41.2,39.8,41.2,67730833.963777
2025-09-23T00:00:00,41.2,41.5,37.5,38.8,230477737.280297
2025-09-23T04:00:00,38.8,40.9,38,40.6,118826573.787791
2025-09-23T08:00:00,40.6,41.4,40,40.4,102833445.70013
2025-09-23T12:00:00,40.4,43.6,40.2,43.1,284432198.682164
2025-09-23T16:00:00,43.1,43.5,40.8,41.5,113041270.666262
2025-09-23T20:00:00,41.5,42.5,41,41.9,81981054.7456
2025-09-24T00:00:00,42,45.3,41.3,43.5,605230239.889399
2025-09-24T04:00:00,43.4,45,42.2,44.2,373815601.268994
2025-09-24T08:00:00,44.3,45.4,43.1,43.5,282941449.702476
2025-09-24T12:00:00,43.5,44,41.7,41.7,171783977.634064
2025-09-24T16:00:00,41.7,42.4,41.1,41.3,69943456.634313
2025-09-24T20:00:00,41.3,41.4,39.5,39.9,156986758.567506
2025-09-25T00:00:00,39.9,39.9,38.2,38.5,234547219.054355
2025-09-25T04:00:00,38.5,38.7,37,37,112575578.213009
2025-09-25T08:00:00,37.1,38.5,37,37.5,75245104.009309
