datetime,open,high,low,close,volume
2020-08-04T08:00:00,9795,80000,9795,11160,1886949.285626
2020-08-04T12:00:00,11160,11450,10920,11450,204417.857727
2020-08-04T16:00:00,11450,11470,11150,11240,46099.840059
2020-08-04T20:00:00,11200,11840,11150,11760,139610.204605
2020-08-05T00:00:00,11750,11750,11370,11500,123587.243622
2020-08-05T04:00:00,11500,11500,11000,11260,150476.875905
2020-08-05T08:00:00,11250,11480,11200,11300,39006.448328
2020-08-05T12:00:00,11300,11330,11100,11230,43326.131364
2020-08-05T16:00:00,11180,11400,11120,11280,20788.432333
2020-08-05T20:00:00,11280,11350,11130,11210,13129.713188
2020-08-06T00:00:00,11260,11710,11150,11540,74273.381329
2020-08-06T04:00:00,11550,11560,11370,11420,37667.966548
2020-08-06T08:00:00,11430,11530,11290,11530,34558.200015
2020-08-06T12:00:00,11540,11540,11300,11510,44054.21163
2020-08-06T16:00:00,11510,11550,11350,11430,14926.322829
2020-08-06T20:00:00,11420,12120,11270,12050,45557.681863
2020-08-07T00:00:00,12050,12110,11700,11700,49979.84331
2020-08-07T04:00:00,11700,11890,11620,11830,18991.886771
2020-08-07T08:00:00,11840,11910,11660,11720,22321.728299
2020-08-07T12:00:00,11710,11880,11600,11740,26025.320825
2020-08-07T16:00:00,11740,11800,11090,11620,20749.283413
2020-08-07T20:00:00,11580,12040,11550,12040,24681.807726
2020-08-08T00:00:00,12040,12380,11780,12260,76073.6047
2020-08-08T04:00:00,12240,12830,12230,12560,107367.052005
2020-08-08T08:00:00,12530,12770,12430,12680,41081.291219
2020-08-08T12:00:00,12680,13020,12640,13000,77190.575819
2020-08-08T16:00:00,13010,16360,13010,15710,344089.825005
2020-08-08T20:00:00,15720,15890,14810,14970,178956.825255
2020-08-09T00:00:00,14970,15720,14080,15080,307370.271553
2020-08-09T04:00:00,15050,15260,14630,14950,123899.523522
2020-08-09T08:00:00,14950,16280,14800,15960,283879.898256
2020-08-09T12:00:00,15980,16060,14530,15430,213197.686616
2020-08-09T16:00:00,15420,17360,15320,16450,279710.665002
2020-08-09T20:00:00,16450,16940,16080,16310,91319.729917
2020-08-10T00:00:00,16340,16550,15100,15590,245133.383612
2020-08-10T04:00:00,15600,16580,15430,16040,155242.428416
2020-08-10T08:00:00,16040,16590,15550,16170,123548.716319
2020-08-10T12:00:00,16180,16280,15750,16060,102577.490214
2020-08-10T16:00:00,16030,16140,15420,15460,80090.850512
2020-08-10T20:00:00,15460,15980,15070,15880,79055.432272
2020-08-11T00:00:00,15880,16000,15280,15490,142937.26356
2020-08-11T04:00:00,15490,15780,15300,15450,59157.713118
2020-08-11T08:00:00,15470,15550,14860,15060,84707.093397
2020-08-11T12:00:00,15070,15200,14260,15030,120057.304278
2020-08-11T16:00:00,15030,16000,14900,15120,83130.32384
2020-08-11T20:00:00,15170,15780,14800,15540,51798.782097
2020-08-12T00:00:00,15540,15540,14960,15350,59253.613979
2020-08-12T04:00:00,15370,16480,15170,16210,122455.016127
2020-08-12T08:00:00,16270,16680,15870,16480,105163.752808
2020-08-12T12:00:00,16490,18750,16320,18250,512346.688616
2020-08-12T16:00:00,18250,19120,17720,18050,230771.177826
2020-08-12T20:00:00,18000,19840,18000,19510,187913.873703
2020-08-13T00:00:00,19520,20310,19020,19670,466425.709033
2020-08-13T04:00:00,19700,21520,19120,20730,359232.149866
2020-08-13T08:00:00,20720,20890,19200,19950,396320.490228
2020-08-13T12:00:00,19960,20260,19300,19940,181722.682769
2020-08-13T16:00:00,19880,21670,19500,21390,187346.122775
2020-08-13T20:00:00,21390,21500,19300,20140,254390.395339
2020-08-14T00:00:00,20110,20490,19680,20090,123127.002767
2020-08-14T04:00:00,20110,20740,19850,19900,139487.08031
2020-08-14T08:00:00,19890,20290,19680,20100,76500.517327
2020-08-14T12:00:00,20100,20340,19300,19880,131964.779669
2020-08-14T16:00:00,19870,20090,19500,19670,68108.858779
2020-08-14T20:00:00,19670,20090,19470,19960,42209.611328
2020-08-15T00:00:00,19960,20420,19430,19550,86765.568263
2020-08-15T04:00:00,19550,19960,19520,19840,44457.372906
2020-08-15T08:00:00,19810,20900,19700,20820,107269.202202
2020-08-15T12:00:00,20820,23200,20640,22150,603163.271867
2020-08-15T16:00:00,22150,23140,21850,22870,117829.404779
2020-08-15T20:00:00,22870,23000,21570,22470,77968.345837
2020-08-16T00:00:00,22480,22810,21990,22160,107627.78934
2020-08-16T04:00:00,22100,23500,22000,23320,111855.13564
2020-08-16T08:00:00,23320,23330,22090,22210,140370.67435
2020-08-16T12:00:00,22220,22900,22090,22330,118096.126217
2020-08-16T16:00:00,22350,22600,22000,22020,54140.679926
2020-08-16T20:00:00,22040,22330,21660,21920,56786.419939
2020-08-17T00:00:00,21920,22400,21730,22360,98656.189217
2020-08-17T04:00:00,22360,22700,22000,22150,101378.496965
2020-08-17T08:00:00,22150,22950,22030,22530,78020.97951
