datetime,open,high,low,close,volume
2025-05-30T08:00:00,12100,18400,10410,14970,27028976.339809
2025-05-30T12:00:00,15040,21600,14900,16620,20439413.607981
2025-05-30T16:00:00,16590,16950,14300,15930,3831448.428923
2025-05-30T20:00:00,15940,19000,15320,16660,5096516.233016
2025-05-31T00:00:00,16650,19050,15230,16010,6974013.215071
2025-05-31T04:00:00,16010,17480,14780,16500,2997054.508113
2025-05-31T08:00:00,16490,17470,14240,14770,3368083.375208
2025-05-31T12:00:00,14770,15230,12430,12720,1927260.332856
2025-05-31T16:00:00,12670,13200,12300,12500,429452.995745
2025-05-31T20:00:00,12520,14100,12480,13670,1204316.248951
2025-06-01T00:00:00,13660,14280,12420,12820,1486030.282825
2025-06-01T04:00:00,12810,13250,12350,12750,412901.097252
2025-06-01T08:00:00,12750,13250,12030,12580,618574.767772
2025-06-01T12:00:00,12580,13290,12400,13100,402463.466334
2025-06-01T16:00:00,13100,13110,11870,12060,227751.962693
2025-06-01T20:00:00,12070,12960,12010,12610,299566.637011
2025-06-02T00:00:00,12610,12740,11460,11530,425775.994748
2025-06-02T04:00:00,11550,11830,11400,11730,366809.643089
2025-06-02T08:00:00,11720,11920,11440,11480,234132.920414
2025-06-02T12:00:00,11480,11800,11270,11650,176371.714358
2025-06-02T16:00:00,11690,11850,11600,11650,37654.743867
2025-06-02T20:00:00,11700,12000,11680,11830,151758.231701
