datetime,open,high,low,close,volume
2025-11-18T08:00:00,659,726,633,665,117048357.019882
2025-11-18T12:00:00,665,674,630,654,24557298.127323
2025-11-18T16:00:00,653,675,627,632,6037917.468595
2025-11-18T20:00:00,631,638,617,623,7739366.535962
2025-11-19T00:00:00,624,624,586,590,11788498.167426
2025-11-19T04:00:00,589,590,565,568,6753238.947709
2025-11-19T08:00:00,568,590,566,589,4436385.930415
2025-11-19T12:00:00,587,589,541,545,3763123.051382
2025-11-19T16:00:00,546,548,518,523,2136098.878542
2025-11-19T20:00:00,522,557,519,556,2955411.185249
2025-11-20T00:00:00,556,575,544,567,4819688.684702
2025-11-20T04:00:00,566,570,551,563,2702213.70377
2025-11-20T08:00:00,562,562,538,546,2364569.017149
2025-11-20T12:00:00,546,558,523,525,2679013.87262
2025-11-20T16:00:00,525,526,494,505,2187612.686777
2025-11-20T20:00:00,507,517,492,495,1212859.826237
2025-11-21T00:00:00,495,499,475,481,2561992.703913
2025-11-21T04:00:00,480,485,440,457,1742188.835752
2025-11-21T08:00:00,457,472,446,455,1630882.983044
2025-11-21T12:00:00,455,496,450,483,4017940.960111
2025-11-21T16:00:00,483,490,464,470,1832122.225008
2025-11-21T20:00:00,470,483,459,482,1321974.947787
2025-11-22T00:00:00,482,510,464,480,4374701.941522
2025-11-22T04:00:00,480,480,457,468,2046315.48134
2025-11-22T08:00:00,467,475,456,468,1085025.580268
2025-11-22T12:00:00,467,468,453,459,755830.731131
2025-11-22T16:00:00,460,466,449,452,295025.616487
2025-11-22T20:00:00,451,458,440,448,1130292.573524
2025-11-23T00:00:00,448,457,430,442,3136364.696083
2025-11-23T04:00:00,442,452,434,438,1123564.81525
2025-11-23T08:00:00,441,453,436,441,986446.047864
2025-11-23T12:00:00,439,457,426,435,2567157.015604
2025-11-23T16:00:00,435,440,419,437,837132.280532
2025-11-23T20:00:00,437,442,428,432,1045871.90277
2025-11-24T00:00:00,432,490,426,462,16808897.451136
2025-11-24T04:00:00,462,470,446,454,8174668.791156
2025-11-24T08:00:00,454,459,436,439,3468343.739587
2025-11-24T12:00:00,440,453,429,443,2767603.54841
2025-11-24T16:00:00,441,476,440,461,2173131.761893
2025-11-24T20:00:00,461,473,460,463,1167044.344895
2025-11-25T00:00:00,461,487,455,460,6540822.493525
2025-11-25T04:00:00,460,480,456,474,2429412.018813
2025-11-25T08:00:00,475,520,458,485,10928804.950285
2025-11-25T12:00:00,485,529,485,492,20680262.251933
2025-11-25T16:00:00,492,518,486,506,4813595.035619
2025-11-25T20:00:00,507,530,502,516,4020329.921027
2025-11-26T00:00:00,515,539,493,499,9196742.575691
2025-11-26T04:00:00,498,500,485,489,2999150.715907
2025-11-26T08:00:00,490,496,474,486,1802659.106277
2025-11-26T12:00:00,486,498,465,474,1937402.204433
2025-11-26T16:00:00,474,517,474,496,2318656.273805
2025-11-26T20:00:00,498,507,486,501,708336.998768
2025-11-27T00:00:00,500,518,492,515,3508099.131072
2025-11-27T04:00:00,515,1033,514,977,134969852.906572
2025-11-27T08:00:00,977,1007,760,783,69929020.102174
2025-11-27T12:00:00,784,865,640,652,31231248.510611
2025-11-27T16:00:00,653,727,652,705,3637052.247557
2025-11-27T20:00:00,705,829,690,717,13046824.660856
2025-11-28T00:00:00,718,767,586,593,23226828.593342
2025-11-28T04:00:00,592,692,581,648,15494972.676495
2025-11-28T08:00:00,648,717,626,676,13439866.439957
2025-11-28T12:00:00,676,757,593,620,14679951.815882
2025-11-28T16:00:00,618,623,597,610,934720.748166
2025-11-28T20:00:00,613,632,603,622,1918926.418306
2025-11-29T00:00:00,622,678,587,609,9570972.366922
2025-11-29T04:00:00,607,613,591,594,1745888.5792
2025-11-29T08:00:00,593,597,568,570,1859394.163368
2025-11-29T12:00:00,573,576,555,559,1440114.251891
2025-11-29T16:00:00,559,566,558,560,254146.561658
2025-11-29T20:00:00,560,575,556,559,405114.316002
2025-11-30T00:00:00,559,593,509,513,4842782.675573
2025-11-30T04:00:00,513,518,498,507,1032505.751592
2025-11-30T08:00:00,507,511,491,502,932624.422428
2025-11-30T12:00:00,502,522,497,515,430216.467869
2025-11-30T16:00:00,515,525,515,521,152620.084398
2025-11-30T20:00:00,520,532,515,517,184649.477054
2025-12-01T00:00:00,517,528,459,464,1545444.14865
2025-12-01T04:00:00,461,461,440,449,852320.821776
2025-12-01T08:00:00,448,470,447,460,179682.098032
2025-12-01T12:00:00,468,469,450,456,225280.712114
2025-12-01T16:00:00,452,454,445,451,28018.636019
2025-12-01T20:00:00,452,460,448,452,90367.676356
2025-12-02T00:00:00,452,530,450,484,5820819.091904
2025-12-02T04:00:00,484,514,482,489,3876326.223177
2025-12-02T08:00:00,489,507,457,474,2537231.945166
2025-12-02T12:00:00,474,499,465,499,696857.165754
2025-12-02T16:00:00,494,500,485,500,791923.948266
2025-12-02T20:00:00,500,509,485,495,366153.962642
2025-12-03T00:00:00,500,527,475,494,3272614.229134
2025-12-03T04:00:00,493,509,490,499,589680.893128
2025-12-03T08:00:00,500,506,483,492,854347.222842
2025-12-03T12:00:00,488,492,472,486,401027.43427
2025-12-03T16:00:00,482,493,480,488,183173.969048
2025-12-03T20:00:00,485,505,482,505,216432.630423
2025-12-04T00:00:00,500,517,486,495,973204.25941
2025-12-04T04:00:00,495,501,493,498,188671.986724
2025-12-04T08:00:00,498,500,481,489,1234730.684869
2025-12-04T12:00:00,489,500,485,497,332243.141993
2025-12-04T16:00:00,499,527,498,507,767355.37357
2025-12-04T20:00:00,509,516,502,502,334611.580717
2025-12-05T00:00:00,501,510,494,498,705871.304442
2025-12-05T04:00:00,500,507,488,507,179714.559427
2025-12-05T08:00:00,506,506,480,480,420985.721642
2025-12-05T12:00:00,480,488,472,477,256551.026626
2025-12-05T16:00:00,480,480,466,471,25539.58112
2025-12-05T20:00:00,477,483,474,482,35466.916498
2025-12-06T00:00:00,484,505,482,501,1429029.754077
2025-12-06T04:00:00,499,517,496,504,1925915.474085
2025-12-06T08:00:00,504,508,494,501,466091.950012
2025-12-06T12:00:00,501,505,491,494,180411.062596
2025-12-06T16:00:00,495,499,494,495,44474.107295
2025-12-06T20:00:00,496,499,486,487,229468.368736
2025-12-07T00:00:00,486,489,483,487,229738.656621
2025-12-07T04:00:00,486,491,481,487,151444.625921
2025-12-07T08:00:00,487,487,479,483,96509.1483
2025-12-07T12:00:00,485,494,472,491,257286.552242
2025-12-07T16:00:00,492,509,481,499,129752.005123
2025-12-07T20:00:00,501,503,479,485,92344.264098
2025-12-08T00:00:00,486,499,480,495,209968.331891
2025-12-08T04:00:00,495,508,494,503,292409.739887
2025-12-08T08:00:00,503,533,499,517,2128792.503777
2025-12-08T12:00:00,518,518,495,497,692281.797699
2025-12-08T16:00:00,497,504,482,483,224384.023018
2025-12-08T20:00:00,483,488,480,483,319627.048874
2025-12-09T00:00:00,483,492,478,488,808958.784661
2025-12-09T04:00:00,486,486,475,479,176258.379487
2025-12-09T08:00:00,477,481,474,478,208740.321429
2025-12-09T12:00:00,478,500,476,500,197639.110926
2025-12-09T16:00:00,501,514,491,491,467357.865662
2025-12-09T20:00:00,492,492,471,475,425655.228577
2025-12-10T00:00:00,476,477,467,474,348083.911333
2025-12-10T04:00:00,474,503,473,487,2423676.794369
2025-12-10T08:00:00,487,494,469,482,814151.575412
2025-12-10T12:00:00,481,510,455,458,3933604.363204
2025-12-10T16:00:00,459,462,442,451,923793.734806
2025-12-10T20:00:00,451,457,430,432,2041002.098427
2025-12-11T00:00:00,431,431,406,406,2402195.50634
2025-12-11T04:00:00,405,411,396,409,1566623.824306
2025-12-11T08:00:00,408,410,398,400,522430.551878
2025-12-11T12:00:00,400,405,394,395,915512.092517
2025-12-11T16:00:00,396,399,391,395,257774.839068
2025-12-11T20:00:00,394,403,390,394,813806.391527
2025-12-12T00:00:00,395,415,383,385,4866295.638419
2025-12-12T04:00:00,385,393,380,393,1280830.403605
2025-12-12T08:00:00,392,403,385,397,932723.309295
2025-12-12T12:00:00,397,399,377,381,582230.866073
2025-12-12T16:00:00,379,398,377,395,494750.617716
2025-12-12T20:00:00,394,395,386,386,125628.040268
2025-12-13T00:00:00,387,397,382,383,1333003.280561
2025-12-13T04:00:00,383,388,381,387,137484.208465
2025-12-13T08:00:00,388,389,383,387,90427.678425
2025-12-13T12:00:00,388,390,384,386,120500.155063
2025-12-13T16:00:00,385,388,383,388,131022.435524
2025-12-13T20:00:00,388,388,384,387,50014.239423
2025-12-14T00:00:00,386,388,380,381,263245.706902
2025-12-14T04:00:00,381,381,368,377,550939.663257
2025-12-14T08:00:00,378,380,370,374,328132.180756
2025-12-14T12:00:00,373,374,365,369,505536.243963
2025-12-14T16:00:00,368,371,362,365,216913.618612
2025-12-14T20:00:00,365,367,355,358,332277.70141
2025-12-15T00:00:00,358,363,351,357,519737.994126
2025-12-15T04:00:00,359,364,355,360,269349.160623
2025-12-15T08:00:00,359,371,359,367,498060.224381
2025-12-15T12:00:00,367,367,351,357,398194.66863
2025-12-15T16:00:00,358,358,336,342,399884.109572
2025-12-15T20:00:00,342,361,342,361,479554.389583
2025-12-16T00:00:00,360,361,349,349,389152.666268
2025-12-16T04:00:00,350,358,342,343,278041.371813
2025-12-16T08:00:00,344,357,344,353,422928.625275
2025-12-16T12:00:00,356,361,350,356,90366.353495
2025-12-16T16:00:00,358,361,353,361,23853.896642
2025-12-16T20:00:00,358,366,358,366,83255.817509
2025-12-17T00:00:00,366,375,359,359,1532137.605194
2025-12-17T04:00:00,359,359,352,354,130394.657979
2025-12-17T08:00:00,354,356,350,356,189916.765885
2025-12-17T12:00:00,355,362,348,350,254347.677873
2025-12-17T16:00:00,352,355,339,342,99869.548237
2025-12-17T20:00:00,340,340,330,332,634253.797
2025-12-18T00:00:00,332,332,322,323,495832.341305
2025-12-18T04:00:00,324,324,312,314,390982.181758
2025-12-18T08:00:00,314,326,314,324,166812.882268
2025-12-18T12:00:00,322,332,319,328,86694.57911
2025-12-18T16:00:00,329,331,303,303,224105.407927
2025-12-18T20:00:00,306,312,306,310,44592.95434
2025-12-19T00:00:00,310,315,304,311,246692.252563
2025-12-19T04:00:00,312,327,311,319,210059.755655
2025-12-19T08:00:00,319,322,317,319,215306.525616
2025-12-19T12:00:00,320,329,315,324,366191.228339
2025-12-19T16:00:00,324,330,320,330,101540.431904
2025-12-19T20:00:00,330,333,327,328,33758.651954
2025-12-20T00:00:00,328,331,325,330,324333.320381
2025-12-20T04:00:00,330,339,329,337,143718.305458
2025-12-20T08:00:00,338,350,337,346,861029.918613
2025-12-20T12:00:00,346,359,337,337,2750381.885437
2025-12-20T16:00:00,337,344,337,344,187300.044277
2025-12-20T20:00:00,345,348,342,347,164334.785821
2025-12-21T00:00:00,348,348,338,341,403899.097913
2025-12-21T04:00:00,342,343,336,339,157706.666226
2025-12-21T08:00:00,340,341,334,335,178665.723994
2025-12-21T12:00:00,334,335,326,332,102979.618788
2025-12-21T16:00:00,332,353,332,353,238079.635632
2025-12-21T20:00:00,351,363,344,361,827345.035703
2025-12-22T00:00:00,361,371,355,371,699825.396687
2025-12-22T04:00:00,370,380,360,375,786090.496284
2025-12-22T08:00:00,373,385,364,369,840007.128848
2025-12-22T12:00:00,370,370,358,364,395314.179528
2025-12-22T16:00:00,365,365,356,356,272884.599253
2025-12-22T20:00:00,359,365,357,365,230098.449506
2025-12-23T00:00:00,367,382,365,366,1443744.03124
2025-12-23T04:00:00,367,368,357,360,445709.023379
2025-12-23T08:00:00,361,365,357,362,126384.350669
2025-12-23T12:00:00,362,362,351,354,224752.205073
2025-12-23T16:00:00,357,360,356,359,45718.123589
2025-12-23T20:00:00,361,361,355,359,91801.898619
2025-12-24T00:00:00,358,359,347,350,370986.551006
2025-12-24T04:00:00,352,356,346,351,111931.356521
2025-12-24T08:00:00,349,353,344,344,129430.298957
2025-12-24T12:00:00,344,356,342,356,203134.883261
2025-12-24T16:00:00,359,359,352,352,73245.976368
2025-12-24T20:00:00,353,359,353,359,42310.651947
