datetime,open,high,low,close,volume
2024-10-21T04:00:00,10.99,14.16,10.99,13.05,5137947811.978045
2024-10-21T08:00:00,13.06,13.42,12.68,12.77,3278854060.435533
2024-10-21T12:00:00,12.77,12.9,12.21,12.5,1761095492.659108
2024-10-21T16:00:00,12.5,12.68,12.15,12.59,449581024.155041
2024-10-21T20:00:00,12.59,12.94,12.55,12.69,669702722.232497
2024-10-22T00:00:00,12.68,12.82,12.28,12.52,1526819189.616372
2024-10-22T04:00:00,12.52,12.6,12.27,12.32,643893401.622391
2024-10-22T08:00:00,12.31,12.35,11.93,12.33,727636161.938314
2024-10-22T12:00:00,12.33,12.63,12.11,12.48,329016369.608561
2024-10-22T16:00:00,12.48,12.54,12.18,12.37,140791149.398577
2024-10-22T20:00:00,12.41,12.91,12.32,12.67,279682203.742577
2024-10-23T00:00:00,12.67,12.95,12.58,12.77,584716092.987668
2024-10-23T04:00:00,12.75,12.79,12.46,12.64,248683757.430007
2024-10-23T08:00:00,12.66,13.24,12.48,13,1360387842.471993
2024-10-23T12:00:00,12.98,13.4,12.83,12.9,1144032464.345793
2024-10-23T16:00:00,12.91,12.96,12.09,12.68,537506475.598012
2024-10-23T20:00:00,12.7,12.85,12.34,12.45,334138865.633724
2024-10-24T00:00:00,12.45,14.2,12.45,13.87,3740253667.213325
2024-10-24T04:00:00,13.86,14.68,13.82,14.36,3895290368.018989
2024-10-24T08:00:00,14.35,14.75,13.87,14.45,3122519498.781512
2024-10-24T12:00:00,14.46,15.72,14.44,15.52,4153152837.305676
2024-10-24T16:00:00,15.52,15.87,15.28,15.61,1007431101.900009
2024-10-24T20:00:00,15.61,16.06,15.4,15.49,1449078604.122405
2024-10-25T00:00:00,15.5,15.8,15.22,15.64,3489538679.3843
2024-10-25T04:00:00,15.62,16.22,15.29,15.37,2126381409.542973
2024-10-25T08:00:00,15.37,15.42,14.68,15.14,2488110430.008338
2024-10-25T12:00:00,15.14,15.23,14.74,14.83,1076416982.662234
2024-10-25T16:00:00,14.83,15.25,14.62,14.87,499747123.752599
2024-10-25T20:00:00,14.88,15.03,13.86,14.17,1016523189.731391
2024-10-26T00:00:00,14.17,14.18,13.41,14.13,2380047206.679954
2024-10-26T04:00:00,14.13,14.49,14.04,14.22,1688304978.280152
2024-10-26T08:00:00,14.22,15.29,14.21,15.03,1759029784.12077
2024-10-26T12:00:00,15.03,15.07,14.17,14.42,1104151248.802329
2024-10-26T16:00:00,14.43,14.68,14.19,14.64,374027534.548661
2024-10-26T20:00:00,14.65,14.68,14.3,14.43,285549462.680043
2024-10-27T00:00:00,14.43,14.64,14.2,14.31,891311546.180943
2024-10-27T04:00:00,14.31,14.36,13.88,13.95,669030475.207862
2024-10-27T08:00:00,13.95,14.18,13.84,13.95,667382567.915999
2024-10-27T12:00:00,13.95,14.42,13.93,14.13,622700044.434865
2024-10-27T16:00:00,14.13,14.27,13.62,13.64,317188325.734473
2024-10-27T20:00:00,13.63,14.26,13.56,13.93,380520888.098729
2024-10-28T00:00:00,13.94,14.11,13.29,13.39,878691794.161129
2024-10-28T04:00:00,13.39,13.45,12.63,13.1,1577593723.011373
2024-10-28T08:00:00,13.1,13.93,13.03,13.67,1040667139.412877
2024-10-28T12:00:00,13.67,13.69,13,13.08,666570648.139351
2024-10-28T16:00:00,13.08,13.18,12.7,12.78,293690753.060699
2024-10-28T20:00:00,12.78,14.05,12.73,13.57,940789593.954856
2024-10-29T00:00:00,13.57,14.63,13.5,14.38,2631737220.806427
2024-10-29T04:00:00,14.38,14.65,13.91,13.96,1076327438.048139
2024-10-29T08:00:00,13.98,14.22,13.9,13.94,699951257.884093
2024-10-29T12:00:00,13.94,14.24,13.89,13.96,815526249.849853
2024-10-29T16:00:00,13.96,14.38,13.71,13.77,734575724.905284
2024-10-29T20:00:00,13.78,14,13.41,13.96,903152396.18682
2024-10-30T00:00:00,13.95,14.15,13.71,13.89,1073204162.467474
2024-10-30T04:00:00,13.9,14.04,13.51,13.61,623827746.189693
2024-10-30T08:00:00,13.61,13.73,13.23,13.29,722839002.827927
2024-10-30T12:00:00,13.29,13.57,13.15,13.3,676915159.9138
2024-10-30T16:00:00,13.3,13.46,13.25,13.27,101105953.546579
2024-10-30T20:00:00,13.27,13.42,13.21,13.32,279701310.191525
2024-10-31T00:00:00,13.32,13.62,13.04,13.04,1190146252.288026
2024-10-31T04:00:00,13.04,13.17,12.85,13.06,615289624.411293
2024-10-31T08:00:00,13.06,13.07,12.86,12.93,469275274.402391
2024-10-31T12:00:00,12.92,13.05,12.75,13,638804363.136876
2024-10-31T16:00:00,13.01,13.09,12.65,12.71,285974400.944736
2024-10-31T20:00:00,12.71,12.9,12.58,12.65,383576319.235757
2024-11-01T00:00:00,12.64,12.8,12.14,12.17,1333640753.538611
2024-11-01T04:00:00,12.18,12.33,11.95,12.08,642985956.525302
2024-11-01T08:00:00,12.08,12.74,12.08,12.65,374317090.736187
2024-11-01T12:00:00,12.64,13.58,12.54,12.79,1623890851.247428
2024-11-01T16:00:00,12.79,13.24,12.65,12.86,318265853.122183
2024-11-01T20:00:00,12.85,13.18,12.4,13.01,355990578.155087
2024-11-02T00:00:00,13.03,13.11,12.79,12.82,381684413.654019
2024-11-02T04:00:00,12.82,13,12.64,12.93,279521174.982898
2024-11-02T08:00:00,12.92,13.06,12.67,12.7,282412311.977646
2024-11-02T12:00:00,12.71,12.86,12.16,12.29,901655646.034208
2024-11-02T16:00:00,12.3,12.63,12.21,12.32,278617210.509816
2024-11-02T20:00:00,12.32,12.42,12.14,12.32,266895384.826854
2024-11-03T00:00:00,12.32,12.39,11.77,11.98,1002886464.9986
2024-11-03T04:00:00,11.98,12.17,11.93,12.04,197411178.093285
2024-11-03T08:00:00,12.03,12.09,11.71,11.74,399446999.51242
2024-11-03T12:00:00,11.74,11.83,11.06,11.42,1356188748.512062
2024-11-03T16:00:00,11.42,11.59,11.25,11.59,183708623.239571
2024-11-03T20:00:00,11.59,12.04,11.53,11.81,315664077.665767
2024-11-04T00:00:00,11.82,12.07,11.5,11.64,542782124.224715
2024-11-04T04:00:00,11.65,11.81,11.28,11.31,338780509.464887
2024-11-04T08:00:00,11.3,11.54,11.13,11.42,501129403.969723
2024-11-04T12:00:00,11.43,11.61,11.02,11.12,685606867.770369
2024-11-04T16:00:00,11.12,11.17,10.87,10.99,348346418.425141
2024-11-04T20:00:00,11.01,11.02,10.65,10.86,686192500.343971
2024-11-05T00:00:00,10.87,11.12,10.8,10.99,528967756.896351
2024-11-05T04:00:00,10.99,11.71,10.97,11.48,1097543757.350317
2024-11-05T08:00:00,11.48,11.95,11.48,11.73,1034439785.738511
2024-11-05T12:00:00,11.72,12.11,11.59,11.78,903875752.934884
2024-11-05T16:00:00,11.78,12.42,11.62,11.69,559011763.955151
2024-11-05T20:00:00,11.69,11.94,11.54,11.85,271665148.229569
2024-11-06T00:00:00,11.85,12.84,11.79,12.77,1753314121.4717
2024-11-06T04:00:00,12.76,13.08,12.25,12.47,1136968226.106882
2024-11-06T08:00:00,12.47,13.05,12.02,12.92,775411611.898805
2024-11-06T12:00:00,12.92,13.05,12.5,12.6,535417027.478793
2024-11-06T16:00:00,12.6,12.81,12.5,12.77,183214454.932721
2024-11-06T20:00:00,12.78,13.4,12.64,13.29,437477749.995435
2024-11-07T00:00:00,13.29,13.6,13,13.06,1481119087.490205
2024-11-07T04:00:00,13.05,13.1,12.49,12.64,774410128.172004
2024-11-07T08:00:00,12.64,12.87,12.53,12.58,436222045.169333
2024-11-07T12:00:00,12.58,12.73,12.32,12.73,469852285.036438
2024-11-07T16:00:00,12.73,13.19,12.58,13.19,352878815.709628
2024-11-07T20:00:00,13.19,13.93,13.04,13.66,990886567.033025
2024-11-08T00:00:00,13.68,14.07,13.08,13.32,1104180357.087579
2024-11-08T04:00:00,13.3,13.61,13.09,13.28,449638917.811345
2024-11-08T08:00:00,13.28,13.46,13.04,13.19,634615346.872888
2024-11-08T12:00:00,13.2,13.43,12.87,13.02,788624838.16511
2024-11-08T16:00:00,13.02,13.16,12.67,12.97,464008020.506051
2024-11-08T20:00:00,12.93,13.25,12.77,13.11,562735616.24722
2024-11-09T00:00:00,13.1,13.12,12.54,12.62,1026018285.557584
2024-11-09T04:00:00,12.61,12.96,12.61,12.87,589520513.45737
2024-11-09T08:00:00,12.87,13.17,12.84,12.99,563921852.562037
2024-11-09T12:00:00,12.99,13.08,12.61,12.74,461091779.091546
2024-11-09T16:00:00,12.71,12.84,12.51,12.69,210586354.91407
2024-11-09T20:00:00,12.69,13.1,12.67,13.04,348131933.945594
2024-11-10T00:00:00,13.03,13.81,12.8,13.13,2346055572.232374
2024-11-10T04:00:00,13.14,13.28,13.06,13.17,789243187.213469
2024-11-10T08:00:00,13.16,13.68,13.16,13.52,1048962988.08582
2024-11-10T12:00:00,13.52,16.2,13.25,14.56,8386141341.301173
2024-11-10T16:00:00,14.57,15.36,14.31,14.73,1781231631.800907
2024-11-10T20:00:00,14.73,14.96,13.69,14.88,1288105905.610274
2024-11-11T00:00:00,14.9,17,14.88,15.58,6670459224.814649
2024-11-11T04:00:00,15.57,15.59,14.5,15.13,1762071095.286038
2024-11-11T08:00:00,15.12,15.51,14.97,15.46,1065980464.335041
2024-11-11T12:00:00,15.43,15.67,14.9,15.35,1807072736.303067
2024-11-11T16:00:00,15.37,16.2,15.33,15.42,1730756066.253339
2024-11-11T20:00:00,15.42,16.24,15.14,16.11,1475527747.113198
2024-11-12T00:00:00,16.09,16.25,14.99,15.43,2117064666.590448
2024-11-12T04:00:00,15.41,16.34,15.26,15.74,2916452939.77551
2024-11-12T08:00:00,15.74,16.17,13.8,14.43,3056726517.864454
2024-11-12T12:00:00,14.43,14.6,13.73,13.84,1570400959.468468
2024-11-12T16:00:00,13.82,14.36,13.49,14.13,519100018.483765
2024-11-12T20:00:00,14.13,15.1,13.97,14.5,859605110.769184
2024-11-13T00:00:00,14.51,14.77,13.4,13.41,1436992246.008464
2024-11-13T04:00:00,13.42,13.71,12.79,13.21,1390484242.410749
2024-11-13T08:00:00,13.21,13.46,12.88,13.17,513902064.803449
2024-11-13T12:00:00,13.14,15.36,12.9,14.25,4286449832.914556
2024-11-13T16:00:00,14.25,15.75,14.11,14.39,2037720849.066607
2024-11-13T20:00:00,14.4,15.54,14.1,15.47,896836403.830647
2024-11-14T00:00:00,15.46,16.55,15.17,15.71,4068243648.320881
2024-11-14T04:00:00,15.71,15.81,15.01,15.26,896069373.813045
2024-11-14T08:00:00,15.25,17.87,15.21,16.05,7166735606.834084
2024-11-14T12:00:00,16.04,16.1,14.94,15.1,1646829111.199632
2024-11-14T16:00:00,15.09,15.63,15,15.29,426809964.433154
2024-11-14T20:00:00,15.25,15.35,14.05,14.39,1092242053.612771
2024-11-15T00:00:00,14.39,14.75,13.91,14.2,1181695940.707092
2024-11-15T04:00:00,14.21,14.34,13.7,14.24,869473197.241124
