datetime,open,high,low,close,volume
2025-09-26T12:00:00,1990,7775,1990,2191,142040058.405817
2025-09-26T16:00:00,2191,2191,1973,2039,46961988.010725
2025-09-26T20:00:00,2034,2238,2004,2095,30416609.815351
2025-09-27T00:00:00,2092,2250,2038,2045,67882930.159205
2025-09-27T04:00:00,2048,2163,1980,2115,36952166.806626
2025-09-27T08:00:00,2114,2132,1990,1992,22432589.355391
2025-09-27T12:00:00,1992,2018,1918,1932,22823087.53179
2025-09-27T16:00:00,1933,1957,1682,1715,22950464.47914
2025-09-27T20:00:00,1717,1780,1655,1762,15825369.772581
2025-09-28T00:00:00,1764,1877,1661,1678,61352362.84496
2025-09-28T04:00:00,1678,1704,1569,1603,19396924.847738
2025-09-28T08:00:00,1603,1640,1580,1588,10855806.586887
2025-09-28T12:00:00,1589,1615,1510,1536,18114720.569762
2025-09-28T16:00:00,1536,1590,1522,1562,4796955.090199
2025-09-28T20:00:00,1560,1626,1557,1621,7002578.882996
2025-09-29T00:00:00,1621,1625,1508,1527,16817522.353392
2025-09-29T04:00:00,1526,1529,1396,1433,16211834.290722
2025-09-29T08:00:00,1433,1457,1313,1333,26073114.189459
2025-09-29T12:00:00,1333,1334,1223,1228,30783626.035653
2025-09-29T16:00:00,1228,1232,1104,1149,13639044.795548
2025-09-29T20:00:00,1149,1178,1131,1159,6680643.952962
2025-09-30T00:00:00,1162,1184,959,965,35663361.034874
2025-09-30T04:00:00,967,999,918,945,20262564.550893
2025-09-30T08:00:00,945,980,898,908,13889241.70725
2025-09-30T12:00:00,908,919,833,845,18553856.528781
2025-09-30T16:00:00,846,873,837,870,2850543.409036
2025-09-30T20:00:00,871,879,836,869,8142214.994731
2025-10-01T00:00:00,869,939,851,857,42759845.389676
2025-10-01T04:00:00,856,876,777,808,24772647.020419
2025-10-01T08:00:00,807,880,796,866,17695611.388421
2025-10-01T12:00:00,866,917,850,868,26009401.056045
2025-10-01T16:00:00,868,923,856,884,8757868.519123
2025-10-01T20:00:00,883,883,834,872,9294781.153646
2025-10-02T00:00:00,872,939,870,890,44010089.402325
2025-10-02T04:00:00,890,931,876,917,17062930.341165
2025-10-02T08:00:00,918,921,891,900,10475442.295964
2025-10-02T12:00:00,900,907,796,831,21871375.600041
2025-10-02T16:00:00,831,879,827,862,5110116.82912
2025-10-02T20:00:00,862,878,852,874,3722375.232633
2025-10-03T00:00:00,873,907,856,875,26905970.328752
2025-10-03T04:00:00,876,894,872,880,7796013.330997
2025-10-03T08:00:00,879,883,845,866,9116842.094061
2025-10-03T12:00:00,866,973,863,921,33299016.557354
2025-10-03T16:00:00,922,945,898,945,7187476.998756
2025-10-03T20:00:00,945,963,926,930,7869829.707944
2025-10-04T00:00:00,930,998,930,972,49821536.347298
2025-10-04T04:00:00,971,983,948,956,14264943.584064
2025-10-04T08:00:00,955,956,896,908,17490995.33975
2025-10-04T12:00:00,908,917,865,869,9408726.548737
2025-10-04T16:00:00,869,873,854,871,2839018.025602
2025-10-04T20:00:00,872,884,866,882,3540259.708353
2025-10-05T00:00:00,881,893,837,871,13267335.262454
2025-10-05T04:00:00,871,882,858,877,4468216.073045
2025-10-05T08:00:00,877,889,851,863,7529930.44356
2025-10-05T12:00:00,863,880,853,863,4455905.792483
2025-10-05T16:00:00,864,871,846,853,2864658.822699
2025-10-05T20:00:00,854,862,844,857,2652088.0073
2025-10-06T00:00:00,856,875,825,833,16389823.741551
2025-10-06T04:00:00,833,835,821,828,4306829.263686
2025-10-06T08:00:00,827,836,824,829,3305797.214443
2025-10-06T12:00:00,829,853,827,846,5356780.403953
2025-10-06T16:00:00,846,859,837,857,2499308.181053
2025-10-06T20:00:00,857,867,852,860,3250677.614178
2025-10-07T00:00:00,860,890,854,866,17011379.804504
2025-10-07T04:00:00,866,870,823,827,9060121.980203
2025-10-07T08:00:00,829,854,823,843,5609882.104295
2025-10-07T12:00:00,844,850,794,801,8893088.293336
2025-10-07T16:00:00,801,802,779,787,5806706.329815
2025-10-07T20:00:00,787,795,771,778,4624538.428092
2025-10-08T00:00:00,779,780,733,735,14257859.853957
2025-10-08T04:00:00,735,743,719,728,6715476.861072
2025-10-08T08:00:00,728,734,720,730,3929230.550977
2025-10-08T12:00:00,730,746,719,735,4239390.793775
2025-10-08T16:00:00,735,780,735,767,5266671.362599
2025-10-08T20:00:00,767,769,749,765,2666793.162632
2025-10-09T00:00:00,763,765,692,710,11031348.636375
2025-10-09T04:00:00,711,718,693,702,5116109.557115
2025-10-09T08:00:00,702,702,679,684,8876686.752719
2025-10-09T12:00:00,684,691,663,667,11875324.593353
2025-10-09T16:00:00,667,680,665,676,3466591.94932
2025-10-09T20:00:00,676,684,670,676,2532484.386031
2025-10-10T00:00:00,676,682,622,632,17218780.069301
2025-10-10T04:00:00,632,635,611,612,10941739.797095
2025-10-10T08:00:00,612,639,611,637,8711895.739634
2025-10-10T12:00:00,639,666,604,612,12668764.123443
2025-10-10T16:00:00,612,627,602,607,3305994.986588
2025-10-10T20:00:00,607,612,384,511,25873217.875628
2025-10-11T00:00:00,511,523,468,517,14150895.660097
2025-10-11T04:00:00,516,546,515,529,9820047.227036
2025-10-11T08:00:00,528,550,522,534,5484724.869632
2025-10-11T12:00:00,533,538,514,517,4633397.213931
2025-10-11T16:00:00,517,522,502,507,1987816.717769
2025-10-11T20:00:00,506,510,478,496,5837312.71514
2025-10-12T00:00:00,497,530,485,515,19112214.960451
2025-10-12T04:00:00,515,517,504,510,4654486.783732
2025-10-12T08:00:00,510,517,496,513,4581115.532544
2025-10-12T12:00:00,512,533,502,528,6401666.896977
2025-10-12T16:00:00,526,538,525,533,2262416.628958
2025-10-12T20:00:00,533,536,522,530,3359947.969003
2025-10-13T00:00:00,529,538,515,518,5287398.520019
2025-10-13T04:00:00,518,574,518,552,15972236.405759
2025-10-13T08:00:00,551,574,539,552,11513427.740534
2025-10-13T12:00:00,552,586,547,570,17397179.749381
2025-10-13T16:00:00,570,586,564,580,3187395.62938
2025-10-13T20:00:00,580,590,575,577,3762601.248287
2025-10-14T00:00:00,576,635,571,597,46311849.497848
2025-10-14T04:00:00,597,604,537,547,21069105.921159
