datetime,open,high,low,close,volume
2020-07-01T00:00:00,237,237,233,234,1257908.080121
2020-07-01T04:00:00,234,236,233,234,408420.848045
2020-07-01T08:00:00,233,235,232,232,419624.874764
2020-07-01T12:00:00,232,237,231,235,709848.676274
2020-07-01T16:00:00,235,237,233,237,129522.031548
2020-07-01T20:00:00,237,238,235,238,507466.198147
2020-07-02T00:00:00,238,238,234,235,457071.087656
2020-07-02T04:00:00,236,236,232,233,968025.247029
2020-07-02T08:00:00,233,234,228,231,1038761.826209
2020-07-02T12:00:00,231,233,226,227,1018690.211136
2020-07-02T16:00:00,227,231,225,228,563631.780235
2020-07-02T20:00:00,228,231,227,229,275002.890576
2020-07-03T00:00:00,230,235,229,231,1933806.991304
2020-07-03T04:00:00,231,233,228,230,1344498.886102
2020-07-03T08:00:00,230,232,228,229,434805.140633
2020-07-03T12:00:00,229,231,228,230,624596.600104
2020-07-03T16:00:00,231,233,229,231,242012.008463
2020-07-03T20:00:00,231,231,229,229,254181.768005
2020-07-04T00:00:00,230,232,229,230,248401.751849
2020-07-04T04:00:00,230,232,229,231,295127.560164
2020-07-04T08:00:00,230,232,228,230,591972.26692
2020-07-04T12:00:00,230,240,230,231,3659219.085712
2020-07-04T16:00:00,231,233,230,232,370826.804458
2020-07-04T20:00:00,232,235,231,232,262445.232674
2020-07-05T00:00:00,234,234,230,231,579747.643252
2020-07-05T04:00:00,231,232,227,229,707231.048113
2020-07-05T08:00:00,229,230,227,230,336343.574147
2020-07-05T12:00:00,229,231,227,228,705960.809439
2020-07-05T16:00:00,229,229,227,228,65130.550319
2020-07-05T20:00:00,228,231,227,229,191461.628817
2020-07-06T00:00:00,229,233,226,230,1308056.362431
2020-07-06T04:00:00,230,232,227,232,976094.85859
2020-07-06T08:00:00,231,234,230,231,976081.644826
2020-07-06T12:00:00,232,235,230,233,976256.359905
2020-07-06T16:00:00,233,235,231,233,402670.846029
2020-07-06T20:00:00,233,234,231,232,259830.989954
2020-07-07T00:00:00,232,234,229,232,1318248.187289
2020-07-07T04:00:00,232,236,231,232,962931.310917
2020-07-07T08:00:00,232,233,231,232,484385.194217
2020-07-07T12:00:00,231,233,230,233,393972.557887
2020-07-07T16:00:00,231,233,231,231,203111.524031
2020-07-07T20:00:00,231,235,231,235,267492.479034
