datetime,open,high,low,close,volume
2025-11-05T04:00:00,1620,2951,1620,1785,91834477.488828
2025-11-05T08:00:00,1785,2080,1616,1683,99168794.484207
2025-11-05T12:00:00,1683,1860,1383,1650,63894047.986549
2025-11-05T16:00:00,1648,1675,1225,1256,31509872.814694
2025-11-05T20:00:00,1254,1269,1050,1123,36750691.9446
2025-11-06T00:00:00,1123,1198,996,1035,41822384.291283
2025-11-06T04:00:00,1035,1076,901,913,37537954.888164
2025-11-06T08:00:00,913,920,838,885,33501322.376155
2025-11-06T12:00:00,886,918,766,779,31333842.312286
2025-11-06T16:00:00,779,787,705,746,22841575.593297
2025-11-06T20:00:00,746,810,727,764,16858242.724874
2025-11-07T00:00:00,763,796,721,764,34161396.770516
2025-11-07T04:00:00,764,887,731,855,42919620.607011
2025-11-07T08:00:00,855,1030,759,773,120154871.996859
2025-11-07T12:00:00,773,871,752,830,56166317.529663
2025-11-07T16:00:00,830,840,789,804,24051262.52008
2025-11-07T20:00:00,804,863,796,838,21959909.579887
2025-11-08T00:00:00,838,1011,832,903,113252030.201839
2025-11-08T04:00:00,903,1039,901,953,90020030.1082
2025-11-08T08:00:00,952,971,893,908,34762505.532484
2025-11-08T12:00:00,908,930,839,861,26371481.840994
2025-11-08T16:00:00,861,968,856,939,15207843.864828
2025-11-08T20:00:00,939,953,908,944,9049301.525709
2025-11-09T00:00:00,944,972,890,934,29904467.510875
2025-11-09T04:00:00,934,949,885,894,13321901.77363
2025-11-09T08:00:00,895,895,859,887,8297016.928512
2025-11-09T12:00:00,887,922,881,890,7609688.617465
2025-11-09T16:00:00,889,914,884,911,1772031.591644
2025-11-09T20:00:00,913,918,873,888,6405747.534535
2025-11-10T00:00:00,887,904,841,865,14623783.372957
2025-11-10T04:00:00,865,866,811,828,8003028.76934
2025-11-10T08:00:00,828,846,815,829,6603690.47591
2025-11-10T12:00:00,829,838,745,771,7528116.367627
2025-11-10T16:00:00,771,786,765,779,3583966.942599
2025-11-10T20:00:00,779,803,767,800,4740596.616036
2025-11-11T00:00:00,800,801,767,790,6032605.858819
2025-11-11T04:00:00,791,843,768,777,17722610.75547
2025-11-11T08:00:00,775,780,740,747,6437150.667634
2025-11-11T12:00:00,747,772,726,746,7045654.942168
2025-11-11T16:00:00,746,750,725,739,2236496.614506
2025-11-11T20:00:00,740,742,691,696,5219241.139336
2025-11-12T00:00:00,697,703,662,688,8111379.46826
2025-11-12T04:00:00,688,700,676,679,3653402.200792
2025-11-12T08:00:00,678,713,675,690,5313966.210798
2025-11-12T12:00:00,692,695,663,667,4099509.965176
2025-11-12T16:00:00,667,667,648,652,3858533.900269
2025-11-12T20:00:00,652,671,642,652,3447553.617514
2025-11-13T00:00:00,652,692,642,651,17125932.27879
2025-11-13T04:00:00,650,650,627,635,5565795.424519
2025-11-13T08:00:00,633,651,630,647,2704634.700202
2025-11-13T12:00:00,647,657,609,621,7476288.141643
2025-11-13T16:00:00,619,632,572,573,5453448.305467
2025-11-13T20:00:00,573,592,563,586,4199754.690282
2025-11-14T00:00:00,586,601,561,567,8741055.47821
2025-11-14T04:00:00,567,571,539,563,6234929.409458
2025-11-14T08:00:00,563,566,543,552,3255174.839815
2025-11-14T12:00:00,552,570,536,565,5296098.696658
2025-11-14T16:00:00,566,579,548,576,1295989.047907
2025-11-14T20:00:00,576,589,557,565,2424287.885344
2025-11-15T00:00:00,565,586,558,574,3297694.407112
2025-11-15T04:00:00,573,580,556,558,2732911.34311
2025-11-15T08:00:00,558,558,539,547,2572577.009172
2025-11-15T12:00:00,547,587,546,561,3440070.114033
2025-11-15T16:00:00,561,580,556,572,1062102.945135
2025-11-15T20:00:00,572,572,555,563,964301.245367
2025-11-16T00:00:00,563,563,542,553,2514028.538408
2025-11-16T04:00:00,553,560,545,548,1931631.338611
2025-11-16T08:00:00,547,550,520,523,5209667.990051
2025-11-16T12:00:00,523,544,519,521,3531835.692143
2025-11-16T16:00:00,522,528,488,494,5343136.771038
2025-11-16T20:00:00,494,514,491,509,4343029.994198
2025-11-17T00:00:00,509,509,493,502,3858452.129044
2025-11-17T04:00:00,503,504,488,491,3740989.15081
2025-11-17T08:00:00,491,495,482,492,5281056.835757
2025-11-17T12:00:00,493,494,462,470,9027154.062066
2025-11-17T16:00:00,470,475,451,460,5187487.791535
2025-11-17T20:00:00,459,471,457,469,2357072.673246
2025-11-18T00:00:00,469,479,453,470,6332923.088993
2025-11-18T04:00:00,470,488,457,481,3937656.188517
2025-11-18T08:00:00,480,486,455,457,7015640.235393
2025-11-18T12:00:00,458,459,444,455,2796501.069969
2025-11-18T16:00:00,456,467,451,456,2359787.19333
2025-11-18T20:00:00,456,467,453,463,2207009.897598
2025-11-19T00:00:00,463,463,449,452,2891387.506149
2025-11-19T04:00:00,452,453,437,448,3455349.845443
2025-11-19T08:00:00,448,449,438,443,1419701.305674
2025-11-19T12:00:00,442,443,422,423,4443515.542474
2025-11-19T16:00:00,423,425,401,406,3372612.340357
2025-11-19T20:00:00,405,421,401,420,3615138.475688
2025-11-20T00:00:00,421,437,414,435,5395235.586138
2025-11-20T04:00:00,435,435,416,428,4079572.06895
2025-11-20T08:00:00,427,432,410,432,9266317.865999
2025-11-20T12:00:00,430,432,414,417,5186921.598811
2025-11-20T16:00:00,416,418,392,402,4942188.065093
2025-11-20T20:00:00,401,416,396,405,2989666.328419
2025-11-21T00:00:00,405,413,390,396,5976930.189195
2025-11-21T04:00:00,396,406,338,364,7939433.744377
2025-11-21T08:00:00,364,380,354,379,12303201.851688
2025-11-21T12:00:00,379,678,364,658,257021679.907453
2025-11-21T16:00:00,659,692,486,505,155286790.022111
2025-11-21T20:00:00,505,511,449,501,45714548.139331
2025-11-22T00:00:00,501,815,468,704,334405711.593822
