datetime,open,high,low,close,volume
2024-03-27T08:00:00,1129,2057,1129,1832,318327166.50249
2024-03-27T12:00:00,1833,2094,1820,1871,215125369.711963
2024-03-27T16:00:00,1868,1878,1742,1771,26784569.973019
2024-03-27T20:00:00,1770,1866,1733,1824,41399002.17323
2024-03-28T00:00:00,1825,1835,1680,1706,45043287.856115
2024-03-28T04:00:00,1705,1769,1687,1719,19749276.617673
2024-03-28T08:00:00,1719,1729,1692,1697,14417795.793531
2024-03-28T12:00:00,1697,1730,1685,1727,10952993.577698
2024-03-28T16:00:00,1726,1742,1710,1726,2256607.129477
2024-03-28T20:00:00,1726,1750,1716,1728,4341098.446821
2024-03-29T00:00:00,1728,1729,1652,1661,12171096.905728
2024-03-29T04:00:00,1662,1683,1656,1667,4140645.441727
2024-03-29T08:00:00,1668,1682,1659,1661,2740180.998326
2024-03-29T12:00:00,1660,1675,1653,1659,3728567.848993
2024-03-29T16:00:00,1659,1672,1655,1667,903151.913716
2024-03-29T20:00:00,1666,1691,1660,1687,1535130.89184
2024-03-30T00:00:00,1688,1901,1670,1848,91246296.754297
2024-03-30T04:00:00,1848,1868,1786,1813,20567305.093903
2024-03-30T08:00:00,1813,1940,1802,1876,34922724.34724
2024-03-30T12:00:00,1875,1884,1813,1821,12543210.70688
2024-03-30T16:00:00,1822,1863,1820,1838,3509724.29031
2024-03-30T20:00:00,1838,1847,1791,1801,5560074.388154
2024-03-31T00:00:00,1801,1950,1792,1882,58582849.596067
2024-03-31T04:00:00,1882,1895,1850,1878,9386068.847016
2024-03-31T08:00:00,1878,1916,1862,1869,13638450.901226
2024-03-31T12:00:00,1868,1875,1826,1833,6842620.265118
2024-03-31T16:00:00,1833,1847,1831,1846,344454.464607
2024-03-31T20:00:00,1846,1862,1825,1858,5322633.723033
2024-04-01T00:00:00,1857,1887,1832,1842,12822399.765289
2024-04-01T04:00:00,1842,1847,1720,1804,9852771.368692
2024-04-01T08:00:00,1804,1804,1766,1780,3052402.624313
2024-04-01T12:00:00,1780,1795,1734,1755,3048849.558959
2024-04-01T16:00:00,1755,1780,1750,1780,654079.516084
2024-04-01T20:00:00,1778,1824,1751,1820,1616694.225999
2024-04-02T00:00:00,1818,1820,1681,1723,7376498.143733
2024-04-02T04:00:00,1723,1770,1711,1760,2377584.639333
2024-04-02T08:00:00,1760,1865,1735,1763,14136641.610713
2024-04-02T12:00:00,1763,1848,1757,1806,9205909.175141
2024-04-02T16:00:00,1808,1846,1796,1842,2537722.203548
2024-04-02T20:00:00,1842,1881,1800,1861,6518893.740892
2024-04-03T00:00:00,1866,1878,1756,1837,8816566.509519
2024-04-03T04:00:00,1835,1904,1834,1877,7666275.278883
2024-04-03T08:00:00,1877,1886,1808,1827,6554283.616327
2024-04-03T12:00:00,1826,1834,1795,1803,3953235.309808
