datetime,open,high,low,close,volume
2025-06-24T12:00:00,799.9,1100,799.9,873,67928543.231849
2025-06-24T16:00:00,873,879.9,738.1,772.1,44611354.659933
2025-06-24T20:00:00,769.8,771.9,706.2,731.3,26346899.111558
2025-06-25T00:00:00,731.9,800.9,651.6,667.1,75266509.708677
2025-06-25T04:00:00,666.6,667.3,621.5,626.8,33441236.590576
2025-06-25T08:00:00,626.4,633.4,607.1,629.8,25942547.958381
2025-06-25T12:00:00,629,661.1,618.5,638,41158067.594934
2025-06-25T16:00:00,638.1,638.1,604.1,608.5,10766012.476854
2025-06-25T20:00:00,608.5,618.7,585.2,603,19757452.701384
2025-06-26T00:00:00,603,620.9,558.2,570.5,40098632.437445
2025-06-26T04:00:00,570.5,585,553.3,556.1,15041508.606435
2025-06-26T08:00:00,555.7,560.3,530.5,532.6,22430289.428536
2025-06-26T12:00:00,531.8,536.5,500.4,508.1,35496890.582331
2025-06-26T16:00:00,507.8,532.6,501.7,521.7,8009140.377811
2025-06-26T20:00:00,520.9,538.7,517.5,526.8,9929009.255823
2025-06-27T00:00:00,525.8,544.5,500.4,505,32220734.009059
2025-06-27T04:00:00,504.9,504.9,484.5,493.6,16329045.77088
2025-06-27T08:00:00,493.5,515.4,490.3,510.2,10838522.289912
2025-06-27T12:00:00,510.1,530,501.7,527,14691413.589779
2025-06-27T16:00:00,527,547.7,513,537.6,15810146.436484
2025-06-27T20:00:00,537.5,541.7,526.7,534.5,6168209.640809
2025-06-28T00:00:00,534.5,547.5,521.5,536.1,23910846.452499
2025-06-28T04:00:00,535.9,567.8,531.3,531.9,26383519.006743
2025-06-28T08:00:00,531.9,542.6,517.1,533.9,10780200.750381
2025-06-28T12:00:00,533.9,537.5,521.8,523.4,7800520.456782
2025-06-28T16:00:00,523.4,532.5,522.8,530.2,2785031.921199
2025-06-28T20:00:00,530.2,539.2,527,534.6,5460228.540812
2025-06-29T00:00:00,534,575.8,529.3,573.3,45328004.861885
2025-06-29T04:00:00,573.2,582,550.3,552.6,36366638.490807
2025-06-29T08:00:00,552.6,558,546,552.2,11486920.045669
2025-06-29T12:00:00,552.2,564.6,541.2,549.2,14432865.351103
2025-06-29T16:00:00,549.5,558.5,539.7,546.5,4719979.039398
2025-06-29T20:00:00,546.5,561,542,559.3,5929123.971239
2025-06-30T00:00:00,559,610.5,559,588.9,85329401.086333
2025-06-30T04:00:00,589.1,595,570,576.9,25989719.38987
2025-06-30T08:00:00,577,578.3,522.4,533.9,27147834.678475
2025-06-30T12:00:00,533.2,539.4,511.4,513.8,15486043.905803
2025-06-30T16:00:00,513.8,515.8,505,509,3301265.269895
2025-06-30T20:00:00,509,515.2,493.7,513.2,6480408.779576
2025-07-01T00:00:00,513.2,536,503.6,513.1,29527851.242546
2025-07-01T04:00:00,513.3,523.2,502.3,504.4,9234718.267156
2025-07-01T08:00:00,504.4,504.4,485.4,495.7,14013067.033449
2025-07-01T12:00:00,495.7,502.9,485.7,499.6,6352561.197034
2025-07-01T16:00:00,498.5,506.7,484.8,504.6,3670712.074253
2025-07-01T20:00:00,504.6,509,489,489.6,5035893.480643
