datetime,open,high,low,close,volume
2025-05-15T08:00:00,4352,4912,4320,4375,53216256.851796
2025-05-15T12:00:00,4375,4379,3508,3522,53673291.149042
2025-05-15T16:00:00,3513,3949,3513,3704,12872368.055791
2025-05-15T20:00:00,3706,3870,3596,3704,7966922.851515
2025-05-16T00:00:00,3704,4170,3592,4013,30580364.077746
2025-05-16T04:00:00,4010,4070,3622,3716,18986056.696236
2025-05-16T08:00:00,3715,3787,3621,3717,8895792.219871
2025-05-16T12:00:00,3717,3876,3671,3838,8684936.013989
2025-05-16T16:00:00,3838,3849,3573,3681,4349598.680633
2025-05-16T20:00:00,3674,3674,3513,3629,5613741.350701
2025-05-17T00:00:00,3630,3719,3265,3369,18119486.226489
2025-05-17T04:00:00,3369,3394,3108,3154,11900556.003905
2025-05-17T08:00:00,3155,3203,3058,3156,9624424.41562
2025-05-17T12:00:00,3151,3360,3133,3165,7442084.767979
2025-05-17T16:00:00,3166,3178,3041,3084,3710898.932416
2025-05-17T20:00:00,3083,3250,3068,3239,3115124.089372
2025-05-18T00:00:00,3238,3316,3101,3157,10080348.723831
2025-05-18T04:00:00,3157,3368,3155,3269,7976201.257721
2025-05-18T08:00:00,3270,3325,3199,3209,6044950.390777
2025-05-18T12:00:00,3209,3248,3161,3193,5727219.188788
2025-05-18T16:00:00,3194,3246,3063,3102,4543549.093697
2025-05-18T20:00:00,3098,3254,3050,3240,4128197.166819
