datetime,open,high,low,close,volume
2025-07-29T08:00:00,8500,11400,7446,7952,26485051.102541
2025-07-29T12:00:00,7957,8750,7055,7320,13271212.960682
2025-07-29T16:00:00,7318,7484,6822,7484,2455025.064126
2025-07-29T20:00:00,7484,7488,7022,7071,3463467.529068
2025-07-30T00:00:00,7070,7777,6615,6737,12165048.94489
2025-07-30T04:00:00,6737,7572,6630,7405,9895851.525516
2025-07-30T08:00:00,7399,7557,6720,6762,7760471.581496
2025-07-30T12:00:00,6760,7014,6681,6941,2721114.710022
2025-07-30T16:00:00,6941,7040,6653,6875,900996.658812
2025-07-30T20:00:00,6875,6915,6700,6860,913774.389175
2025-07-31T00:00:00,6855,6855,6561,6625,2170821.496433
2025-07-31T04:00:00,6625,6675,6475,6520,1965100.9159
2025-07-31T08:00:00,6525,6750,6510,6635,1153429.627191
2025-07-31T12:00:00,6635,6700,6235,6485,2183196.394106
2025-07-31T16:00:00,6485,6540,6350,6410,411667.323279
2025-07-31T20:00:00,6420,6445,6260,6305,696916.310164
2025-08-01T00:00:00,6305,6620,6205,6355,3907686.876533
2025-08-01T04:00:00,6355,6370,6145,6270,1011062.567052
2025-08-01T08:00:00,6270,6380,6155,6310,836461.231648
2025-08-01T12:00:00,6310,6650,6165,6380,1833164.368622
2025-08-01T16:00:00,6380,6540,6250,6315,586270.250303
2025-08-01T20:00:00,6315,6340,5955,6070,1293293.983145
2025-08-02T00:00:00,6075,6110,5955,5985,868926.694316
2025-08-02T04:00:00,5985,6065,5740,5870,1203080.577578
2025-08-02T08:00:00,5865,5945,5755,5900,703689.798699
2025-08-02T12:00:00,5890,5940,5775,5780,447187.775525
2025-08-02T16:00:00,5780,5870,5645,5720,412624.167088
2025-08-02T20:00:00,5720,5815,5665,5720,304557.906427
