datetime,open,high,low,close,volume
2025-09-10T08:00:00,1403,1899,1403,1619,62843428.638975
2025-09-10T12:00:00,1618,1635,1415,1426,28294969.502292
2025-09-10T16:00:00,1426,1455,1395,1412,20561464.993528
2025-09-10T20:00:00,1412,1479,1385,1447,10982209.098594
2025-09-11T00:00:00,1448,1451,1364,1399,10167684.606593
2025-09-11T04:00:00,1398,1417,1327,1342,10391224.627189
2025-09-11T08:00:00,1341,1354,1288,1290,9315844.119139
2025-09-11T12:00:00,1291,1299,1208,1217,16739950.683923
2025-09-11T16:00:00,1217,1279,1216,1274,2075811.77424
2025-09-11T20:00:00,1274,1283,1249,1262,2776930.909686
2025-09-12T00:00:00,1262,1290,1250,1270,3925873.333404
2025-09-12T04:00:00,1270,1275,1226,1250,3395557.003771
2025-09-12T08:00:00,1249,1273,1221,1243,2286417.576733
2025-09-12T12:00:00,1244,1289,1233,1287,2209867.780671
2025-09-12T16:00:00,1289,1312,1235,1259,2699809.109922
2025-09-12T20:00:00,1258,1290,1254,1275,997536.451831
2025-09-13T00:00:00,1275,1298,1245,1264,3073418.654885
2025-09-13T04:00:00,1268,1276,1246,1267,1188409.894022
2025-09-13T08:00:00,1269,1317,1253,1300,2040671.729024
2025-09-13T12:00:00,1299,1383,1268,1355,8193957.721416
2025-09-13T16:00:00,1355,1379,1294,1335,2427009.418986
2025-09-13T20:00:00,1335,1413,1335,1385,4511656.554758
2025-09-14T00:00:00,1385,1480,1340,1434,12582690.124363
2025-09-14T04:00:00,1434,1614,1422,1568,16708887.6503
2025-09-14T08:00:00,1568,1581,1379,1390,18029036.613533
2025-09-14T12:00:00,1391,1400,1342,1364,5656231.909731
2025-09-14T16:00:00,1364,1423,1359,1399,3121544.080506
2025-09-14T20:00:00,1398,1420,1379,1394,2075721.555642
2025-09-15T00:00:00,1394,1401,1350,1399,4019372.202664
2025-09-15T04:00:00,1399,1407,1277,1289,6289731.356536
2025-09-15T08:00:00,1289,1297,1264,1277,3800720.281087
2025-09-15T12:00:00,1277,1285,1211,1226,5581768.404905
2025-09-15T16:00:00,1226,1226,1164,1179,2831445.581785
2025-09-15T20:00:00,1182,1210,1181,1203,1693704.761871
