datetime,open,high,low,close,volume
2025-03-21T08:00:00,2115,9677,2115,5742,87089102.291252
2025-03-21T12:00:00,5742,6300,4655,4711,30479960.802895
2025-03-21T16:00:00,4710,4933,4391,4423,8464530.388794
2025-03-21T20:00:00,4424,5245,4029,5043,30597091.493882
2025-03-22T00:00:00,5050,5100,4324,4491,20055403.548612
2025-03-22T04:00:00,4489,4789,4246,4595,14531558.565336
2025-03-22T08:00:00,4598,5450,4484,5137,41226419.854375
2025-03-22T12:00:00,5137,5332,4685,4742,18206423.332019
2025-03-22T16:00:00,4737,4913,4561,4588,3551798.429102
2025-03-22T20:00:00,4581,4648,4130,4162,6049194.449128
2025-03-23T00:00:00,4162,4244,3817,3907,9656456.721614
2025-03-23T04:00:00,3907,3925,3724,3767,2887085.655
2025-03-23T08:00:00,3763,3862,3652,3772,3437102.371323
2025-03-23T12:00:00,3774,4087,3665,3706,6819207.741486
2025-03-23T16:00:00,3699,3745,3612,3738,721206.250146
2025-03-23T20:00:00,3739,3841,3662,3706,841922.998631
2025-03-24T00:00:00,3706,3733,3493,3623,3502871.341641
2025-03-24T04:00:00,3623,3680,3574,3596,1465059.217738
2025-03-24T08:00:00,3597,3748,3579,3725,2036027.380559
2025-03-24T12:00:00,3724,3726,3620,3637,1168097.510217
2025-03-24T16:00:00,3629,3707,3597,3642,375104.810443
2025-03-24T20:00:00,3642,3706,3583,3644,671379.254797
2025-03-25T00:00:00,3642,3699,3590,3680,1195105.813687
2025-03-25T04:00:00,3680,3681,3534,3561,814173.632255
2025-03-25T08:00:00,3558,3618,3551,3606,443001.239959
2025-03-25T12:00:00,3606,3623,3454,3507,968832.94981
2025-03-25T16:00:00,3507,3561,3455,3551,313522.561381
2025-03-25T20:00:00,3552,3593,3541,3592,346179.561322
2025-03-26T00:00:00,3593,3649,3489,3530,1009826.988707
2025-03-26T04:00:00,3525,3611,3512,3541,709832.034386
2025-03-26T08:00:00,3540,3587,3525,3552,448621.928563
2025-03-26T12:00:00,3554,3570,3446,3483,684558.133766
2025-03-26T16:00:00,3483,3598,3473,3552,261318.646854
2025-03-26T20:00:00,3545,3590,3520,3584,412506.521281
2025-03-27T00:00:00,3570,4384,3542,4200,15484392.502449
2025-03-27T04:00:00,4200,4290,3991,4121,9797013.627318
2025-03-27T08:00:00,4120,4145,3924,3951,5491831.840721
2025-03-27T12:00:00,3951,4800,3940,4039,24955862.535603
2025-03-27T16:00:00,4039,4069,3809,3841,1384759.830191
2025-03-27T20:00:00,3838,3979,3805,3825,2170258.891854
2025-03-28T00:00:00,3820,4387,3781,4235,18675454.121529
2025-03-28T04:00:00,4232,4496,3991,4077,15084105.611549
2025-03-28T08:00:00,4070,4180,3950,4123,5940236.028915
2025-03-28T12:00:00,4119,4179,4007,4116,3178908.995116
2025-03-28T16:00:00,4116,4119,3913,3997,967011.002307
2025-03-28T20:00:00,3997,4065,3931,3960,1238234.139122
2025-03-29T00:00:00,3960,3990,3552,3614,5082701.394405
2025-03-29T04:00:00,3614,3614,3490,3508,1391943.465469
2025-03-29T08:00:00,3508,3547,3454,3486,1167802.679389
2025-03-29T12:00:00,3486,3616,3482,3567,642793.196336
2025-03-29T16:00:00,3564,3640,3518,3548,365770.921992
2025-03-29T20:00:00,3550,3580,3462,3517,474991.656365
2025-03-30T00:00:00,3516,3622,3385,3532,1856565.693993
2025-03-30T04:00:00,3537,3632,3529,3535,616072.433199
2025-03-30T08:00:00,3535,3571,3459,3497,506790.350429
2025-03-30T12:00:00,3504,3538,3402,3430,476162.229452
2025-03-30T16:00:00,3433,3479,3390,3439,163696.258608
2025-03-30T20:00:00,3439,3500,3393,3433,335784.031192
2025-03-31T00:00:00,3431,3522,3284,3364,1464492.360974
2025-03-31T04:00:00,3370,3378,3284,3296,497601.427476
2025-03-31T08:00:00,3296,3343,3199,3247,602426.856831
2025-03-31T12:00:00,3250,3330,3220,3304,470414.410892
2025-03-31T16:00:00,3295,3315,3278,3291,57060.154325
2025-03-31T20:00:00,3290,3290,3240,3241,103903.187496
2025-04-01T00:00:00,3244,3359,3204,3292,980934.227676
2025-04-01T04:00:00,3295,3320,3218,3225,621471.393629
2025-04-01T08:00:00,3222,3328,3150,3166,663008.182347
2025-04-01T12:00:00,3166,3520,3104,3359,1318774.541949
2025-04-01T16:00:00,3359,3368,3203,3222,314253.683616
2025-04-01T20:00:00,3222,3252,3191,3206,229381.273925
2025-04-02T00:00:00,3207,3260,3105,3232,1153213.786325
2025-04-02T04:00:00,3232,3390,3195,3233,2335101.274175
2025-04-02T08:00:00,3233,3379,3155,3350,857691.587962
2025-04-02T12:00:00,3350,3600,3305,3585,2571602.042294
2025-04-02T16:00:00,3586,3739,3511,3653,1386605.584807
2025-04-02T20:00:00,3658,3777,3458,3525,1422643.079393
2025-04-03T00:00:00,3524,3728,3451,3705,1254956.099253
2025-04-03T04:00:00,3702,3838,3580,3609,2210688.231777
2025-04-03T08:00:00,3609,3637,3371,3384,1175825.587101
2025-04-03T12:00:00,3392,3412,3260,3270,619672.51264
2025-04-03T16:00:00,3270,3331,3260,3283,99573.894595
2025-04-03T20:00:00,3281,3360,3229,3329,418687.301802
