datetime,open,high,low,close,volume
2025-10-24T04:00:00,455,544,444,473,157435591.175008
2025-10-24T08:00:00,472,507,434,492,186618911.849975
2025-10-24T12:00:00,492,495,442,457,91789057.984906
2025-10-24T16:00:00,456,458,437,449,16791704.833329
2025-10-24T20:00:00,449,465,448,461,18183929.439026
2025-10-25T00:00:00,461,464,421,426,59012741.691304
2025-10-25T04:00:00,426,440,423,435,16603180.773863
2025-10-25T08:00:00,435,436,424,426,9838610.593924
2025-10-25T12:00:00,426,445,412,429,18145431.053308
2025-10-25T16:00:00,429,443,428,440,2988492.672982
2025-10-25T20:00:00,442,455,438,440,3597991.227521
2025-10-26T00:00:00,440,455,415,417,19868687.783552
2025-10-26T04:00:00,417,423,417,420,5057112.422388
2025-10-26T08:00:00,420,426,418,422,4346902.493507
2025-10-26T12:00:00,422,423,413,417,5307765.371218
2025-10-26T16:00:00,416,417,409,411,3256014.470734
2025-10-26T20:00:00,411,420,410,415,5119485.917187
2025-10-27T00:00:00,415,419,393,398,12468345.821502
2025-10-27T04:00:00,398,399,387,390,6326330.190544
2025-10-27T08:00:00,390,392,379,383,6131182.503697
2025-10-27T12:00:00,384,386,371,372,3660788.470766
2025-10-27T16:00:00,372,376,365,366,2189660.611083
2025-10-27T20:00:00,366,373,362,371,2238330.893239
