datetime,open,high,low,close,volume
2025-11-26T04:00:00,50,86.9,50,53.6,2208416576.164538
2025-11-26T08:00:00,53.6,54.2,45,49.8,1260282312.30429
2025-11-26T12:00:00,49.8,51,45.4,46.2,489557998.905016
2025-11-26T16:00:00,46.3,46.9,40.1,42.4,221795065.063133
2025-11-26T20:00:00,42.4,45.9,40.4,44.2,297362308.002973
2025-11-27T00:00:00,44.2,46.8,40.2,40.5,561105762.806511
2025-11-27T04:00:00,40.5,41.4,39,39.1,286591191.647617
2025-11-27T08:00:00,39.1,40,38.6,39.5,201827865.556422
2025-11-27T12:00:00,39.5,41.5,39.1,39.7,175302717.378628
2025-11-27T16:00:00,39.7,40.3,39.3,39.6,26561853.099016
2025-11-27T20:00:00,39.6,40,39.1,40,56987620.121402
