datetime,open,high,low,close,volume
2021-10-15T04:00:00,1350,2200,1350,1895,222633196.43035
2021-10-15T08:00:00,1895,5000,1850,1895,590284234.115644
2021-10-15T12:00:00,1890,1965,1785,1815,78566275.800545
2021-10-15T16:00:00,1815,1915,1800,1835,18404705.491801
2021-10-15T20:00:00,1835,2155,1820,2035,70654214.715675
2021-10-16T00:00:00,2040,2125,1845,1935,117777450.95268
2021-10-16T04:00:00,1930,2050,1875,1905,76803356.157578
2021-10-16T08:00:00,1905,1915,1860,1885,24039146.842618
2021-10-16T12:00:00,1880,1885,1825,1855,17683988.232318
2021-10-16T16:00:00,1855,1880,1840,1865,3486780.352577
2021-10-16T20:00:00,1865,1870,1845,1860,5623415.559685
2021-10-17T00:00:00,1855,1865,1810,1850,27970901.207413
2021-10-17T04:00:00,1850,1910,1825,1835,27897734.58097
2021-10-17T08:00:00,1830,1875,1830,1835,9874947.374848
2021-10-17T12:00:00,1835,1845,1810,1815,5863564.389123
2021-10-17T16:00:00,1815,1830,1800,1805,2036599.696732
2021-10-17T20:00:00,1805,1810,1750,1800,7434333.629401
2021-10-18T00:00:00,1800,1870,1770,1825,26962971.092305
2021-10-18T04:00:00,1825,2005,1820,1935,76627493.40384
2021-10-18T08:00:00,1935,1965,1835,1855,37565365.946688
2021-10-18T12:00:00,1855,1880,1805,1850,13605956.642996
2021-10-18T16:00:00,1850,1855,1815,1850,1881370.486123
2021-10-18T20:00:00,1845,1850,1820,1825,4457141.71477
2021-10-19T00:00:00,1830,1895,1805,1840,20007044.791412
2021-10-19T04:00:00,1845,1870,1810,1830,5417027.842415
2021-10-19T08:00:00,1830,1845,1820,1825,3654102.22098
2021-10-19T12:00:00,1830,1830,1795,1805,3613774.124929
2021-10-19T16:00:00,1800,1810,1780,1785,1374596.078246
2021-10-19T20:00:00,1785,1815,1765,1800,3521892.568406
2021-10-20T00:00:00,1805,1805,1765,1780,9263350.74758
2021-10-20T04:00:00,1780,1790,1775,1785,3818931.159128
2021-10-20T08:00:00,1785,1815,1780,1805,2609820.23104
2021-10-20T12:00:00,1805,1870,1800,1850,5622471.766447
2021-10-20T16:00:00,1855,1885,1840,1860,1858591.486783
2021-10-20T20:00:00,1855,1865,1830,1860,2158754.64879
2021-10-21T00:00:00,1855,1945,1840,1880,10690410.004141
2021-10-21T04:00:00,1880,1910,1865,1900,3183162.977711
2021-10-21T08:00:00,1900,1975,1880,1895,8539905.973533
2021-10-21T12:00:00,1895,1930,1820,1845,8215518.00757
2021-10-21T16:00:00,1845,1860,1820,1850,1367604.100387
2021-10-21T20:00:00,1850,1880,1840,1845,2093553.469037
2021-10-22T00:00:00,1845,1920,1845,1905,7072112.411345
2021-10-22T04:00:00,1905,1930,1850,1875,6457987.020179
2021-10-22T08:00:00,1870,1905,1860,1885,3067309.879159
2021-10-22T12:00:00,1885,1915,1845,1865,6437586.096436
2021-10-22T16:00:00,1860,1885,1840,1865,1249834.147535
2021-10-22T20:00:00,1865,1875,1845,1860,1587891.028276
2021-10-23T00:00:00,1860,1875,1830,1865,2990284.31904
2021-10-23T04:00:00,1865,1895,1860,1885,2481730.048523
2021-10-23T08:00:00,1890,1920,1860,1915,3310617.816788
2021-10-23T12:00:00,1915,2085,1915,2020,52394800.623185
2021-10-23T16:00:00,2015,2030,1960,2015,4637505.291236
2021-10-23T20:00:00,2015,2025,1980,2000,6574260.677663
2021-10-24T00:00:00,2005,2010,1950,1960,9132635.900975
2021-10-24T04:00:00,1960,1970,1930,1930,3527787.955855
2021-10-24T08:00:00,1935,2000,1920,1925,8041980.546276
2021-10-24T12:00:00,1930,1950,1895,1900,6749375.636066
2021-10-24T16:00:00,1900,1930,1890,1925,1319846.934729
2021-10-24T20:00:00,1925,1955,1915,1920,2273110.907721
2021-10-25T00:00:00,1925,1980,1900,1970,5211872.662576
2021-10-25T04:00:00,1970,2015,1960,1985,6493291.636093
2021-10-25T08:00:00,1980,2005,1960,1985,3792140.359754
2021-10-25T12:00:00,1985,2040,1970,2015,7773424.476714
2021-10-25T16:00:00,2015,2025,1975,1995,1706554.056195
2021-10-25T20:00:00,1995,2060,1980,2035,4608425.99106
2021-10-26T00:00:00,2035,2135,2000,2075,20105289.378644
2021-10-26T04:00:00,2075,2135,2055,2130,8432951.453195
2021-10-26T08:00:00,2125,2195,2110,2175,21536114.036258
2021-10-26T12:00:00,2175,2250,2165,2215,28824573.575513
2021-10-26T16:00:00,2215,2225,2170,2175,3923751.037906
2021-10-26T20:00:00,2175,2190,2085,2105,10492851.580689
2021-10-27T00:00:00,2105,2225,2100,2210,21785861.713361
2021-10-27T04:00:00,2210,2365,2145,2155,62529044.868559
2021-10-27T08:00:00,2155,2310,1920,2130,127392139.366776
2021-10-27T12:00:00,2130,2330,2105,2245,51074178.862802
2021-10-27T16:00:00,2245,2265,2125,2180,9000053.514832
2021-10-27T20:00:00,2180,2270,2150,2155,11015624.096259
2021-10-28T00:00:00,2160,2405,2155,2305,67371191.771607
2021-10-28T04:00:00,2310,2425,2225,2235,51270860.392223
2021-10-28T08:00:00,2240,2340,2235,2325,18216434.961083
2021-10-28T12:00:00,2325,2410,2295,2360,21029167.914656
2021-10-28T16:00:00,2360,2470,2350,2410,12358520.633558
2021-10-28T20:00:00,2410,2640,2410,2580,29544378.450884
2021-10-29T00:00:00,2580,2815,2445,2485,80430575.420468
2021-10-29T04:00:00,2485,2505,2405,2465,18564583.179606
2021-10-29T08:00:00,2465,2505,2370,2400,20865100.345792
2021-10-29T12:00:00,2400,2435,2335,2380,28199754.044848
2021-10-29T16:00:00,2375,2435,2360,2390,6470406.024246
2021-10-29T20:00:00,2390,2440,2385,2430,7428722.104899
2021-10-30T00:00:00,2435,2440,2300,2320,16845295.257093
2021-10-30T04:00:00,2320,2365,2315,2350,4657722.11245
2021-10-30T08:00:00,2355,2370,2315,2340,5784054.98536
2021-10-30T12:00:00,2335,2340,2230,2295,25450017.131759
2021-10-30T16:00:00,2300,2305,2250,2275,6336671.411653
2021-10-30T20:00:00,2275,2295,2180,2225,16007841.709624
2021-10-31T00:00:00,2225,2370,2155,2300,44094079.39922
2021-10-31T04:00:00,2305,2365,2245,2255,21488048.223561
2021-10-31T08:00:00,2255,2265,2185,2195,9583386.93059
2021-10-31T12:00:00,2200,2220,2135,2175,9474521.536338
2021-10-31T16:00:00,2175,2240,2160,2200,2280493.727196
2021-10-31T20:00:00,2210,2310,2200,2285,4015764.761067
2021-11-01T00:00:00,2285,2335,2200,2205,10261846.424599
2021-11-01T04:00:00,2205,2295,2185,2295,4994693.258273
2021-11-01T08:00:00,2295,2295,2225,2230,6010310.39172
2021-11-01T12:00:00,2230,2300,2225,2245,7835880.340612
2021-11-01T16:00:00,2250,2255,2220,2250,1468163.160848
2021-11-01T20:00:00,2250,2285,2225,2270,2466481.876568
2021-11-02T00:00:00,2265,2270,2195,2220,9131524.978663
2021-11-02T04:00:00,2225,2265,2220,2225,4036283.27707
2021-11-02T08:00:00,2225,2285,2220,2235,5204627.632158
2021-11-02T12:00:00,2240,2315,2230,2290,5927030.061792
2021-11-02T16:00:00,2290,2295,2250,2270,1897630.212978
2021-11-02T20:00:00,2275,2285,2240,2275,3296266.029206
2021-11-03T00:00:00,2275,2535,2260,2495,35411421.408327
2021-11-03T04:00:00,2500,2515,2370,2470,17355553.798057
2021-11-03T08:00:00,2470,2480,2355,2355,8458254.524
2021-11-03T12:00:00,2355,2370,2270,2365,12740209.247044
2021-11-03T16:00:00,2365,2425,2315,2415,3555972.439215
2021-11-03T20:00:00,2415,2455,2385,2420,5598883.655423
2021-11-04T00:00:00,2420,2425,2335,2375,6805655.854056
2021-11-04T04:00:00,2375,2385,2345,2350,3014229.815644
2021-11-04T08:00:00,2350,2390,2345,2355,4246438.741999
2021-11-04T12:00:00,2360,2380,2310,2320,5716125.74607
2021-11-04T16:00:00,2325,2330,2270,2305,3763059.716593
2021-11-04T20:00:00,2305,2325,2285,2305,3007249.35446
2021-11-05T00:00:00,2305,2310,2260,2300,6368107.919152
2021-11-05T04:00:00,2305,2355,2295,2325,4515223.887451
2021-11-05T08:00:00,2330,2340,2290,2300,3454092.346854
2021-11-05T12:00:00,2305,2320,2275,2280,3372932.299589
2021-11-05T16:00:00,2280,2310,2280,2290,731997.611213
2021-11-05T20:00:00,2295,2320,2280,2310,1675815.630033
2021-11-06T00:00:00,2310,2315,2280,2295,3469858.597264
2021-11-06T04:00:00,2295,2330,2285,2295,2912573.631501
2021-11-06T08:00:00,2300,2310,2255,2265,3376463.296477
2021-11-06T12:00:00,2265,2275,2240,2265,2949114.74574
2021-11-06T16:00:00,2265,2285,2260,2285,620690.857591
2021-11-06T20:00:00,2285,2305,2275,2290,1079193.740908
2021-11-07T00:00:00,2290,2305,2265,2295,2492283.161639
2021-11-07T04:00:00,2295,2300,2265,2280,1900993.49777
2021-11-07T08:00:00,2280,2320,2265,2300,2070405.33203
2021-11-07T12:00:00,2300,2320,2290,2310,2011549.758648
2021-11-07T16:00:00,2310,2315,2285,2290,636988.963244
2021-11-07T20:00:00,2295,2300,2280,2285,1186076.192348
2021-11-08T00:00:00,2285,2370,2255,2295,8392925.467776
2021-11-08T04:00:00,2295,2350,2285,2315,4885542.30386
2021-11-08T08:00:00,2315,2320,2270,2300,4665038.940455
2021-11-08T12:00:00,2300,2320,2285,2290,3552480.967861
2021-11-08T16:00:00,2290,2300,2280,2285,1560224.447801
2021-11-08T20:00:00,2285,2295,2275,2285,3249637.677687
2021-11-09T00:00:00,2290,2300,2260,2260,5829959.803853
2021-11-09T04:00:00,2260,2270,2240,2250,4000694.593054
2021-11-09T08:00:00,2250,2265,2215,2230,4714427.210536
2021-11-09T12:00:00,2230,2235,2200,2205,7448669.507072
2021-11-09T16:00:00,2210,2225,2200,2205,1503956.376252
