datetime,open,high,low,close,volume
2025-08-06T04:00:00,1230,2310,1230,1744,110478458.84573
2025-08-06T08:00:00,1742,1776,1560,1650,68568112.814896
2025-08-06T12:00:00,1650,1740,1588,1632,40037341.210551
2025-08-06T16:00:00,1630,1652,1499,1603,23409412.407403
2025-08-06T20:00:00,1600,1636,1517,1529,16871332.339523
2025-08-07T00:00:00,1526,1549,1412,1420,27754493.590692
2025-08-07T04:00:00,1420,1461,1393,1425,17019362.706802
2025-08-07T08:00:00,1425,1439,1398,1413,13301413.176933
2025-08-07T12:00:00,1412,1447,1395,1413,14704158.870885
2025-08-07T16:00:00,1412,1412,1331,1355,9276483.352503
2025-08-07T20:00:00,1355,1405,1347,1380,9161426.261445
2025-08-08T00:00:00,1380,1464,1356,1370,33815318.511241
2025-08-08T04:00:00,1368,1369,1327,1345,8754892.003639
2025-08-08T08:00:00,1344,1378,1340,1370,3908348.700003
2025-08-08T12:00:00,1370,1399,1347,1374,5313244.0878
2025-08-08T16:00:00,1374,1412,1365,1401,3287093.98503
2025-08-08T20:00:00,1401,1444,1380,1436,3839802.941861
2025-08-09T00:00:00,1436,1457,1385,1399,8620089.237156
2025-08-09T04:00:00,1400,1420,1382,1395,5328298.121237
2025-08-09T08:00:00,1396,1500,1394,1468,10369975.620515
2025-08-09T12:00:00,1468,1570,1458,1525,24000741.758806
2025-08-09T16:00:00,1525,1797,1517,1723,28751258.090722
2025-08-09T20:00:00,1725,2044,1696,1941,62846087.979697
2025-08-10T00:00:00,1943,2167,1830,1951,108181948.825698
2025-08-10T04:00:00,1951,2195,1906,2157,70066821.653106
2025-08-10T08:00:00,2157,2191,1963,2021,55185143.069971
2025-08-10T12:00:00,2021,2088,1946,1971,27776665.479408
2025-08-10T16:00:00,1974,1988,1832,1926,13828634.769162
2025-08-10T20:00:00,1926,1988,1869,1937,12316906.072709
2025-08-11T00:00:00,1937,2058,1905,2029,36712773.872063
2025-08-11T04:00:00,2030,2065,1966,1997,17308807.312126
2025-08-11T08:00:00,1996,2019,1932,1942,15747262.593545
2025-08-11T12:00:00,1942,2127,1915,2074,24640064.907772
2025-08-11T16:00:00,2072,2393,2057,2386,40497454.401658
2025-08-11T20:00:00,2386,2400,2154,2218,23387601.454849
2025-08-12T00:00:00,2220,2297,2158,2290,27048094.884233
2025-08-12T04:00:00,2290,2380,2185,2200,43615220.11171
2025-08-12T08:00:00,2200,2225,2071,2100,27103962.926974
2025-08-12T12:00:00,2099,2154,1997,2025,24175403.089697
2025-08-12T16:00:00,2025,2030,1922,1944,9811558.191182
2025-08-12T20:00:00,1946,2127,1935,2097,16517329.826314
2025-08-13T00:00:00,2095,2122,1955,1999,20721680.740303
2025-08-13T04:00:00,1998,2005,1945,1965,9144233.344591
2025-08-13T08:00:00,1966,2044,1957,2029,10042218.824724
2025-08-13T12:00:00,2029,2069,1969,1992,12433914.039802
2025-08-13T16:00:00,1991,2039,1978,2020,2789923.737626
2025-08-13T20:00:00,2020,2035,1986,2011,3731547.288172
2025-08-14T00:00:00,2013,2077,1920,1956,21751524.594601
2025-08-14T04:00:00,1956,1975,1849,1890,12262268.637362
2025-08-14T08:00:00,1889,1910,1852,1863,6604807.928595
2025-08-14T12:00:00,1863,1889,1715,1781,14573373.079426
2025-08-14T16:00:00,1782,1825,1775,1804,2092428.33921
2025-08-14T20:00:00,1806,1868,1776,1843,3761099.87897
2025-08-15T00:00:00,1841,1867,1788,1821,5789085.809863
2025-08-15T04:00:00,1821,1824,1791,1810,2638589.250728
2025-08-15T08:00:00,1813,1820,1751,1780,3513870.040858
2025-08-15T12:00:00,1779,1786,1692,1707,5947613.734335
2025-08-15T16:00:00,1706,1725,1662,1704,2674861.699706
2025-08-15T20:00:00,1705,1735,1693,1729,2564918.19023
2025-08-16T00:00:00,1729,1827,1715,1804,20905604.220474
2025-08-16T04:00:00,1804,1884,1782,1877,13027610.32964
2025-08-16T08:00:00,1877,1886,1788,1836,11202085.586073
2025-08-16T12:00:00,1835,1880,1815,1825,8836181.018188
2025-08-16T16:00:00,1824,1897,1802,1864,4353392.653859
2025-08-16T20:00:00,1864,1894,1839,1859,4398220.990685
2025-08-17T00:00:00,1857,1945,1834,1878,23858885.895352
2025-08-17T04:00:00,1876,1891,1835,1848,8896326.772473
2025-08-17T08:00:00,1847,1855,1822,1848,6785792.02821
2025-08-17T12:00:00,1847,1876,1836,1842,7901330.909281
2025-08-17T16:00:00,1841,1852,1813,1819,2161881.652825
2025-08-17T20:00:00,1818,1870,1816,1847,3677520.882669
2025-08-18T00:00:00,1847,1867,1715,1733,12497314.743925
2025-08-18T04:00:00,1733,1756,1700,1709,5135925.848221
2025-08-18T08:00:00,1708,1727,1688,1711,3820806.392726
2025-08-18T12:00:00,1711,1744,1688,1719,2955940.249716
2025-08-18T16:00:00,1718,1733,1699,1704,1014933.948807
2025-08-18T20:00:00,1702,1751,1696,1716,2230829.542075
2025-08-19T00:00:00,1716,1741,1668,1728,6746081.803899
2025-08-19T04:00:00,1728,1766,1697,1701,7484105.046281
2025-08-19T08:00:00,1701,1709,1663,1680,4547761.313626
2025-08-19T12:00:00,1679,1699,1640,1643,5384849.037007
2025-08-19T16:00:00,1644,1693,1623,1664,1794224.936982
2025-08-19T20:00:00,1665,1670,1590,1598,2420310.127387
2025-08-20T00:00:00,1598,1647,1593,1621,3075440.87293
2025-08-20T04:00:00,1621,1647,1595,1609,2859017.624198
2025-08-20T08:00:00,1609,1631,1586,1614,2651057.765348
2025-08-20T12:00:00,1614,1651,1575,1626,4565169.162248
2025-08-20T16:00:00,1624,1638,1604,1636,744035.869851
2025-08-20T20:00:00,1636,1648,1620,1639,1134230.890371
2025-08-21T00:00:00,1639,1643,1579,1582,3165863.872262
2025-08-21T04:00:00,1582,1591,1550,1559,3269418.38693
2025-08-21T08:00:00,1559,1563,1527,1536,3156624.59857
2025-08-21T12:00:00,1536,1546,1520,1539,2509716.850593
2025-08-21T16:00:00,1540,1548,1524,1535,785008.722303
2025-08-21T20:00:00,1538,1547,1527,1528,1101004.79918
2025-08-22T00:00:00,1529,1649,1528,1572,28876755.121574
2025-08-22T04:00:00,1572,1586,1563,1572,3812976.039576
2025-08-22T08:00:00,1572,1575,1531,1549,3579155.695255
2025-08-22T12:00:00,1549,1612,1534,1606,7238581.13506
2025-08-22T16:00:00,1605,1630,1595,1613,1974821.401305
2025-08-22T20:00:00,1613,1624,1603,1622,1683263.727948
2025-08-23T00:00:00,1622,1630,1552,1553,5209622.867131
2025-08-23T04:00:00,1553,1581,1553,1557,2594129.200259
2025-08-23T08:00:00,1556,1567,1550,1552,1617374.761285
2025-08-23T12:00:00,1553,1557,1542,1550,1504998.872496
2025-08-23T16:00:00,1553,1569,1550,1555,555276.332286
2025-08-23T20:00:00,1556,1563,1548,1559,702811.566469
2025-08-24T00:00:00,1559,1560,1511,1516,2943765.082538
2025-08-24T04:00:00,1517,1524,1497,1505,1517666.660427
2025-08-24T08:00:00,1504,1514,1481,1486,1770119.946306
2025-08-24T12:00:00,1485,1498,1482,1494,903018.893473
2025-08-24T16:00:00,1495,1517,1474,1503,1113794.918304
2025-08-24T20:00:00,1503,1505,1466,1490,1669138.184822
2025-08-25T00:00:00,1487,1493,1440,1442,3742411.82192
2025-08-25T04:00:00,1443,1449,1417,1420,2122953.831362
2025-08-25T08:00:00,1421,1426,1399,1414,1885036.192488
2025-08-25T12:00:00,1414,1441,1409,1428,1001018.910567
2025-08-25T16:00:00,1428,1437,1410,1416,322412.250722
2025-08-25T20:00:00,1414,1436,1394,1408,819903.766841
2025-08-26T00:00:00,1409,1429,1390,1412,1783010.581363
2025-08-26T04:00:00,1412,1427,1402,1419,963784.953379
2025-08-26T08:00:00,1417,1450,1410,1425,1459920.374127
2025-08-26T12:00:00,1424,1437,1407,1431,1373132.03068
2025-08-26T16:00:00,1432,1448,1424,1444,444542.289284
2025-08-26T20:00:00,1444,1450,1428,1434,614408.153538
2025-08-27T00:00:00,1435,1435,1406,1427,1296028.639699
2025-08-27T04:00:00,1428,1436,1410,1416,587873.450993
2025-08-27T08:00:00,1418,1428,1410,1428,585180.200374
2025-08-27T12:00:00,1427,1527,1412,1504,8183838.734178
2025-08-27T16:00:00,1504,1504,1454,1458,1267635.307669
2025-08-27T20:00:00,1456,1490,1439,1476,1829246.167435
2025-08-28T00:00:00,1476,1550,1456,1513,13192032.618308
2025-08-28T04:00:00,1516,1645,1512,1592,21004010.835271
2025-08-28T08:00:00,1593,1660,1568,1637,11850787.105632
2025-08-28T12:00:00,1638,1678,1497,1502,12586285.30051
2025-08-28T16:00:00,1502,1527,1492,1523,977245.436938
2025-08-28T20:00:00,1521,1536,1502,1519,1742384.423522
2025-08-29T00:00:00,1519,1572,1478,1480,10670629.659227
2025-08-29T04:00:00,1481,1484,1431,1431,3530700.483212
2025-08-29T08:00:00,1431,1439,1413,1430,2020359.165821
2025-08-29T12:00:00,1430,1451,1408,1413,2006017.61674
2025-08-29T16:00:00,1414,1417,1398,1402,551259.118094
2025-08-29T20:00:00,1402,1412,1362,1386,1891676.127185
2025-08-30T00:00:00,1385,1385,1324,1350,3448064.454742
2025-08-30T04:00:00,1350,1375,1350,1375,770127.779505
2025-08-30T08:00:00,1376,1380,1358,1362,610247.292721
2025-08-30T12:00:00,1364,1365,1335,1354,765303.246264
2025-08-30T16:00:00,1353,1355,1342,1347,310934.944149
2025-08-30T20:00:00,1347,1363,1342,1357,437057.013579
2025-08-31T00:00:00,1359,1379,1350,1367,1129336.476819
2025-08-31T04:00:00,1367,1370,1355,1363,583814.838854
2025-08-31T08:00:00,1363,1377,1343,1348,893276.545209
2025-08-31T12:00:00,1349,1349,1328,1330,743239.716501
2025-08-31T16:00:00,1333,1341,1330,1330,183018.272476
2025-08-31T20:00:00,1330,1341,1322,1327,425171.67583
2025-09-01T00:00:00,1326,1327,1267,1272,1924875.271555
2025-09-01T04:00:00,1272,1277,1245,1271,1567300.057551
2025-09-01T08:00:00,1271,1295,1257,1261,1392225.84719
2025-09-01T12:00:00,1262,1266,1233,1238,1172662.756899
2025-09-01T16:00:00,1238,1244,1229,1235,341931.219538
2025-09-01T20:00:00,1235,1237,1167,1181,2130513.081991
2025-09-02T00:00:00,1181,1192,1169,1184,1727661.736014
2025-09-02T04:00:00,1184,1186,1161,1167,1569900.922071
2025-09-02T08:00:00,1166,1190,1162,1170,1400974.76449
2025-09-02T12:00:00,1170,1174,1139,1150,2450599.798494
2025-09-02T16:00:00,1150,1181,1149,1175,413794.828075
2025-09-02T20:00:00,1175,1212,1174,1205,912673.364271
2025-09-03T00:00:00,1205,1312,1195,1303,16652706.781593
2025-09-03T04:00:00,1303,1306,1265,1287,6425666.806848
2025-09-03T08:00:00,1288,1298,1262,1289,4232929.242934
2025-09-03T12:00:00,1289,1342,1276,1323,9423322.152327
2025-09-03T16:00:00,1323,1364,1320,1322,4651098.724561
2025-09-03T20:00:00,1322,1329,1302,1308,2776392.655667
2025-09-04T00:00:00,1308,1332,1257,1261,10164345.165674
2025-09-04T04:00:00,1261,1264,1203,1226,4039669.094032
2025-09-04T08:00:00,1224,1237,1219,1234,1029057.491011
2025-09-04T12:00:00,1232,1232,1201,1205,1366286.693029
2025-09-04T16:00:00,1204,1223,1204,1216,515955.685122
2025-09-04T20:00:00,1216,1228,1216,1223,687561.784028
2025-09-05T00:00:00,1222,1229,1208,1214,1395538.208612
2025-09-05T04:00:00,1214,1231,1209,1222,1087310.086644
