datetime,open,high,low,close,volume
2025-09-11T12:00:00,7.88,9.97,7.37,7.4,10409187420.817932
2025-09-11T16:00:00,7.4,7.64,7.33,7.61,377019128.670175
2025-09-11T20:00:00,7.62,8.43,7.54,8.19,2429045714.470432
2025-09-12T00:00:00,8.19,8.73,8.08,8.61,3641089208.019408
2025-09-12T04:00:00,8.63,8.86,8.4,8.48,2257880310.112545
2025-09-12T08:00:00,8.48,8.68,8.29,8.53,954029084.861721
2025-09-12T12:00:00,8.53,8.57,8.04,8.21,816450780.788892
2025-09-12T16:00:00,8.23,8.61,8.2,8.49,228384743.160469
2025-09-12T20:00:00,8.5,8.81,8.43,8.61,728508571.395127
2025-09-13T00:00:00,8.61,9.07,8.49,8.99,1481431169.83208
2025-09-13T04:00:00,8.99,9.15,8.63,8.69,957520677.640626
2025-09-13T08:00:00,8.69,8.98,8.61,8.88,451281727.238268
2025-09-13T12:00:00,8.89,9.07,8.65,8.72,433246726.639216
2025-09-13T16:00:00,8.72,9.42,8.62,9.4,409369920.488654
2025-09-13T20:00:00,9.38,10.7,9.34,10.4,1946019559.595004
