datetime,open,high,low,close,volume
2024-02-27T08:00:00,697.1,1090,697.1,981,277474533.284294
2024-02-27T12:00:00,981.1,999.7,951,952.6,63165224.247261
2024-02-27T16:00:00,952.6,986,941.3,962.8,14759951.473811
2024-02-27T20:00:00,962.8,1020,951.5,1010,35294603.260426
2024-02-28T00:00:00,1009,1013,942.7,945,55584782.292184
2024-02-28T04:00:00,945.7,958.4,940,952.2,17613145.118135
2024-02-28T08:00:00,952.2,957.4,927.6,934.6,31720677.563382
2024-02-28T12:00:00,934.7,954.5,929,952,25297691.843921
2024-02-28T16:00:00,951.8,984.4,869,928,35489825.32251
2024-02-28T20:00:00,928.1,956.3,921.5,954,11936337.851652
2024-02-29T00:00:00,954,957.8,918.7,926.2,18806016.400276
2024-02-29T04:00:00,926.1,939.8,923.4,925.2,8471304.480353
2024-02-29T08:00:00,925.1,967.7,918.6,946.8,20836813.196809
2024-02-29T12:00:00,946.8,972.9,938.1,961.5,14005651.008419
2024-02-29T16:00:00,961.5,963.2,908.6,940.4,7438368.589447
2024-02-29T20:00:00,940.5,944.9,905,915.3,8442756.417994
2024-03-01T00:00:00,915.4,947.6,911.1,937.5,10052020.143178
2024-03-01T04:00:00,938.8,954.9,929.5,937.8,8471755.726919
2024-03-01T08:00:00,938.4,950,933.3,945.7,6526818.95693
2024-03-01T12:00:00,945.7,957.9,924.3,928.9,6374403.928974
2024-03-01T16:00:00,928.9,940.2,926,928,2598648.623029
2024-03-01T20:00:00,928.1,945.6,927.1,943.9,3349290.561808
2024-03-02T00:00:00,943.9,951.8,918,937.5,9212162.556402
2024-03-02T04:00:00,937.5,972.5,924.5,961,11226557.693637
2024-03-02T08:00:00,961,961,931.5,936.5,6982253.832804
2024-03-02T12:00:00,936.5,953.2,933.1,933.7,4636727.67434
2024-03-02T16:00:00,933.9,950.9,933.5,948.3,1632735.955542
2024-03-02T20:00:00,948.3,960.1,941.1,959.3,2647171.979068
2024-03-03T00:00:00,959.5,982.2,946.5,982.2,11137408.479048
2024-03-03T04:00:00,982.3,1004,885.4,925,20957874.98749
2024-03-03T08:00:00,925,944.6,909.2,934.3,5539785.667492
2024-03-03T12:00:00,934.3,947.7,932.2,942.4,3636411.785153
2024-03-03T16:00:00,942.4,942.9,931,935.9,1293474.758098
2024-03-03T20:00:00,934.6,951.4,933.7,948.9,2205264.255845
2024-03-04T00:00:00,947.9,960,927.4,929.7,5425960.419834
2024-03-04T04:00:00,929.6,936.1,920,923.6,4693667.11697
2024-03-04T08:00:00,923.6,933,914.7,925.5,7262647.889146
2024-03-04T12:00:00,925.6,932.1,915.5,925.5,4762471.080186
2024-03-04T16:00:00,925.6,927.8,895,901.6,6144540.009407
2024-03-04T20:00:00,901.7,919.8,901,916,4893234.060823
2024-03-05T00:00:00,915.9,918.3,896.7,900.2,8168273.6165
2024-03-05T04:00:00,900.2,924.7,872.8,909.2,12542287.823736
2024-03-05T08:00:00,909.2,942.2,900,933.1,6774126.502512
2024-03-05T12:00:00,933.4,955.6,904.4,924.1,9084286.280872
2024-03-05T16:00:00,924.1,934,862,864.5,8280677.183152
2024-03-05T20:00:00,864.5,872.6,800,857.4,13813315.383634
2024-03-06T00:00:00,858.2,861.3,805.1,829.3,7935127.230547
2024-03-06T04:00:00,829.4,872,828.8,871.5,4147475.553609
2024-03-06T08:00:00,871.9,888,839.7,854,5409521.408229
2024-03-06T12:00:00,853,856.5,817.1,833,5578966.725786
2024-03-06T16:00:00,831,870.6,829.3,863.3,2390667.032506
2024-03-06T20:00:00,863.3,886,855,884,5120062.223045
