datetime,open,high,low,close,volume
2025-06-19T00:00:00,3366,3396,3130,3294,11841259.284127
2025-06-19T04:00:00,3290,3290,3104,3163,7132573.690435
2025-06-19T08:00:00,3156,3195,3076,3098,4651880.607216
2025-06-19T12:00:00,3097,3153,3033,3039,3190235.883962
2025-06-19T16:00:00,3040,3085,3010,3041,1147705.40469
2025-06-19T20:00:00,3040,3127,3032,3076,1428288.835772
2025-06-20T00:00:00,3076,3087,2942,2953,4076208.574771
2025-06-20T04:00:00,2954,2954,2874,2940,1917499.100258
2025-06-20T08:00:00,2940,2966,2905,2935,728096.123223
2025-06-20T12:00:00,2937,2950,2868,2882,599053.761205
2025-06-20T16:00:00,2880,2880,2765,2824,497816.608693
2025-06-20T20:00:00,2824,2871,2800,2845,247936.516841
2025-06-21T00:00:00,2848,2882,2811,2875,481205.823796
2025-06-21T04:00:00,2866,2930,2853,2914,224739.708873
2025-06-21T08:00:00,2914,2917,2878,2887,175197.166055
2025-06-21T12:00:00,2886,2895,2777,2812,368606.181823
2025-06-21T16:00:00,2812,2827,2720,2732,139568.962513
2025-06-21T20:00:00,2732,2767,2624,2726,467918.651089
2025-06-22T00:00:00,2726,2775,2631,2657,349636.367847
2025-06-22T04:00:00,2657,2681,2620,2630,190764.666095
2025-06-22T08:00:00,2630,2631,2575,2608,304777.466178
2025-06-22T12:00:00,2606,2620,2475,2486,564436.513728
2025-06-22T16:00:00,2486,2540,2468,2484,80855.727462
2025-06-22T20:00:00,2484,2585,2430,2578,135738.569918
