datetime,open,high,low,close,volume
2024-12-05T04:00:00,11080,16940,11080,13710,29776517.973145
2024-12-05T08:00:00,13710,14980,13690,14150,9692378.59002
2024-12-05T12:00:00,14170,14380,13640,13860,2999787.15986
2024-12-05T16:00:00,13870,14270,13670,13770,904265.794768
2024-12-05T20:00:00,13770,14650,13450,14300,2469588.745861
2024-12-06T00:00:00,14290,14930,13800,14800,3172448.849688
2024-12-06T04:00:00,14800,15200,14440,14610,1767720.963257
2024-12-06T08:00:00,14610,14880,14260,14370,1073516.757476
2024-12-06T12:00:00,14370,14750,13870,14590,847070.431555
2024-12-06T16:00:00,14590,15290,14510,14740,520959.710149
2024-12-06T20:00:00,14750,14870,14490,14600,361420.719523
2024-12-07T00:00:00,14600,14760,14280,14440,507478.726394
2024-12-07T04:00:00,14430,14570,14170,14320,237078.155906
2024-12-07T08:00:00,14320,14460,14160,14300,143711.454402
2024-12-07T12:00:00,14320,14450,14200,14290,141565.396952
2024-12-07T16:00:00,14300,14390,14160,14320,105719.177503
2024-12-07T20:00:00,14320,14480,14270,14290,104373.386845
2024-12-08T00:00:00,14290,14680,14240,14560,304361.12894
2024-12-08T04:00:00,14560,14630,14060,14300,306045.008621
2024-12-08T08:00:00,14300,14320,13970,14220,190793.342798
2024-12-08T12:00:00,14210,14440,14100,14280,178941.189649
2024-12-08T16:00:00,14290,14310,14090,14240,142553.62028
2024-12-08T20:00:00,14210,14380,14200,14340,95963.852468
2024-12-09T00:00:00,14340,14340,13710,13940,474729.727083
2024-12-09T04:00:00,13940,14150,13630,13850,491193.502615
2024-12-09T08:00:00,13870,13870,13110,13200,535979.452725
2024-12-09T12:00:00,13200,13870,13060,13330,301771.67793
2024-12-09T16:00:00,13330,13560,13240,13340,93079.37107
2024-12-09T20:00:00,13320,13340,11220,12750,668451.09858
2024-12-10T00:00:00,12750,12990,11590,12070,653531.277402
2024-12-10T04:00:00,12070,12670,11730,12500,236483.88928
2024-12-10T08:00:00,12500,12870,12330,12660,149156.761997
2024-12-10T12:00:00,12660,12670,11900,11900,198330.527764
2024-12-10T16:00:00,11900,12280,11700,12180,104718.307773
2024-12-10T20:00:00,12180,12600,12130,12490,80707.254923
2024-12-11T00:00:00,12490,12620,11910,12410,185236.048745
2024-12-11T04:00:00,12410,12730,12340,12430,106235.802149
2024-12-11T08:00:00,12430,13370,12410,13290,227547.496565
2024-12-11T12:00:00,13260,14220,13210,13960,837900.46496
2024-12-11T16:00:00,13960,14080,13580,13750,107006.287045
2024-12-11T20:00:00,13760,13860,13580,13650,102371.109639
2024-12-12T00:00:00,13620,14080,13440,14000,182171.262196
2024-12-12T04:00:00,14000,14200,13790,14010,175885.198327
2024-12-12T08:00:00,14000,14310,13690,13790,206566.659348
2024-12-12T12:00:00,13840,14180,13830,13940,132655.101636
2024-12-12T16:00:00,13940,14130,13480,13540,50484.007986
2024-12-12T20:00:00,13610,13740,13390,13570,73739.998872
2024-12-13T00:00:00,13560,13770,13260,13530,128177.00914
2024-12-13T04:00:00,13530,13530,13040,13180,126804.344313
2024-12-13T08:00:00,13190,13470,13150,13330,54003.627063
2024-12-13T12:00:00,13320,13460,13130,13160,66247.274197
2024-12-13T16:00:00,13160,13400,13130,13320,26530.669221
2024-12-13T20:00:00,13350,13500,13210,13400,29225.339467
2024-12-14T00:00:00,13360,13600,13280,13320,98215.418658
2024-12-14T04:00:00,13320,13400,13240,13330,44593.8925
2024-12-14T08:00:00,13330,13400,13110,13160,43860.661308
2024-12-14T12:00:00,13160,13170,12700,12990,92625.686592
2024-12-14T16:00:00,13000,13060,12700,12850,38067.958643
2024-12-14T20:00:00,12850,13150,12700,13020,20500.105154
2024-12-15T00:00:00,13040,13260,12960,12990,68237.473509
2024-12-15T04:00:00,12980,13130,12710,12890,53575.130068
2024-12-15T08:00:00,12870,13030,12840,12920,27373.643902
2024-12-15T12:00:00,12920,13400,12900,13280,144780.968508
2024-12-15T16:00:00,13320,13400,13100,13150,20941.200386
2024-12-15T20:00:00,13150,13400,12840,13280,43305.136895
2024-12-16T00:00:00,13330,13930,13250,13300,385265.275978
2024-12-16T04:00:00,13310,13400,13160,13320,177559.54254
2024-12-16T08:00:00,13330,13370,12740,12830,131104.758663
2024-12-16T12:00:00,12800,13050,12790,12980,57408.838016
2024-12-16T16:00:00,12990,13230,12940,13100,31726.929589
2024-12-16T20:00:00,13100,13160,12810,12870,61779.531703
2024-12-17T00:00:00,12910,13000,12700,12900,127198.763771
2024-12-17T04:00:00,12900,12900,12700,12740,80985.082856
2024-12-17T08:00:00,12780,13080,12710,12990,104487.048411
2024-12-17T12:00:00,13000,13080,12620,12670,120827.191354
2024-12-17T16:00:00,12690,12910,12610,12720,44930.624432
2024-12-17T20:00:00,12720,12810,12300,12450,103474.286819
2024-12-18T00:00:00,12450,12590,12300,12390,106718.835331
2024-12-18T04:00:00,12370,12400,12000,12330,192081.968178
2024-12-18T08:00:00,12290,12460,12180,12380,44402.022578
2024-12-18T12:00:00,12390,12490,12110,12320,88826.277525
