datetime,open,high,low,close,volume
2026-01-29T08:00:00,44.5,56.7,44.2,52.7,3049516407.014709
2026-01-29T12:00:00,52.6,53.3,47.6,48.6,706575127.7821
2026-01-29T16:00:00,48.4,52.7,46.4,48.8,189625262.240812
2026-01-29T20:00:00,48.7,50.3,47,48.8,136745291.466443
2026-01-30T00:00:00,48.7,62.3,47.5,56.6,1856831442.833596
2026-01-30T04:00:00,56.5,58.8,52.5,56.7,587222492.115373
2026-01-30T08:00:00,56.7,60.7,55.4,56.2,633499418.086969
2026-01-30T12:00:00,56.2,56.4,51.8,52.8,334233760.714713
2026-01-30T16:00:00,52.8,55.1,52.5,53.3,101355066.991547
2026-01-30T20:00:00,53.2,53.9,52.1,52.7,81858915.219323
2026-01-31T00:00:00,52.7,70.2,52.3,60.5,2087054401.409575
2026-01-31T04:00:00,60.3,64.6,60,61.6,662547337.068586
2026-01-31T08:00:00,61.6,63.3,57.6,58.7,544988360.627529
2026-01-31T12:00:00,58.7,61.8,57,60.5,324852520.761607
2026-01-31T16:00:00,60.5,64.3,58.6,62.8,308488154.119305
2026-01-31T20:00:00,62.7,72.8,60.6,71.9,542129850.379369
2026-02-01T00:00:00,71.8,74.5,52.8,53.6,1298022964.069339
2026-02-01T04:00:00,53.5,60.4,51.7,56.1,374971968.274879
2026-02-01T08:00:00,56.1,57.6,53.7,55.7,186520761.102015
2026-02-01T12:00:00,55.7,57,53.6,55.1,137080654.746872
2026-02-01T16:00:00,55.1,55.1,52.2,52.9,49844482.554021
2026-02-01T20:00:00,52.9,61.4,50.9,58.5,155409195.58753
2026-02-02T00:00:00,58.5,72.8,49.3,50.4,751168148.239411
2026-02-02T04:00:00,50.3,51.6,49.7,50.9,60771530.64877
2026-02-02T08:00:00,50.9,54.5,50.8,52.9,61011836.131683
2026-02-02T12:00:00,52.9,54.9,51.1,51.8,60577638.796163
2026-02-02T16:00:00,51.7,53.4,51.2,52.4,24308639.94696
2026-02-02T20:00:00,52.3,58.8,52.2,58.5,82893050.165058
2026-02-03T00:00:00,58.2,58.5,50.6,52,153968255.776112
2026-02-03T04:00:00,52,53.2,51,52.5,40045173.700608
2026-02-03T08:00:00,52.5,53.1,50.7,51.3,44667662.409824
2026-02-03T12:00:00,51.2,53.1,50.8,52,38963877.495656
2026-02-03T16:00:00,52,54,50.9,52.4,40349582.917257
2026-02-03T20:00:00,52.4,53.8,51,51.2,33777528.627229
2026-02-04T00:00:00,51.2,51.6,48.5,50.7,79592521.721809
2026-02-04T04:00:00,50.6,51.3,49.8,50,28329087.97181
2026-02-04T08:00:00,49.9,50.7,49.5,50,21665127.692749
2026-02-04T12:00:00,49.9,50.4,47.8,48.1,29180191.656487
2026-02-04T16:00:00,48.1,48.3,46.3,47.1,25254599.11094
2026-02-04T20:00:00,47.2,48.3,46.8,46.8,25443902.435405
2026-02-05T00:00:00,46.8,57.2,45.2,48.1,285034029.794095
2026-02-05T04:00:00,48,48.5,45.6,48,84068726.384094
2026-02-05T08:00:00,48,49.6,46.1,46.7,85919191.531212
2026-02-05T12:00:00,46.6,52.6,46.6,48.2,188221499.851154
2026-02-05T16:00:00,48.3,49.4,45.8,46.8,54683358.345953
2026-02-05T20:00:00,46.6,47.7,45.2,46.8,79337701.15838
2026-02-06T00:00:00,46.7,47.1,40,43.5,144814549.218033
2026-02-06T04:00:00,43.5,44.6,43,43.2,62178798.86871
2026-02-06T08:00:00,43.2,44,42.5,43.9,56519380.169461
2026-02-06T12:00:00,43.9,49.3,43.5,47.2,347436093.206346
2026-02-06T16:00:00,47.3,49.2,46.4,47.1,68410647.796657
2026-02-06T20:00:00,47.1,48.9,46.6,48.8,52137545.141194
