datetime,open,high,low,close,volume
2026-02-24T04:00:00,26,48.4,26,38.8,1097103226.658371
2026-02-24T08:00:00,38.7,40.6,35.8,38.2,1068347635.914202
2026-02-24T12:00:00,38,40.9,34.5,35.7,692361828.016734
2026-02-24T16:00:00,35.5,37.2,34.8,35.7,134328239.729252
2026-02-24T20:00:00,35.6,38.8,35.6,38,212011486.434413
2026-02-25T00:00:00,38.1,40.3,35.6,35.8,447778801.773112
2026-02-25T04:00:00,35.8,36.6,33.7,33.8,204345886.434015
2026-02-25T08:00:00,33.7,34.3,32.9,33.4,129215424.514868
2026-02-25T12:00:00,33.4,33.5,31.2,32.8,145682864.026087
2026-02-25T16:00:00,32.8,34,32.8,33.4,51079143.157693
2026-02-25T20:00:00,33.4,33.6,32.2,32.5,34182200.774175
2026-02-26T00:00:00,32.5,33.3,31.1,31.5,96609140.298539
2026-02-26T04:00:00,31.5,31.7,30,30.3,38929056.718468
2026-02-26T08:00:00,30.4,31.9,30.4,31.5,22582222.26707
2026-02-26T12:00:00,31.3,31.5,30.2,30.7,14140642.227524
2026-02-26T16:00:00,30.7,31,29.7,30.2,7073442.861516
2026-02-26T20:00:00,30.2,30.6,30,30.3,6879774.912181
2026-02-27T00:00:00,30.3,30.7,29.4,30.7,31254531.996188
2026-02-27T04:00:00,30.6,32.1,30.3,30.6,63572270.820125
2026-02-27T08:00:00,30.6,31,29.8,30.4,14482190.005117
2026-02-27T12:00:00,30.3,32.2,30,31.6,38939184.67754
2026-02-27T16:00:00,31.5,31.6,30.2,30.2,5288373.201211
2026-02-27T20:00:00,30.5,31,29.9,30.2,6636649.242061
2026-02-28T00:00:00,30.2,30.2,28.9,29.2,15267299.666106
2026-02-28T04:00:00,29.2,29.5,27.5,28.2,12576188.267013
2026-02-28T08:00:00,28.2,28.9,27.6,28.5,10785632.241899
2026-02-28T12:00:00,28.5,30,28.5,29.3,8431403.537398
2026-02-28T16:00:00,29.4,30.8,29.2,30.4,5688650.718516
2026-02-28T20:00:00,30.3,32.3,30.3,31.7,11633657.963121
2026-03-01T00:00:00,31.8,38.7,31.7,33.1,383633939.660643
2026-03-01T04:00:00,33.1,33.3,31.8,33.1,104499594.084225
2026-03-01T08:00:00,33.1,34.5,32.5,33.5,122894816.501476
2026-03-01T12:00:00,33.4,33.7,32.3,32.5,40972066.826746
2026-03-01T16:00:00,32.5,33.3,32,32.4,10860116.268727
2026-03-01T20:00:00,32.4,32.4,31.3,31.4,18644325.29281
2026-03-02T00:00:00,31.5,34.1,31,31.7,211367658.651675
2026-03-02T04:00:00,31.7,31.9,30.7,31.2,26257879.191302
2026-03-02T08:00:00,31.2,32.6,30.9,31.6,26277978.874889
2026-03-02T12:00:00,31.5,32.8,30.9,32.4,18323667.099792
2026-03-02T16:00:00,32.4,32.6,31.6,31.8,6388977.3638
2026-03-02T20:00:00,31.7,32.2,31,31.5,10941871.098964
2026-03-03T00:00:00,31.4,31.5,30.6,30.9,13774872.271348
2026-03-03T04:00:00,30.9,31.5,30.7,30.8,4862358.724472
2026-03-03T08:00:00,30.8,31.2,30.2,30.8,7960460.213832
2026-03-03T12:00:00,30.8,31.4,30.4,30.8,7096469.18992
2026-03-03T16:00:00,30.9,33.1,30.9,32.1,12963350.604294
2026-03-03T20:00:00,32.2,34,32.1,33.5,18094778.788479
